"Male","Black","White","Hispanic","Other","Unknown","Total","Percent"
"Less than 1 year","149","211","2","2","1","365","1.94%"
"1-2  years","551","398","12","3","4","968","5.14%"
"3-5  years","1766","1251","23","14","0","3054","16.21%"
"6-10  years","2721","1656","43","16","0","4436","23.54%"
"11-20 years","3311","1563","44","20","2","4940","26.22%"
"21-30  years","1304","502","17","3","0","1826","9.69%"
"Greater than 30 Years","834","258","8","4","0","1104","5.86%"
"Life","1541","544","12","0","4","2101","11.15%"
"Death","26","19","1","0","1","47","0.25%"
"Total","12203","6402","162","62","12","18841","100.00%"
