"County","Offenders","Percent"
"ADAMS","10","0.97%"
"ALCORN","11","1.06%"
"AMITE","3","0.29%"
"ATTALA","6","0.58%"
"BENTON","1","0.10%"
"BOLIVAR","8","0.77%"
"CALHOUN","12","1.16%"
"CARROLL","1","0.10%"
"CHICKASAW","10","0.97%"
"CHOCTAW","8","0.77%"
"CLAIBORN","1","0.10%"
"CLARKE","11","1.06%"
"CLAY","20","1.93%"
"COAHOMA","9","0.87%"
"COPIAH","8","0.77%"
"COVINGTON","3","0.29%"
"+ DESOTO","46","4.45%"
"+ FORREST","33","3.19%"
"FRANKLIN","3","0.29%"
"GEORGE","4","0.39%"
"GREENE","4","0.39%"
"GRENADA","10","0.97%"
"HANCOCK","16","1.55%"
"+ HARRISON","94","9.09%"
"+ HINDS","41","3.97%"
"HOLMES","1","0.10%"
"ITAWAMBA","7","0.68%"
"+ JACKSON","48","4.64%"
"JASPER","3","0.29%"
"JEFF","2","0.19%"
"JEFFERSON","1","0.10%"
"+ JONES","35","3.38%"
"KEMPER","2","0.19%"
"LAFAYETTE","12","1.16%"
"LAMAR","12","1.16%"
"LAUDERDALE","27","2.61%"
"LAWRENCE","6","0.58%"
"LEAKE","13","1.26%"
"+ LEE","28","2.71%"
"LEFLORE","9","0.87%"
"LINCOLN","16","1.55%"
"+ LOWNDES","47","4.55%"
"+ MADISON","35","3.38%"
"MARION","14","1.35%"
"MARSHALL","11","1.06%"
"MONROE","11","1.06%"
"MONTGOMERY","4","0.39%"
"NESHOBA","11","1.06%"
"NEWTON","5","0.48%"
"NOXUBEE","2","0.19%"
"OKTIBBEHA","14","1.35%"
"PANOLA","16","1.55%"
"PEARL","22","2.13%"
"PERRY","7","0.68%"
"PIKE","17","1.64%"
"PONTOTOC","11","1.06%"
"PRENTISS","13","1.26%"
"QUITMAN","4","0.39%"
"+ RANKIN","53","5.13%"
"SCOTT","11","1.06%"
"SHARKEY","1","0.10%"
"SIMPSON","3","0.29%"
"SMITH","3","0.29%"
"STONE","4","0.39%"
"SUNFLOWER","5","0.48%"
"TALLAHATCHIE","3","0.29%"
"TATE","4","0.39%"
"TIPPAH","4","0.39%"
"TISHOMINGO","7","0.68%"
"TUNICA","3","0.29%"
"UNAVAILABLE","4","0.39%"
"UNION","19","1.84%"
"WALTHALL","11","1.06%"
"WARREN","20","1.93%"
"WASHINGTON","15","1.45%"
"WAYNE","4","0.39%"
"WEBSTER","4","0.39%"
"WINSTON","7","0.68%"
"YALOBUSHA","4","0.39%"
"YAZOO","6","0.58%"
"TOTAL","1034","100.00%"
