"OFFENSE","Black","White","Hispanic","Other","Total"
"CHILD ENDANGERMENT","1","3","0","0","4"
"CHILD MOLESTATION","0","0","0","0","0"
"CHILD PORNOGRAPHY","0","0","0","0","0"
"ENTICE CHILD FOR INDECENT PURPOSES","0","0","0","0","0"
"EXPLOITATION/CHILD","0","2","0","0","2"
"FONDLING","0","0","0","0","0"
"FONDLING A CHILD","0","1","0","0","1"
"FORCIBLE SEXUAL INTERCOURSE","0","0","0","0","0"
"GRATIFICATION/LUST","0","0","0","0","0"
"HUMAN TRAFFICKING","0","0","0","0","0"
"KIDNAP MINOR","0","1","0","0","1"
"RAPE","0","0","0","0","0"
"SEXUAL BATTERY","2","0","0","0","2"
"SEXUAL PENETRATION OF INCARCERATED OFFENDER BY
LAW ENFORCEMENT","0","0","0","0","0"
"STATUTORY RAPE","0","1","0","0","1"
"UNLAWFUL TOUCHING/CHILD","0","0","0","0","0"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING","0","0","0","0","0"
"COMPUTER LURING OF CHILD FOR SEXUAL CONDUCT","0","0","0","0","0"
"SEX OFFENSE","0","0","0","0","0"
"INCEST","0","0","0","0","0"
"SEX ASSAULT","0","0","0","0","0"
"SEXUAL ABUSE - VULNERABLE ADULT","0","0","0","0","0"
"TOTAL","3","8","0","0","11"
