"County","Offenders","Percent"
"ADAMS","1","0.31%"
"AMITE","1","0.31%"
"ATTALA","4","1.24%"
"BOLIVAR","3","0.93%"
"CALHOUN","3","0.93%"
"CHICKASAW","6","1.86%"
"CLARKE","1","0.31%"
"CLAY","1","0.31%"
"COAHOMA","2","0.62%"
"COPIAH","5","1.55%"
"DESOTO","35","10.87%"
"FORREST","20","6.21%"
"GEORGE","4","1.24%"
"GREENE","2","0.62%"
"GRENADA","1","0.31%"
"HANCOCK","6","1.86%"
"HARRISON","26","8.07%"
"HINDS","3","0.93%"
"ITAWAMBA","2","0.62%"
"JACKSON","15","4.66%"
"JASPER","3","0.93%"
"JONES","7","2.17%"
"KEMPER","1","0.31%"
"LAFAYETTE","5","1.55%"
"LAMAR","4","1.24%"
"LAUDERDALE","4","1.24%"
"LAWRENCE","2","0.62%"
"LEAKE","2","0.62%"
"LEE","7","2.17%"
"LEFLORE","1","0.31%"
"LINCOLN","2","0.62%"
"LOWNDES","10","3.11%"
"MADISON","5","1.55%"
"MARION","7","2.17%"
"MARSHALL","6","1.86%"
"MONROE","4","1.24%"
"MONTGOMERY","2","0.62%"
"NESHOBA","2","0.62%"
"NEWTON","2","0.62%"
"NOXUBEE","1","0.31%"
"OKTIBBEHA","6","1.86%"
"PANOLA","10","3.11%"
"PEARL","10","3.11%"
"PIKE","5","1.55%"
"PONTOTOC","4","1.24%"
"PRENTISS","2","0.62%"
"QUITMAN","1","0.31%"
"RANKIN","16","4.97%"
"SCOTT","2","0.62%"
"SHARKEY","2","0.62%"
"SIMPSON","1","0.31%"
"STONE","4","1.24%"
"TALLAHATCHIE","1","0.31%"
"TATE","5","1.55%"
"TIPPAH","6","1.86%"
"TISHOMINGO","1","0.31%"
"TUNICA","3","0.93%"
"UNION","5","1.55%"
"UNAVAILABLE","1","0.31%"
"WALTHALL","2","0.62%"
"WARREN","2","0.62%"
"WASHINGTON","6","1.86%"
"WAYNE","2","0.62%"
"WEBSTER","1","0.31%"
"WINSTON","2","0.62%"
"YALOBUSHA","3","0.93%"
"YAZOO","1","0.31%"
"TOTAL","322","100.00%"
