"OFFENSE","Male","Female","Total","Percent"
"CHILD ENDANGERMENT                                          15","","4","19","5.90%"
"CHILD MOLESTATION","8","0","8","2.48%"
"CHILD PORNOGRAPHY                                            4","","0","4","1.24%"
"ENTICE CHILD FOR INDECENT PURPOSES                           2","","0","2","0.62%"
"EXPLOITATION/CHILD                                           30","","2","32","9.94%"
"FONDLING","21","1","22","6.83%"
"FONDLING A CHILD","4","0","4","1.24%"
"FORCIBLE SEXUAL INTERCOURSE                                  4","","0","4","1.24%"
"GRATIFICATION/LUST                                           13","","0","13","4.04%"
"HUMAN TRAFFICKING                                            2","","0","2","0.62%"
"KIDNAP MINOR","4","1","5","1.55%"
"RAPE","3","0","3","0.93%"
"","SEXUAL BATTERY                                               103","2","105","32.61%"
"SEXUAL PENETRATION OF INCARCERATED OFFENDER BY 
LAW ENFORCEMENT","2","0","2","0.62%"
"STATUTORY RAPE                                               45","","1","46","14.29%"
"UNLAWFUL TOUCHING/CHILD                                     42","","0","42","13.04%"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING                    4","","0","4","1.24%"
"COMPUTER LURING OF CHILD FOR SEXUAL CONDUCT                 1","","0","1","0.31%"
"SEX OFFENSE","1","0","1","0.31%"
"INCEST","1","0","1","0.31%"
"SEX ASSAULT","1","0","1","0.31%"
"SEXUAL ABUSE - VULNERABLE ADULT                              1","","0","1","0.31%"
"TOTAL","311","11","322","100.00%"
