"OFFENSE","Black","White","Hispanic","Other","Total"
"CAPITAL RAPE","0","0","0","0","0"
"CHILD ENDANGERMENT","0","6","0","0","6"
"CHILD MOLESTATION","0","0","0","0","0"
"CHILD PORNOGRAPHY","0","0","0","0","0"
"EXPLOITATION/CHILD","0","0","0","0","0"
"FONDLING","0","0","0","0","0"
"FONDLING A CHILD","0","1","0","0","1"
"GRATIFICATION/LUST","0","0","0","0","0"
"KIDNAP MINOR","0","0","0","0","0"
"RAPE","0","0","0","0","0"
"SEX ASSAULT","0","0","0","0","0"
"SEXUAL BATTERY","2","4","0","0","6"
"STATUTORY RAPE","0","1","0","0","1"
"HUMAN TRAFFICKING","1","0","0","0","1"
"UNNATURAL INTERCOURSE","0","0","0","0","0"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING","0","0","0","0","0"
"SEXUAL ABUSE - VULNERABLE ADULT","0","0","0","0","0"
"PROCURING SEXUAL SERVITUDE OF A MINOR","0","0","0","0","0"
"COMPUTER LURING OF CHILD FOR SEXUAL CONDUCT","0","0","0","0","0"
"SEX BETWEEN TEACHER AND PUPIL","0","0","0","0","0"
"RAPE WITH A WEAPON","0","0","0","0","0"
"CHILD NEGLECT - SEX OFFENSE","0","0","0","0","0"
"TOTAL","3","12","0","0","15"
