county,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
Alcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,
Amite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,
Allala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,
Benton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,
Bolivar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,
Calhoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,
Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
Chickasaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,
Choc1aw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,
Claiborne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,
Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,
Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,
Coahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,
Copiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,
Covington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,
DeSoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,,
Forrrest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,,
Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,
George,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,
Greene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,
Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,
Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722,,
Hinds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,,
Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,
Humphreys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,
Issaquena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ltawamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,
Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,,
Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,
Jefferson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,
Jeff Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,
Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,,
Kemper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,
Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,
Lamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,
Lauderdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,,
Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,
Leake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,
Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,
Leflore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,
Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,
Lowndes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,,
Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,,
Marion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,
Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,
Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,
Momgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,
Neshoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,
Newton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,
Noxubee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
Oktibbeha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,
Panola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,
Pearl River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,
Pike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,
Pontotoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,
Prentiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,
Quitman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Rankin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,,
Scolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,
Sharkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Simpson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,
Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,
Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,
Sunflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,
