"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,160","0","1,199","0","36","0","1","0","4","0","0","0","4,400"
"CMCF","1,105","741","646","628","14","6","3","1","1","4","0","0","3,149"
"SMCI","1,282","0","669","0","24","0","4","0","6","0","0","0","1,985"
"County Jails (approved)","693","63","508","88","14","2","2","1","2","0","6","1","1,380"
"County Jails (unapproved)","31","0","16","0","0","0","0","0","0","0","1","0","48"
"Private Prisons","3,603","0","1,125","0","19","0","10","0","8","0","2","0","4,767"
"Regional Correctional Facilities","2,248","0","759","0","16","0","2","0","7","0","2","0","3,034"
"Community Work Centers","998","109","472","112","7","3","0","0","1","0","1","0","1,703"
"Community Trusties","10","0","7","0","0","0","0","0","0","0","0","0","17"
"Pending File Review","15","2","6","1","0","0","0","0","0","0","0","0","24"
"Court Order","194","12","136","40","0","0","0","0","1","0","1","0","384"
"","13,339","927","5,543","869","130","11","22","2","30","4","13","1","20,891"
"Intensive Supervison Program","641","148","578","192","5","1","2","0","2","0","9","1","1,579"
"Earned Release Supervision","1,100","101","468","96","5","1","2","0","1","0","0","0","1,774"
"Medical Release","5","0","5","0","0","0","0","0","0","0","0","0","10"
"Other Custody","135","8","118","15","23","0","0","0","1","0","2","0","302"
"At Large","83","6","43","4","3","0","0","0","0","0","0","0","139"
"Off-Grounds Medical (Hospital)","4","3","5","1","0","0","0","0","0","0","0","0","13"
"TOTAL","15,307","1,193","6,760","1,177","166","13","26","2","34","4","24","2","24,708"
"% OF TOTAL OFFENSES","61.95%","4.83%","27.36%","4.76%","0.67%","0.05%","0.11%","0.01%","0.14%","0.02%","0.10%","0.01%","100.00%"
