Location,Capacity_x,1-Dec-01,2-Dec-01,3-Dec-01,4-Dec-01,5-Dec-01,6-Dec-01,7-Dec-01,8-Dec-01,9-Dec-01,10-Dec-01,Capacity_y,11-Dec-01,12-Dec-01,13-Dec-01,14-Dec-01,15-Dec-01,16-Dec-01,17-Dec-01,18-Dec-01,19-Dec-01,20-Dec-01,Capacity,21-Dec-01,22-Dec-01,23-Dec-01,24-Dec-01,25-Dec-01,26-Dec-01,27-Dec-01,28-Dec-01,29-Dec-01,30-Dec-01,31-Dec-01
MS STATE PENITENTIARY,"5,551","5,192","5,189","5,183","5,228","5,215","5,242","5,242","5,239","5,239","5,237","5,551","5,243","5,240","5,236","5,225","5,226","5,225","5,242","5,238","5,269","5,254","5,551","5,260","5,259","5,259","5,258","5,257","5,253","5,239","5,257","5,257","5,255","5,251"
CENTRAL MS CORRECTIONAL FACILITY,"3,049","2,947","2,946","2,932","2,912","2,922","2,931","2,918","2,918","2,918","2,931","3,049","2,932","2,929","2,903","2,941","2,940","2,940","2,927","2,928","2,907","2,900","3,049","2,881","2,881","2,880","2,880","2,878","2,892","2,891","2,891","2,890","2,891","2,900"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,086","2,084","2,078","2,066","2,095","2,096","2,119","2,119","2,118","2,112","2,214","2,112","2,111","2,122","2,121","2,121","2,121","2,119","2,107","2,106","2,122","2,214","2,060","2,059","2,059","2,059","2,057","2,055","2,048","2,050","2,050","2,049","2,074"
COUNTY JAILS,"2,137","1,732","1,731","1,745","1,742","1,747","1,715","1,710","1,712","1,712","1,739","2,137","1,719","1,700","1,689","1,685","1,681","1,681","1,701","1,691","1,686","1,706","2,137","1,727","1,728","1,728","1,728","1,728","1,727","1,732","1,718","1,718","1,718","1,688"
COMMUNITY WORK CENTERS,"1,328","1,252","1,251","1,267","1,277","1,272","1,267","1,270","1,270","1,270","1,270","1,328","1,259","1,259","1,277","1,279","1,274","1,273","1,265","1,271","1,268","1,279","1,328","1,293","1,293","1,293","1,293","1,293","1,289","1,271","1,275","1,276","1,277","1,280"
Alcorn Satellite Facility,75,73,73,75,74,74,74,74,74,74,74,75,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Bolivar Satellite Facility,75,66,66,73,74,75,75,75,75,75,75,75,74,75,75,75,74,74,72,75,75,74,75,74,74,74,74,74,73,68,69,69,69,74
Forrest Satellite Facility,75,68,68,68,75,75,74,74,74,74,75,75,75,75,75,75,75,75,74,72,72,72,75,74,74,74,74,74,74,74,73,73,74,74
George Satellite Facility,75,71,71,71,71,69,70,70,70,70,70,75,70,70,74,74,74,74,73,73,73,75,75,75,75,75,75,75,75,74,74,74,74,74
Harrison Satellite Facility,75,70,70,70,70,70,68,68,68,68,70,75,69,68,72,72,72,72,72,71,70,70,75,73,73,73,73,73,73,72,72,72,72,72
Jackson Satellite Facility,75,68,68,68,71,71,71,73,73,73,72,75,71,71,71,71,71,71,70,70,69,69,75,75,75,75,75,75,75,74,72,73,73,73
Jefferson Satellite Facility,75,73,72,73,73,72,71,70,70,70,70,75,70,71,71,71,71,71,70,70,70,70,75,74,74,74,74,74,74,74,73,73,73,73
