Location,Capacity_x,1-Jan-03,2-Jan-03,3-Jan-03,4-Jan-03,5-Jan-03,6-Jan-03,7-Jan-03,8-Jan-03,9-Jan-03,10-Jan-03,11-Jan-03,12-Jan-03,13-Jan-03,Capacity_y,14-Jan-03,15-Jan-03,16-Jan-03,17-Jan-03,18-Jan-03,19-Jan-03,20-Jan-03,21-Jan-03,22-Jan-03,23-Jan-03,24-Jan-03,25-Jan-03,26-Jan-03,Capacity,27-Jan-03,28-Jan-03,29-Jan-03,30-Jan-03,31-Jan-03
MS STATE PENITENTIARY,"5,711","5,505","5,504","5,494","5,493","5,491","5,491","5,500","5,519","5,528","5,519","5,518","5,515","5,530","5,711","5,544","5,561","5,564","5,564","5,563","5,561","5,560","5,568","5,562","5,552","5,561","5,558","5,555","5,711","5,566","5,558","5,542","5,533","5,515"
CENTRAL MS CORRECTIONAL FACILITY,"3,099","3,048","3,068","3,087","3,091","3,091","3,082","3,067","3,026","3,031","3,017","3,018","3,017","3,006","3,099","3,020","3,028","3,042","3,034","3,032","3,030","3,028","3,037","3,049","3,071","3,066","3,067","3,068","3,099","3,046","3,056","3,062","3,062","3,063"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,109","2,125","2,112","2,112","2,112","2,119","2,114","2,132","2,126","2,136","2,135","2,132","2,121","2,214","2,119","2,117","2,106","2,128","2,125","2,125","2,124","2,118","2,142","2,131","2,132","2,132","2,132","2,214","2,114","2,106","2,082","2,085","2,073"
COUNTY JAILS,"2,121","2,008","1,993","1,964","1,964","1,964","2,004","2,030","2,036","2,026","2,030","2,030","2,030","2,028","2,121","2,010","1,991","1,954","1,949","1,949","1,949","1,948","1,919","1,919","1,914","1,897","1,897","1,897","2,121","1,928","1,949","1,982","1,999","2,024"
COMMUNITY WORK CENTERS,"1,350","1,290","1,285","1,287","1,285","1,285","1,287","1,288","1,280","1,281","1,160","1,162","1,162","1,287","1,350","1,287","1,285","1,283","1,201","1,201","1,199","1,279","1,292","1,287","1,285","1,241","1,240","1,235","1,350","1,274","1,269","1,281","1,277","1,246"
Alcorn Satellite Facility,75,73,73,75,75,75,75,75,73,73,61,61,61,71,75,74,74,74,66,66,66,74,73,72,72,67,67,67,75,72,72,72,71,67
Bolivar Satellite Facility,75,69,69,68,68,68,68,68,72,71,68,68,68,72,75,72,72,72,67,67,67,72,72,72,72,73,73,73,75,73,73,74,73,69
Forrest Satellite Facility,75,75,75,74,74,74,74,74,74,72,66,66,66,73,75,73,73,73,64,64,64,71,74,74,74,71,71,71,75,74,73,73,73,74
George Satellite Facility,75,74,74,74,74,74,75,75,75,75,66,66,66,74,75,74,74,73,68,68,67,69,72,72,72,70,70,70,75,72,72,75,75,71
Harrison Satellite Facility,75,73,72,72,72,72,72,74,74,74,64,64,64,73,75,73,73,72,69,69,69,71,73,72,71,67,67,67,75,72,72,72,74,74
