Location,Capacity_x,1-Sep-03,2-Sep-03,3-Sep-03,4-Sep-03,5-Sep-03,6-Sep-03,7-Sep-03,8-Sep-03,9-Sep-03,10-Sep-03,11-Sep-03,12-Sep-03,13-Sep-03,Capacity_y,14-Sep-03,15-Sep-03,16-Sep-03,17-Sep-03,18-Sep-03,19-Sep-03,20-Sep-03,21-Sep-03,22-Sep-03,23-Sep-03,24-Sep-03,25-Sep-03,26-Sep-03,Capacity,27-Sep-03,28-Sep-03,29-Sep-03,30-Sep-03
MS STATE PENITENTIARY,"5,768","5,684","5,698","5,692","5,704","5,690","5,688","5,687","5,699","5,697","5,709","5,697","5,685","5,685","5,768","5,683","5,701","5,687","5,683","5,680","5,670","5,671","5,672","5,663","5,693","5,681","5,696","5,678","5,768","5,678","5,674","5,678","5,673"
CENTRAL MS CORRECTIONAL FACILITY,"3,233","3,052","3,059","3,093","3,102","3,107","3,106","3,102","3,071","3,093","3,083","3,104","3,105","3,104","3,233","3,104","3,090","3,076","3,063","3,061","3,051","3,049","3,052","3,079","3,073","3,096","3,109","3,138","3,233","3,139","3,139","3,134","3,145"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,155","2,150","2,152","2,152","2,148","2,147","2,147","2,147","2,168","2,163","2,147","2,103","2,102","2,214","2,101","2,087","2,075","2,090","2,088","2,115","2,117","2,117","2,113","2,113","2,127","2,125","2,119","2,214","2,118","2,117","2,116","2,133"
COUNTY JAILS,"2,176","2,030","2,027","2,018","2,040","2,013","2,013","2,013","2,008","2,011","2,012","2,022","2,068","2,068","2,176","2,068","2,064","2,063","2,071","2,056","2,058","2,058","2,058","2,024","1,999","1,982","1,973","1,954","2,176","1,954","1,954","1,934","1,929"
COMMUNITY WORK CENTERS,"1,816","1,456","1,450","1,450","1,449","1,428","1,428","1,428","1,464","1,475","1,495","1,498","1,457","1,456","1,816","1,457","1,494","1,466","1,470","1,488","1,430","1,426","1,423","1,478","1,478","1,490","1,489","1,460","1,816","1,458","1,459","1,512","1,506"
Alcorn Satellite Facility,92,86,86,86,85,83,83,83,86,86,86,86,75,75,92,75,85,82,82,84,78,78,75,79,78,78,77,75,92,75,75,80,80
Bolivar Satellite Facility,102,69,69,69,68,67,67,67,68,68,72,72,72,71,102,71,70,68,68,71,68,68,68,70,70,69,70,70,102,70,70,72,72
Forrest Satellite Facility,96,96,96,96,96,95,95,95,94,93,93,93,93,93,96,93,94,93,93,95,93,93,93,95,96,96,96,94,96,94,94,96,96
George Satellite Facility,102,87,88,88,88,86,86,86,88,89,90,94,90,90,102,90,94,92,92,91,85,84,85,90,89,89,88,87,102,87,87,88,88
Harrison Satellite Facility,102,75,75,74,74,75,75,75,74,74,74,73,72,72,102,72,72,72,72,72,65,65,65,71,70,69,69,65,102,65,65,71,71
