Location,Capacity_x_x,1-Aug-06,2-Aug-06,3-Aug-06,4-Aug-06,5-Aug-06,6-Aug-06,7-Aug-06,8-Aug-06,9-Aug-06,Capacity_y_x,10-Aug-06,11-Aug-06,12-Aug-06,13-Aug-06,14-Aug-06,15-Aug-06,16-Aug-06,17-Aug-06,18-Aug-06,Capacity_x_y,19-Aug-06,20-Aug-06,21-Aug-06,22-Aug-06,23-Aug-06,24-Aug-06,25-Aug-06,26-Aug-06,27-Aug-06,Capacity_y_y,28-Aug-06,29-Aug-06,30-Aug-06,31-Aug-06
Mississippi State Penitentiary,"4,529","4,474","4,495","4,485","4,472","4,469","4,467","4,460","4,456","4,469","4,529","4,485","4,512","4,511","4,510","4,480","4,479","4,488","4,457","4,478","4,529","4,474","4,469","4,490","4,489","4,466","4,464","4,479","4,476","4,475","4,529","4,471","4,478","4,506","4,492"
Central Mississippi Correctional Facility,"3,293","3,258","3,261","3,276","3,269","3,266","3,266","3,298","3,331","3,332","3,293","3,287","3,289","3,285","3,283","3,286","3,307","3,308","3,303","3,302","3,293","3,301","3,300","3,307","3,285","3,309","3,345","3,336","3,338","3,339","3,293","3,388","3,395","3,345","3,304"
South Mississippi Correctional Institution,"2,155","2,024","1,994","2,016","2,015","2,014","2,014","2,025","2,018","2,016","2,155","2,032","2,024","2,023","2,023","2,033","2,030","2,031","2,041","2,035","2,155","2,034","2,034","2,036","2,045","2,052","2,043","2,039","2,038","2,035","2,155","2,030","2,047","2,050","2,073"
County Jails,"1,824","1,745","1,771","1,761","1,775","1,775","1,775","1,758","1,740","1,729","1,824","1,763","1,765","1,765","1,765","1,799","1,791","1,807","1,826","1,825","1,824","1,825","1,825","1,790","1,786","1,794","1,788","1,783","1,783","1,783","1,824","1,770","1,762","1,781","1,816"
COMMUNITY WORK CENTERS,"1,816","1,778","1,777","1,773","1,758","1,758","1,755","1,778","1,772","1,769","1,816","1,762","1,737","1,735","1,731","1,765","1,769","1,784","1,775","1,746","1,816","1,744","1,744","1,764","1,761","1,771","1,777","1,742","1,742","1,742","1,816","1,756","1,749","1,755","1,755"
Alcorn Satellite Facility,92,91,91,91,90,90,90,92,89,88,92,90,87,87,87,90,91,92,92,88,92,88,88,91,92,92,92,86,86,86,92,92,92,92,91
Bolivar Satellite Facility,102,102,102,101,100,100,100,100,100,100,102,100,99,99,99,102,100,100,99,101,102,101,101,99,99,101,100,98,98,98,102,98,98,97,98
Forrest Satellite Facility,96,94,95,94,94,95,94,94,93,92,96,91,90,90,90,94,95,96,96,92,96,92,92,93,91,94,95,93,93,94,96,95,94,94,94
George Satellite Facility,102,99,100,101,102,102,101,101,100,99,102,102,100,100,98,99,100,100,99,98,102,98,98,99,101,101,101,100,100,100,102,100,99,102,101
Harrison Satellite Facility,102,100,99,97,101,101,101,102,102,100,102,101,101,101,101,102,100,101,101,99,102,99,99,98,99,102,99,96,96,96,102,101,102,102,102
