Location,Capacity_x_x,1-Nov-06,2-Nov-06,3-Nov-06,4-Nov-06,5-Nov-06,6-Nov-06,7-Nov-06,8-Nov-06,9-Nov-06,Capacity_y_x,10-Nov-06,11-Nov-06,12-Nov-06,13-Nov-06,14-Nov-06,15-Nov-06,16-Nov-06,17-Nov-06,18-Nov-06,Capacity_x_y,19-Nov-06,20-Nov-06,21-Nov-06,22-Nov-06,23-Nov-06,24-Nov-06,25-Nov-06,26-Nov-06,27-Nov-06,Capacity_y_y,28-Nov-06,29-Nov-06,30-Nov-06
Mississippi State Penitentiary,"4,534","4,559","4,552","4,557","4,555","4,546","4,536","4,532","4,519","4,505","4,534","4,524","4,518","4,519","4,518","4,491","4,481","4,503","4,512","4,503","4,534","4,502","4,531","4,529","4,536","4,532","4,527","4,525","4,522","4,513","4,534","4,527","4,539","4,537"
Central Mississippi Correctional Facility,"3,381","3,354","3,346","3,361","3,359","3,360","3,407","3,381","3,407","3,390","3,381","3,375","3,376","3,374","3,376","3,370","3,393","3,384","3,391","3,389","3,381","3,387","3,372","3,381","3,320","3,319","3,317","3,315","3,315","3,316","3,381","3,336","3,337","3,331"
South Mississippi Correctional Institution,"2,395","2,259","2,261","2,255","2,254","2,253","2,249","2,260","2,275","2,261","2,395","2,240","2,236","2,235","2,235","2,250","2,267","2,268","2,255","2,256","2,395","2,255","2,246","2,258","2,283","2,279","2,278","2,276","2,275","2,266","2,395","2,272","2,265","2,285"
County Jails,"1,786","1,824","1,825","1,821","1,821","1,821","1,808","1,803","1,807","1,822","1,786","1,823","1,823","1,823","1,825","1,813","1,792","1,780","1,786","1,786","1,786","1,786","1,786","1,796","1,797","1,798","1,798","1,798","1,798","1,817","1,786","1,809","1,815","1,817"
COMMUNITY WORK CENTERS,"1,816","1,784","1,772","1,740","1,737","1,733","1,764","1,769","1,777","1,775","1,816","1,685","1,684","1,685","1,772","1,777","1,765","1,770","1,764","1,764","1,816","1,764","1,762","1,753","1,762","1,761","1,757","1,754","1,750","1,754","1,816","1,750","1,758","1,766"
Alcorn Satellite Facility,92,89,92,83,83,83,90,90,91,92,92,83,83,83,92,92,91,91,91,90,92,90,90,92,91,91,91,91,89,89,92,89,92,92
Bolivar Satellite Facility,102,101,100,97,97,97,102,100,101,101,102,96,96,96,101,102,102,102,98,98,102,98,98,98,98,98,98,98,98,98,102,98,97,101
Forrest Satellite Facility,96,93,96,95,95,95,94,93,92,93,96,88,88,88,93,93,90,93,93,93,96,93,96,96,96,96,96,95,95,96,96,96,96,96
George Satellite Facility,102,101,100,101,102,101,101,102,102,102,102,98,98,98,102,102,102,101,102,102,102,102,102,101,101,101,101,101,101,101,102,100,99,100
Harrison Satellite Facility,102,102,98,98,97,97,101,101,100,99,102,94,94,94,99,101,102,101,102,102,102,102,101,101,101,101,102,101,101,102,102,102,102,100
Jackson Satellite Facility,102,101,98,99,99,99,101,102,101,101,102,96,96,96,101,100,99,100,99,99,102,99,99,100,100,99,98,97,97,99,102,100,98,100
Jefferson Satellite Facility,102,102,101,96,96,95,98,102,101,98,102,91,91,91,98,102,101,98,95,95,102,95,98,98,97,97,97,97,97,97,102,96,101,100
Leflore Satellite Facility,102,102,101,102,102,102,102,102,102,102,102,95,95,95,101,101,101,101,100,100,102,100,99,98,97,97,97,97,97,98,102,97,97,99
Madison Satellite Facility,102,102,102,100,100,100,98,98,101,101,102,99,99,99,100,97,97,102,102,102,102,102,100,100,100,100,100,100,100,100,102,100,102,101
Noxubee Satellite Facility,92,91,91,89,88,88,86,86,91,90,92,82,82,82,90,89,87,87,88,89,92,89,89,88,90,90,90,89,90,90,92,90,92,91
Pike Satellite Facility,93,88,87,83,82,82,85,82,84,85,93,85,85,85,86,85,84,84,84,84,93,84,85,83,83,83,82,83,83,82,93,81,80,80
Quitman Satellite Facility,93,86,85,86,86,86,87,87,86,92,93,85,84,84,91,91,90,89,91,91,93,91,91,91,90,90,90,90,90,90,93,90,90,91
Rankin Satellite Facility,228,219,217,215,214,213,220,220,222,223,228,211,211,211,219,220,218,218,219,219,228,219,217,215,218,218,217,217,215,215,228,214,212,213
Simpson Satellite Facility,102,102,102,101,101,101,101,102,101,99,102,94,94,95,98,101,101,101,101,101,102,101,101,100,100,100,100,100,100,99,102,100,100,101
Washington Satellite Facility,102,102,101,101,101,100,101,101,100,96,102,99,99,99,101,101,100,99,100,100,102,100,99,98,98,98,98,98,97,98,102,98,99,100
Wilkinson Satellite Facility,102,102,100,98,98,98,100,100,101,100,102,95,95,95,100,100,100,101,99,99,102,99,98,95,100,100,100,100,100,100,102,99,99,99
Yazoo Satellite Facility,102,101,101,96,96,96,97,101,101,101,102,94,94,94,100,100,100,102,100,100,102,100,99,99,102,102,100,100,100,100,102,100,102,102
REGIONAL CORRECTIONAL FACILITIES,"3,082","3,077","3,079","3,074","3,072","3,071","3,067","3,077","3,072","3,067","3,082","3,071","3,071","3,070","3,069","3,077","3,071","3,074","3,076","3,072","3,082","3,072","3,073","3,073","3,075","3,071","3,069","3,069","3,067","3,070","3,082","3,071","3,073","3,079"
Bolivar County,294,294,294,294,294,294,294,293,293,292,294,293,293,293,292,295,291,291,294,292,294,292,291,293,294,291,290,290,290,292,294,293,292,294
Carroll County,280,280,279,280,280,280,281,281,281,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,278,278,278,278,278,277,280,277,277,279
George County,280,278,280,280,280,280,280,280,275,275,280,280,280,280,280,280,280,280,277,276,280,276,277,279,279,279,279,279,279,278,280,278,279,279
Holmes County,280,280,279,279,278,278,277,280,279,279,280,280,280,280,280,280,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,280,280
