Location,Capacity_x_x,1-Dec-06,2-Dec-06,3-Dec-06,4-Dec-06,5-Dec-06,6-Dec-06,7-Dec-06,8-Dec-06,9-Dec-06,Capacity_y_x,10-Dec-06,11-Dec-06,12-Dec-06,13-Dec-06,14-Dec-06,15-Dec-06,16-Dec-06,17-Dec-06,18-Dec-06,Capacity_x_y,19-Dec-06,20-Dec-06,21-Dec-06,22-Dec-06,23-Dec-06,24-Dec-06,25-Dec-06,26-Dec-06,27-Dec-06,Capacity_y_y,28-Dec-06,29-Dec-06,30-Dec-06,31-Dec-06
Mississippi State Penitentiary,"4,534","4,514","4,514","4,513","4,519","4,527","4,521","4,488","4,481","4,478","4,534","4,477","4,499","4,504","4,514","4,509","4,515","4,508","4,508","4,494","4,534","4,478","4,497","4,514","4,521","4,515","4,514","4,514","4,510","4,503","4,534","4,505","4,516","4,509","4,505"
Central Mississippi Correctional Facility,"3,381","3,346","3,342","3,341","3,339","3,347","3,336","3,365","3,375","3,378","3,381","3,376","3,367","3,397","3,362","3,381","3,387","3,383","3,381","3,387","3,381","3,404","3,385","3,380","3,334","3,335","3,332","3,329","3,329","3,342","3,381","3,357","3,357","3,354","3,352"
South Mississippi Correctional Institution,"2,395","2,294","2,295","2,294","2,304","2,295","2,313","2,319","2,322","2,320","2,395","2,320","2,320","2,336","2,332","2,329","2,288","2,284","2,284","2,295","2,395","2,304","2,301","2,291","2,302","2,302","2,301","2,299","2,298","2,306","2,395","2,304","2,315","2,315","2,314"
County Jails,"1,786","1,812","1,812","1,812","1,807","1,817","1,829","1,836","1,826","1,826","1,786","1,826","1,835","1,833","1,850","1,836","1,824","1,824","1,824","1,801","1,786","1,796","1,810","1,804","1,811","1,811","1,811","1,811","1,811","1,793","1,786","1,834","1,820","1,820","1,820"
COMMUNITY WORK CENTERS,"1,816","1,758","1,757","1,755","1,752","1,759","1,764","1,769","1,775","1,773","1,816","1,773","1,773","1,769","1,762","1,754","1,750","1,749","1,742","1,760","1,816","1,773","1,774","1,770","1,764","1,754","1,750","1,749","1,744","1,747","1,816","1,754","1,763","1,762","1,762"
Alcorn Satellite Facility,92,92,92,92,92,91,91,91,92,92,92,92,92,92,91,91,91,91,90,90,92,89,89,90,88,89,89,89,89,89,92,89,90,90,90
Bolivar Satellite Facility,102,100,100,100,99,99,99,102,102,102,102,101,100,101,99,96,95,95,94,100,102,100,101,101,101,101,101,101,101,101,102,100,100,100,100
Forrest Satellite Facility,96,95,95,95,95,95,95,95,95,95,96,95,96,96,95,95,94,94,93,93,96,93,93,96,96,96,96,96,96,96,96,96,96,96,96
George Satellite Facility,102,101,101,101,98,102,102,101,102,102,102,102,102,102,101,100,102,102,102,102,102,102,102,102,102,101,101,101,101,100,102,100,100,100,100
Harrison Satellite Facility,102,99,99,99,98,102,102,100,100,100,102,100,100,100,102,99,98,98,98,98,102,102,102,102,102,101,101,101,99,99,102,98,101,101,101
