Location,Capacity_x_x,1-May-08,2-May-08,3-May-08,4-May-08,5-May-08,6-May-08,7-May-08,8-May-08,9-May-08,Capacity_y_x,10-May-08,11-May-08,12-May-08,13-May-08,14-May-08,15-May-08,16-May-08,17-May-08,18-May-08,Capacity_x_y,19-May-08,20-May-08,21-May-08,22-May-08,23-May-08,24-May-08,25-May-08,26-May-08,27-May-08,Capacity_y_y,28-May-08,29-May-08,30-May-08,31-May-08,Unnamed: 6,Avg Population
Mississippi State Penitentiary,"4,527","4,170","4,172","4,170","4,168","4,163","4,162","4,174","4,162","4,166","4,527","4,165","4,164","4,183","4,175","4,176","4,185","4,186","4,183","4,181","4,527","4,173","4,177","4,171","4,167","4,185","4,182","4,181","4,179","4,193","4,527","4,209","4,205","4,204","4,202",,"4,178"
Central Mississippi Correctional Facility,"3,665","3,749","3,753","3,750","3,749","3,755","3,725","3,710","3,731","3,743","3,665","3,737","3,737","3,736","3,762","3,764","3,733","3,741","3,738","3,739","3,665","3,735","3,729","3,761","3,752","3,693","3,692","3,690","3,688","3,703","3,665","3,690","3,709","3,710","3,704",,"3,729"
South Mississippi Correctional Institution,"3,204","3,115","3,082","3,082","3,081","3,098","3,121","3,113","3,125","3,138","3,204","3,136","3,135","3,130","3,134","3,132","3,138","3,138","3,135","3,132","3,204","3,126","3,138","3,125","3,115","3,138","3,138","3,136","3,133","3,117","3,204","3,128","3,132","3,140","3,127",,"3,124"
County Jails,"1,638","2,033","2,033","2,033","2,033","2,018","2,037","2,065","2,065","2,043","1,638","2,043","2,043","2,045","2,042","2,049","2,037","2,013","2,013","2,013","1,638","2,046","2,034","2,012","2,007","1,999","1,999","1,999","2,005","1,993","1,638","1,975","1,952","1,971","1,971",,"2,020"
COMMUNITY WORK CENTERS,"1,848","1,794","1,808","1,804","1,805","1,821","1,816","1,809","1,797","1,773","1,848","1,768","1,765","1,783","1,785","1,799","1,800","1,711","1,706","1,705","1,848","1,791","1,779","1,776","1,806","1,820","1,813","1,812","1,812","1,816","1,848","1,808","1,800","1,699","1,696",,"1,783"
Alcorn Satellite Facility,92,91,90,90,90,90,90,88,92,87,92,87,87,90,90,90,90,82,82,82,92,89,89,89,89,92,92,92,92,92,92,91,92,87,87,,89
Bolivar Satellite Facility,102,100,101,101,101,100,101,101,102,102,102,102,102,102,102,102,102,93,93,93,102,100,102,102,102,102,102,102,102,102,102,96,95,90,90,,100
Forrest Satellite Facility,96,92,91,91,91,94,92,93,90,90,96,90,90,91,90,93,95,87,87,87,96,94,95,95,96,95,95,95,95,96,96,96,96,90,89,,92
George Satellite Facility,102,99,102,102,102,102,101,99,98,98,102,98,98,98,101,101,101,94,93,93,102,102,100,99,101,101,100,100,100,100,102,101,102,94,94,,99
Harrison Satellite Facility,102,95,100,100,100,102,101,99,97,96,102,96,96,97,97,100,100,98,98,98,102,101,100,100,102,101,101,101,101,101,102,101,101,97,97,,99
