Location,Capacity_x_x,1-Jun-09,2-Jun-09,3-Jun-09,4-Jun-09,5-Jun-09,6-Jun-09,7-Jun-09,8-Jun-09,9-Jun-09,Capacity_y_x,10-Jun-09,11-Jun-09,12-Jun-09,13-Jun-09,14-Jun-09,15-Jun-09,16-Jun-09,17-Jun-09,18-Jun-09,Capacity_x_y,19-Jun-09,20-Jun-09,21-Jun-09,22-Jun-09,23-Jun-09,24-Jun-09,25-Jun-09,26-Jun-09,27-Jun-09,Capacity_y_y,28-Jun-09,29-Jun-09,30-Jun-09,Unnamed: 5,Avg Population
Mississippi State Penitentiary,"4,627","4,108","4,111","4,115","4,126","4,119","4,109","4,108","4,102","4,115","4,627","4,122","4,127","4,125","4,122","4,122","4,118","4,114","4,125","4,111","4,627","4,108","4,107","4,106","4,110","4,095","4,092","4,072","4,074","4,072","4,627","4,071","4,066","4,059",,"4,104"
Central Mississippi Correctional Facility,"3,665","3,392","3,373","3,382","3,396","3,342","3,340","3,340","3,361","3,384","3,665","3,358","3,353","3,303","3,303","3,301","3,296","3,342","3,325","3,288","3,665","3,287","3,284","3,280","3,271","3,244","3,268","3,253","3,276","3,277","3,665","3,279","3,293","3,266",,"3,315"
South Mississippi Correctional Institution,"3,204","3,040","3,035","3,036","3,034","3,059","3,058","3,056","3,042","3,034","3,204","3,042","3,021","3,027","3,025","3,025","3,039","3,023","3,031","3,027","3,204","3,038","3,039","3,036","3,049","3,038","3,037","3,044","3,003","3,001","3,204","3,001","2,986","2,969",,"3,030"
County Jails,"1,558","1,598","1,585","1,570","1,548","1,559","1,559","1,559","1,560","1,568","1,558","1,543","1,509","1,551","1,551","1,551","1,536","1,541","1,543","1,527","1,558","1,519","1,519","1,519","1,503","1,530","1,520","1,539","1,499","1,499","1,558","1,499","1,525","1,543",,"1,539"
COMMUNITY WORK CENTERS,"1,848","1,593","1,581","1,575","1,559","1,543","1,539","1,538","1,573","1,569","1,848","1,585","1,575","1,558","1,554","1,553","1,593","1,592","1,596","1,614","1,848","1,580","1,578","1,577","1,618","1,659","1,654","1,670","1,674","1,672","1,848","1,669","1,718","1,685",,"1,601"
Alcorn Satellite Facility,92,78,75,75,79,76,75,75,80,78,92,83,83,82,82,82,83,79,79,79,92,74,74,74,80,83,82,82,79,78,92,78,84,81,,79
Bolivar Satellite Facility,102,83,83,83,83,80,80,80,83,81,102,81,80,78,77,77,79,78,78,88,102,86,85,85,87,92,92,91,89,89,102,89,91,90,,84
Forrest Satellite Facility,96,75,80,80,78,79,79,79,81,87,96,87,84,84,84,84,87,87,87,85,96,85,84,84,84,85,86,86,86,86,96,85,89,88,,84
George Satellite Facility,102,85,83,83,82,81,81,81,83,83,102,83,80,82,82,82,83,83,83,83,102,80,80,80,83,85,85,84,88,88,102,88,91,91,,84
Harrison Satellite Facility,102,70,69,69,68,67,66,66,67,66,102,78,78,81,81,81,80,79,83,83,102,79,79,79,83,83,83,83,90,90,102,90,90,87,,78
Jackson Satellite Facility,102,90,92,91,91,91,91,91,91,91,102,94,98,96,96,96,96,100,100,99,102,94,94,94,98,98,98,99,98,98,102,98,98,92,,95
Jefferson Satellite Facility,102,78,74,74,74,75,74,74,75,77,102,77,81,78,78,78,80,80,80,82,102,81,81,81,78,88,86,92,89,89,102,89,96,98,,81
Leflore Satellite Facility,102,80,77,77,76,87,87,87,87,87,102,88,86,85,85,85,86,86,86,85,102,83,83,83,86,88,88,87,88,88,102,88,95,88,,85
Madison Satellite Facility,102,86,87,86,83,78,78,78,82,83,102,82,80,84,84,84,85,82,78,83,102,81,81,81,83,92,88,96,95,95,102,94,96,95,,85
Noxubee Satellite Facility,92,79,80,80,79,70,70,70,78,78,92,78,76,80,79,79,82,82,82,82,92,88,88,88,89,89,87,86,85,85,92,85,86,82,,81
Pike Satellite Facility,93,90,93,93,90,89,89,89,90,90,93,89,89,85,85,85,88,88,92,90,93,87,87,87,85,85,86,84,84,84,93,83,84,85,,88
Quitman Satellite Facility,93,85,83,84,83,82,82,81,80,78,93,78,77,69,67,67,75,80,80,79,93,78,78,77,78,81,83,83,81,81,93,81,85,80,,79
Rankin Satellite Facility,260,249,249,248,245,246,246,246,249,248,260,246,248,241,241,241,250,249,249,249,260,248,248,248,250,250,250,249,246,245,260,245,247,251,,247
Simpson Satellite Facility,102,96,93,91,90,86,86,86,91,86,102,86,86,87,86,85,85,87,87,95,102,92,92,92,97,94,94,96,95,95,102,95,95,93,,91
Washington Satellite Facility,102,90,88,87,84,83,83,83,83,83,102,83,82,80,80,80,82,81,81,80,102,78,78,78,78,77,77,82,93,93,102,93,97,96,,84
Wilkinson Satellite Facility,102,81,78,78,78,78,77,77,76,76,102,75,72,71,71,71,75,75,75,74,102,73,73,73,85,95,95,94,94,94,102,94,97,91,,81
Yazoo Satellite Facility,102,98,97,96,96,95,95,95,97,97,102,97,95,95,96,96,97,96,96,98,102,93,93,93,94,94,94,96,94,94,102,94,97,97,,96
