Location,Capacity_x_x,1-Sep-10,2-Sep-10,3-Sep-10,4-Sep-10,5-Sep-10,6-Sep-10,7-Sep-10,8-Sep-10,9-Sep-10,Capacity_y_x,10-Sep-10,11-Sep-10,12-Sep-10,13-Sep-10,14-Sep-10,15-Sep-10,16-Sep-10,17-Sep-10,18-Sep-10,Capacity_x_y,19-Sep-10,20-Sep-10,21-Sep-10,22-Sep-10,23-Sep-10,24-Sep-10,25-Sep-10,26-Sep-10,27-Sep-10,Capacity_y_y,28-Sep-10,29-Sep-10,30-Sep-10,Avg Population
Mississippi State Penitentiary,"4,435","3,444","3,447","3,432","3,429","3,428","3,425","3,432","3,440","3,457","4,435","3,457","3,455","3,452","3,456","3,425","3,428","3,416","3,388","3,385","4,435","3,382","3,352","3,350","3,312","3,303","3,257","3,258","3,257","3,227","4,435","3,227","3,230","3,228","3,373"
Central Mississippi Correctional Facility,"3,449","3,219","3,209","3,178","3,178","3,175","3,173","3,170","3,158","3,134","3,449","3,134","3,131","3,133","3,124","3,145","3,152","3,132","3,099","3,098","3,449","3,097","3,136","3,124","3,142","3,132","3,078","3,078","3,078","3,085","3,449","3,117","3,129","3,146","3,136"
South Mississippi Correctional Institution,"3,204","3,169","3,165","3,155","3,153","3,153","3,149","3,162","3,164","3,162","3,204","3,162","3,159","3,158","3,176","3,174","3,174","3,167","3,167","3,168","3,204","3,168","3,155","3,168","3,177","3,173","3,175","3,173","3,172","3,168","3,204","3,172","3,166","3,159","3,165"
County Jails,"1,483","1,682","1,704","1,733","1,733","1,733","1,737","1,757","1,748","1,736","1,483","1,736","1,736","1,736","1,742","1,725","1,713","1,698","1,707","1,707","1,483","1,707","1,697","1,686","1,673","1,679","1,724","1,724","1,724","1,696","1,483","1,675","1,675","1,668","1,713"
COMMUNITY WORK CENTERS,"1,848","1,593","1,590","1,601","1,601","1,598","1,597","1,586","1,591","1,557","1,848","1,557","1,555","1,552","1,570","1,565","1,582","1,578","1,527","1,523","1,848","1,523","1,567","1,560","1,548","1,521","1,478","1,477","1,477","1,520","1,848","1,517","1,513","1,508","1,551"
Alcorn Satellite Facility,92,76,75,75,75,75,75,75,75,72,92,72,72,72,74,74,74,73,73,73,92,73,73,73,73,71,71,71,71,71,92,71,71,67,73
Bolivar Satellite Facility,102,88,88,86,86,86,86,83,83,79,102,79,79,79,81,81,81,81,79,79,102,79,78,78,78,78,75,75,75,78,102,78,78,77,80
Forrest Satellite Facility,96,71,70,71,71,71,71,71,71,66,96,66,66,66,69,69,68,68,67,64,96,64,64,65,65,63,65,65,65,69,96,73,76,75,68
George Satellite Facility,102,92,92,92,92,92,92,92,92,87,102,87,87,87,87,87,93,92,89,89,102,89,92,92,92,91,89,89,89,91,102,89,88,89,90
Harrison Satellite Facility,102,73,72,72,72,72,72,72,74,71,102,71,71,71,72,71,86,86,83,83,102,83,91,91,89,86,84,84,84,86,102,85,85,90,79
Jackson Satellite Facility,102,83,83,82,82,82,82,82,82,78,102,78,78,78,79,79,79,78,76,76,102,76,77,77,78,77,68,68,68,77,102,77,77,77,78
Jefferson Satellite Facility,102,87,87,87,87,87,87,87,85,81,102,81,81,79,83,81,80,80,75,74,102,74,78,78,78,78,80,80,80,81,102,81,79,79,81
Leflore Satellite Facility,102,81,81,87,87,87,87,86,86,86,102,86,86,86,85,86,86,86,81,81,102,81,86,86,85,83,75,75,75,83,102,82,82,82,84
Madison Satellite Facility,102,95,94,102,102,102,102,100,101,99,102,99,99,99,94,93,93,96,95,95,102,95,94,94,92,90,92,92,92,92,102,92,92,88,96
Noxubee Satellite Facility,92,87,87,88,88,86,86,84,84,80,92,80,80,80,84,84,84,90,84,84,92,84,90,87,85,85,79,79,79,85,92,83,82,82,84
Pike Satellite Facility,93,93,93,92,92,92,92,92,92,91,93,91,91,91,91,91,90,87,86,86,93,86,86,84,84,82,79,79,79,79,93,79,78,81,87
Quitman Satellite Facility,93,89,89,90,90,90,90,89,89,81,93,81,81,81,81,81,80,79,78,78,93,78,79,82,82,81,81,81,81,82,93,81,80,84,83
Rankin Satellite Facility,260,220,221,221,221,221,221,221,223,231,260,231,230,229,230,230,231,230,225,225,260,224,227,228,224,221,217,217,217,218,260,219,217,215,224
Simpson Satellite Facility,102,94,94,94,94,94,94,95,95,95,102,95,95,95,98,98,98,96,90,90,102,90,96,95,94,93,90,90,90,93,102,92,94,93,94
Washington Satellite Facility,102,88,88,87,87,86,86,86,86,86,102,86,86,86,86,86,85,83,77,77,102,78,83,83,83,81,77,77,77,79,102,79,80,79,83
Wilkinson Satellite Facility,102,79,79,79,79,79,79,79,79,76,102,76,75,75,77,76,76,74,71,71,102,71,73,70,70,66,65,65,65,66,102,66,64,64,73
Yazoo Satellite Facility,102,97,97,96,96,96,95,92,94,98,102,98,98,98,99,98,98,99,98,98,102,98,100,97,96,95,91,90,90,90,102,90,90,86,95
REGIONAL CORRECTIONAL FACILITIES,"3,463","2,527","2,524","2,527","2,527","2,525","2,524","2,527","2,527","2,529","3,463","2,529","2,528","2,526","2,530","2,576","2,577","2,619","2,686","2,686","3,463","2,685","2,738","2,811","2,859","2,902","2,960","2,957","2,957","3,005","3,463","3,007","3,003","3,001","2,696"
Bolivar County,294,234,235,235,235,235,235,234,236,235,294,235,235,235,235,236,236,235,235,235,294,235,235,235,235,234,234,233,233,233,294,235,235,234,235
Carroll County,280,224,224,223,223,223,222,223,223,224,280,224,224,224,224,224,224,224,223,223,280,223,224,224,224,223,224,224,224,224,280,224,224,223,224
Chickasaw County,300,0,0,0,0,0,0,0,0,0,300,0,0,0,0,45,45,90,90,90,300,90,139,139,190,188,238,238,238,238,300,238,238,240,163
George County,280,222,224,224,224,224,224,223,224,224,280,224,224,224,224,224,224,223,225,225,280,225,225,225,224,224,224,224,224,224,280,224,223,223,224
Holmes County,280,224,224,223,223,223,223,224,224,224,280,224,224,224,224,224,224,224,223,223,280,223,224,222,223,223,225,224,224,224,280,224,223,224,224
Issaquena County,274,218,219,219,219,219,219,219,214,219,274,219,219,219,220,220,219,219,219,219,274,219,219,220,220,220,220,219,219,219,274,219,218,218,219
Jefferson County,280,224,224,224,224,224,224,224,224,224,280,224,224,224,224,224,224,224,224,224,280,224,224,224,224,224,224,224,224,224,280,224,224,224,224
Kemper County,355,284,283,283,283,282,282,283,283,283,355,283,283,282,283,282,285,285,285,285,355,285,285,285,285,284,285,285,285,285,355,285,284,284,284
Leake County,280,226,226,225,225,225,225,226,226,226,280,226,226,226,226,225,225,225,225,225,280,225,225,225,224,224,225,225,225,225,280,225,224,224,225
Marion County,280,223,221,226,226,225,225,225,225,224,280,224,224,224,224,224,224,224,224,224,280,224,223,224,223,222,224,224,224,224,280,224,224,224,224
Stone County,280,224,223,223,223,223,223,223,224,224,280,224,223,222,223,223,222,222,223,223,280,222,222,224,223,223,224,224,224,223,280,223,223,222,223
Winston County,280,224,221,222,222,222,222,223,224,222,280,222,222,222,223,225,225,224,220,220,280,220,223,225,225,224,224,224,224,224,280,224,224,223,223
Yazoo County,300,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,70,70,300,70,70,139,139,189,189,189,189,238,300,238,239,238,162
PRIVATE PRISONS,"5,972","5,325","5,330","5,338","5,334","5,332","5,330","5,325","5,351","5,346","5,972","5,346","5,342","5,337","5,346","5,353","5,345","5,331","5,327","5,326","5,972","5,322","5,303","5,286","5,287","5,285","5,279","5,276","5,275","5,271","5,972","5,284","5,307","5,300","5,318"
Delta,972,900,903,900,900,900,899,898,900,902,972,902,901,900,904,904,903,903,902,902,972,901,902,901,901,901,901,901,901,900,972,901,904,901,901
