Location,Capacity_x_x,1-Apr-13,2-Apr-13,3-Apr-13,4-Apr-13,5-Apr-13,6-Apr-13,7-Apr-13,8-Apr-13,9-Apr-13,Capacity_y_x,10-Apr-13,11-Apr-13,12-Apr-13,13-Apr-13,14-Apr-13,15-Apr-13,16-Apr-13,17-Apr-13,18-Apr-13,Capacity_x_y,19-Apr-13,20-Apr-13,21-Apr-13,22-Apr-13,23-Apr-13,24-Apr-13,25-Apr-13,26-Apr-13,27-Apr-13,Capacity_y_y,28-Apr-13,29-Apr-13,30-Apr-13,Avg Population
Mississippi State Penitentiary,"4,648","3,371","3,369","3,377","3,374","3,369","3,366","3,365","3,368","3,382","4,648","3,382","3,386","3,374","3,371","3,368","3,361","3,380","3,382","3,378","4,648","3,373","3,371","3,370","3,384","3,384","3,372","3,369","3,367","3,365","4,648","3,365","3,364","3,354","3,372"
Central Mississippi Correctional Facility,"3,557","3,347","3,360","3,341","3,329","3,325","3,322","3,321","3,326","3,333","3,557","3,253","3,287","3,286","3,284","3,283","3,311","3,318","3,340","3,348","3,557","3,332","3,328","3,331","3,343","3,363","3,369","3,357","3,370","3,368","3,557","3,365","3,365","3,390","3,333"
Youthful Offender Unit,42,29,29,29,29,28,27,27,27,27,42,28,23,22,25,26,26,27,27,28,42,28,28,28,29,29,27,26,26,27,42,28,29,29,27
South Mississippi Correctional Institution,"3,282","3,209","3,213","3,228","3,232","3,230","3,230","3,230","3,226","3,225","3,282","3,223","3,223","3,224","3,220","3,223","3,225","3,223","3,231","3,236","3,282","3,239","3,239","3,239","3,246","3,246","3,247","3,253","3,240","3,239","3,282","3,239","3,240","3,236","3,232"
County Jails,"1,872","2,365","2,355","2,374","2,387","2,406","2,406","2,406","2,432","2,433","1,872","2,390","2,373","2,397","2,397","2,397","2,400","2,381","2,365","2,347","1,872","2,350","2,350","2,350","2,327","2,307","2,312","2,307","2,321","2,322","1,872","2,321","2,328","2,316","2,364"
COMMUNITY WORK CENTERS,"1,848","1,554","1,551","1,565","1,564","1,549","1,549","1,548","1,540","1,545","1,848","1,529","1,530","1,535","1,534","1,527","1,527","1,524","1,536","1,551","1,848","1,552","1,548","1,545","1,542","1,551","1,554","1,568","1,575","1,574","1,848","1,572","1,575","1,558","1,549"
Alcorn Satellite Facility,92,91,92,92,92,92,92,92,92,92,92,91,89,91,91,91,91,92,92,92,92,92,92,92,91,91,91,91,92,92,92,92,92,92,92
Bolivar Satellite Facility,102,78,78,79,79,78,78,78,79,79,102,76,76,74,74,74,74,73,73,73,102,73,73,73,73,73,73,74,76,76,102,76,76,74,75
Forrest Satellite Facility,96,74,74,74,76,74,75,75,74,74,96,76,75,77,77,77,78,76,76,75,96,75,75,75,74,74,74,74,80,80,96,80,80,79,76
George Satellite Facility,102,81,81,81,79,78,79,79,80,82,102,81,80,78,78,76,75,74,80,80,102,79,78,78,81,81,81,86,86,86,102,86,87,87,81
Harrison Satellite Facility,102,80,80,80,78,77,77,77,77,77,102,78,78,79,79,79,80,81,82,82,102,84,84,84,86,85,86,85,85,85,102,85,85,84,81
Jackson Satellite Facility,102,77,76,76,75,75,75,75,75,75,102,76,79,77,77,75,74,73,74,75,102,74,74,74,72,73,73,73,73,73,102,72,72,72,74
Jefferson Satellite Facility,102,74,74,74,78,77,77,77,76,76,102,74,74,74,74,74,74,74,73,78,102,78,78,78,78,78,77,77,77,77,102,77,76,72,76
Leflore Satellite Facility,102,80,79,79,79,79,79,79,79,79,102,79,78,76,75,75,76,76,76,81,102,81,81,81,81,81,80,79,80,80,102,80,80,79,79
Madison Satellite Facility,102,84,84,88,87,86,86,86,86,82,102,84,84,89,89,89,89,89,89,91,102,89,88,88,88,87,91,92,92,92,102,92,92,92,88
Noxubee Satellite Facility,92,81,80,80,81,81,81,80,80,81,92,80,79,79,79,79,79,79,79,78,92,77,77,76,76,80,80,80,78,78,92,78,80,80,79
Pike Satellite Facility,93,90,90,89,92,90,89,89,82,90,93,90,90,88,88,88,87,86,91,93,93,92,92,92,93,92,91,92,92,92,93,92,92,90,90
Quitman Satellite Facility,93,92,92,92,91,88,88,88,89,89,93,84,89,88,88,88,88,86,84,84,93,84,83,81,81,82,86,86,83,83,93,83,83,85,86
Rankin Satellite Facility,260,246,245,249,248,247,247,247,246,244,260,233,235,235,235,233,231,237,237,237,260,239,239,239,237,239,237,243,242,242,260,242,242,240,240
Simpson Satellite Facility,102,99,99,101,100,100,99,99,98,98,102,96,98,95,95,95,96,96,97,97,102,98,97,97,97,99,98,95,94,94,102,94,95,90,97
Washington Satellite Facility,102,75,75,75,75,75,75,75,73,73,102,73,73,83,83,82,82,82,82,82,102,81,81,81,79,82,82,82,82,82,102,82,82,84,79
Wilkinson Satellite Facility,102,72,72,71,70,70,70,70,70,69,102,68,69,69,69,69,70,68,69,71,102,70,70,70,69,68,68,71,75,75,102,75,76,75,71
Yazoo Satellite Facility,102,80,80,85,84,82,82,82,84,85,102,90,84,83,83,83,83,82,82,82,102,86,86,86,86,86,86,88,88,87,102,86,85,83,84
