Location,Capacity_x_x,1-Jun-15,2-Jun-15,3-Jun-15,4-Jun-15,5-Jun-15,6-Jun-15,7-Jun-15,8-Jun-15,9-Jun-15,Capacity_y_x,10-Jun-15,11-Jun-15,12-Jun-15,13-Jun-15,14-Jun-15,15-Jun-15,16-Jun-15,17-Jun-15,18-Jun-15,Capacity_x_y,19-Jun-15,20-Jun-15,21-Jun-15,22-Jun-15,23-Jun-15,24-Jun-15,25-Jun-15,26-Jun-15,27-Jun-15,Capacity_y_y,28-Jun-15,29-Jun-15,30-Jun-15,Avg Population
Mississippi State Penitentiary,"4,648","3,098","3,095","3,095","3,093","3,089","3,089","3,089","3,174","3,094","4,648","3,088","3,088","3,089","3,089","3,089","3,091","3,089","3,090","3,089","4,648","3,089","3,088","3,089","3,090","3,090","3,089","3,089","3,088","3,088","4,648","3,087","3,093","3,093","3,093"
MSP TVC,108,87,89,89,90,88,87,87,87,98,108,97,96,95,95,95,95,95,96,95,108,95,94,95,96,96,95,95,94,94,108,93,94,94,93
Central Mississippi Correctional Facility,"3,469","2,442","2,448","2,455","2,449","2,468","2,468","2,465","2,443","2,448","3,469","2,462","2,484","2,519","2,519","2,519","2,519","2,519","2,520","2,519","3,469","2,519","2,518","2,519","2,520","2,520","2,519","2,519","2,518","2,518","3,469","2,517","2,502","2,502","2,495"
Youthful Offender Unit,58,21,21,22,21,22,22,22,23,23,58,23,23,24,24,24,24,24,25,24,58,24,23,23,24,24,23,23,22,22,58,21,23,23,23
CMCF TVC,158,135,141,142,144,145,143,141,146,145,158,144,144,136,136,136,136,136,137,136,158,136,135,135,136,136,135,135,134,134,158,133,144,144,139
South Mississippi Correctional Institution,"3,282","2,481","2,488","2,487","2,502","2,512","2,507","2,509","2,516","2,523","3,282","2,529","2,529","2,530","2,530","2,530","2,530","2,530","2,531","2,530","3,282","2,530","2,529","2,529","2,529","2,529","2,528","2,528","2,527","2,527","3,282","2,526","2,514","2,514","2,520"
SMCI TVC,0,95,99,98,97,95,95,94,93,98,0,99,96,94,94,94,94,94,95,94,0,94,93,93,93,93,92,92,91,91,0,90,93,93,94
County Jails,"2,006","1,369","1,364","1,357","1,368","1,362","1,362","1,366","1,307","1,383","2,006","1,370","1,350","1,322","1,317","1,308","1,308","1,308","1,309","1,308","2,006","1,308","1,307","1,307","1,308","1,308","1,307","1,307","1,306","1,306","2,006","1,305","1,206","1,206","1,321"
COMMUNITY WORK CENTERS,"1,848","1,105","1,111","1,111","1,120","1,109","1,108","1,108","1,125","1,118","1,848","1,112","1,114","1,114","1,114","1,114","1,114","1,114","1,123","1,114","1,848","1,114","1,098","1,098","1,114","1,114","1,101","1,101","1,085","1,085","1,848","1,082","1,154","1,154","1,112"
Alcorn Satellite Facility,92,49,49,49,47,47,47,47,47,48,92,48,48,47,47,47,47,47,48,47,92,47,46,46,47,47,46,46,45,45,92,44,54,54,47
Bolivar Satellite Facility,102,52,49,49,49,49,48,48,48,47,102,47,50,53,53,53,53,53,54,53,102,53,52,52,53,53,52,52,51,51,102,50,70,70,52
Forrest Satellite Facility,96,50,53,53,53,52,52,52,53,52,96,52,52,52,52,52,52,52,53,52,96,52,51,51,52,52,51,51,50,50,96,49,51,51,52
George Satellite Facility,102,51,52,52,52,51,51,51,55,55,102,55,53,53,53,53,53,53,54,53,102,53,52,52,53,53,53,53,52,52,102,52,54,54,53
Harrison Satellite Facility,102,56,55,55,55,51,51,51,54,52,102,50,50,50,50,50,50,50,51,50,102,50,49,49,50,50,51,51,50,50,102,50,57,57,52
Jackson Satellite Facility,102,54,54,54,54,56,56,56,56,56,102,58,57,57,57,57,57,57,58,57,102,57,56,56,57,57,56,56,55,55,102,55,60,60,56
Jefferson Satellite Facility,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0
Leflore Satellite Facility,102,49,48,48,55,55,55,55,55,55,102,54,56,54,54,54,54,54,55,54,102,54,53,53,54,54,53,53,52,52,102,52,54,54,53
Madison Satellite Facility,102,74,72,72,72,73,73,73,69,70,102,67,66,66,66,66,66,66,67,66,102,66,65,65,66,66,65,65,64,64,102,64,61,61,67
Noxubee Satellite Facility,92,66,63,63,62,61,61,61,63,62,92,62,62,60,60,60,60,60,61,60,92,60,59,59,60,60,59,59,58,58,92,58,72,72,61
Pike Satellite Facility,93,90,89,89,89,86,86,86,87,88,93,88,88,92,92,92,92,92,92,92,93,92,91,91,92,92,91,91,90,90,93,90,81,81,89
Quitman Satellite Facility,93,64,67,67,67,65,65,65,65,66,93,64,65,64,64,64,64,64,64,64,93,64,63,63,64,64,63,63,62,62,93,62,62,62,64
Rankin Satellite Facility,260,187,187,187,187,187,187,187,190,190,260,188,188,185,185,185,185,185,185,185,260,185,184,184,185,185,184,184,183,183,260,183,195,195,186
Simpson Satellite Facility,102,87,89,89,87,89,89,89,89,87,102,85,85,89,89,89,89,89,89,89,102,89,88,88,89,89,88,88,87,87,102,87,86,86,88
Washington Satellite Facility,102,44,52,52,55,54,54,54,58,55,102,54,54,55,55,55,55,55,55,55,102,55,54,54,55,55,54,54,53,53,102,53,69,69,55
