Location,Capacity_x,1-Jan-17,Unnamed: 3,2-Jan-17,3-Jan-17,4-Jan-17,5-Jan-17,6-Jan-17,7-Jan-17,8-Jan-17 9-Jan-17,Unnamed: 11,10-Jan-17,11-Jan-17,12-Jan-17,13-Jan-17,14-Jan-17,15-Jan-17,16-Jan-17,17-Jan-17,18-Jan-17,Capacity_y,19-Jan-17,20-Jan-17,21-Jan-17,22-Jan-17,23-Jan-17,24-Jan-17,25-Jan-17,26-Jan-17,27-Jan-17,28-Jan-17,29-Jan-17,30-Jan-17,31-Jan-17,Avg Population
Mississippi State Penitentiary,3590,3381,3373,3362,3368,3365,3363,3362,3360,3366,3358,3358,3353,"3,337",3336,3336,3336,3335,3313,,3590,3314,3320,3319,3318,3354,3352,"3,363","3,373","3,362","3,362","3,362","3,369",3367,3352
Central Mississippi Correctional Facility,"3,858","3,389","3,391","3,443","3,473","3,491","3,477","3,476","3,479","3,476","3,469","3,469","3,453","3,421","3,418","3,421","3,422","3,423","3,395",,"3,858","3,392","3,332","3,329","3,327","3,298","3,334","3,296","3,347","3,349","3,349","3,349","3,356",3414,3402
Youthful Offender Unit,58,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,58,26,26,26,26,24,24,24,24,24,24,24,25,25,26
CMCF TVC,,3,3,3,2,2,3,3,3,5,5,5,5,2,2,2,2,4,4,,,4,4,4,4,4,4,4,4,10,10,10,10,10,5
South Mississippi Correctional Institution,"3,082","3,064","3,063","3,051","3,063","3,059","3,060","3,060","3,060","3,048","3,050","3,049","3,040","3,039","3,038","3,038","3,034","3,021","3,045",,"3,082","3,055","3,045","3,045","3,045","3,065","3,067","3,070","3,067","3,067","3,067","3,064","3,068",3068,3054
County Jails,"1,781","1,173","1,173","1,146","1,089","1,064","1,062","1,062","1,062","1,085","1,101","1,140","1,155","1,175","1,175","1,175","1,177","1,206","1,219",,"1,781","1,288","1,337","1,337","1,337","1,289","1,265","1,241","1,229","1,236","1,236","1,236","1,249",1231,1192
COMMUNITY WORK CENTERS,"1,348",970,969,945,938,952,972,969,966,959,953,953,941,940,938,937,960,953,951,,"1,348",950,947,941,937,942,936,944,939,943,942,936,938,932,960
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forrest Satellite Facility,96,66,66,63,62,65,65,65,65,65,70,70,70,64,64,64,70,70,71,,96,70,70,70,70,69,69,68,68,68,68,68,68,68,67
