Location,Capacity_x,1-Jun-19,Unnamed: 3,2-Jun-19,3-Jun-19,4-Jun-19,5-Jun-19,6-Jun-19,7-Jun-19,8-Jun-19,9-Jun-19,10-Jun-19,11-Jun-19,12-Jun-19,13-Jun-19,14-Jun-19,15-Jun-19,16-Jun-19,17-Jun-19,18-Jun-19,19-Jun-19,20-Jun-19,Capacity_y,21-Jun-19,22-Jun-19,23-Jun-19,24-Jun-19,25-Jun-19,26-Jun-19,27-Jun-19,28-Jun-19,29-Jun-19,30-Jun-19,Avg Population
Mississippi State Penitentiary,"3,560","3,207","3,207","3,204","3,217","3,240","3,237","3,229","3,228","3,228","3,223","3,219","3,242","3,227","3,226","3,226","3,222","3,229","3,226","3,229","3,229",,"3,560","3,221","3,220","3,220","3,228","3,217","3,238","3,225","3,223","3,223","3,223","3,224"
Central Mississippi Correctional Facility,"4,131","3,786","3,786","3,790","3,782","3,763","3,777","3,790","3,788","3,787","3,791","3,803","3,793","3,813","3,836","3,834","3,834","3,820","3,824","3,820","3,820",,"4,131","3,844","3,845","3,844","3,803","3,764","3,757","3,760","3,752","3,754","3,755",3797
Youthful Offender Unit,58,29,28,28,27,26,26,26,26,26,26,30,26,26,26,26,26,26,26,30,30,,58,30,30,30,30,28,28,28,28,28,28,28
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","2,646","2,646","2,646","2,652","2,656","2,653","2,649","2,648","2,659","2,651","2,662","2,662","2,657","2,655","2,652","2,652","2,646","2,642","2,650","2,650",,"3,082","2,642","2,642","2,642","2,648","2,647","2,656","2,649","2,654","2,654","2,655",2651
County Jails,"1,793","1,358","1,358","1,353","1,332","1,388","1,346","1,331","1,331","1,331","1,242","1,318","1,297","1,309","1,325","1,325","1,325","1,320","1,311","1,299","1,304",,"1,793","1,305","1,305","1,305","1,331","1,309","1,297","1,330","1,321","1,321","1,321",1322
COMMUNITY WORK CENTERS,"1,372","1,038","1,032","1,082","1,081","1,080","1,077","1,069","1,067","1,066","1,094","1,082","1,090","1,094","1,064","1,062","1,063","1,087","1,077","1,088","1,084",,"1,372","1,070","1,070","1,066","1,080","1,070","1,085","1,079","1,065","1,063","1,060",1073
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,124,70,70,78,78,78,78,77,77,77,78,79,81,82,80,80,80,81,81,81,81,,124,81,81,81,82,82,82,82,81,81,81,79
Delta TVC,324,312,308,319,314,317,310,309,306,306,322,316,323,317,313,312,312,315,303,315,315,,324,310,310,308,314,308,318,315,314,312,310,313
Forrest Satellite Facility,96,57,57,73,73,76,76,75,73,73,76,75,75,72,72,72,72,74,74,69,69,,96,67,67,67,68,65,70,70,70,70,70,71
George Satellite Facility,102,48,48,50,50,49,48,48,48,48,47,47,47,47,47,47,47,47,47,46,46,,102,35,35,35,36,36,36,35,35,35,35,44
Harrison Satellite Facility,102,48,48,49,52,49,48,49,49,49,49,49,48,48,48,48,48,48,48,47,47,,102,48,49,49,51,51,51,51,51,51,51,49
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Madison Satellite Facility,62,65,65,68,67,66,68,69,71,71,71,71,72,72,70,70,70,71,71,71,71,,62,78,78,78,79,78,78,78,76,76,76,72
Noxubee Satellite Facility,58,46,46,54,54,53,54,54,54,54,53,53,53,53,53,53,53,52,52,52,52,,58,51,51,51,52,51,52,52,52,52,52,52
Pike Satellite Facility,93,83,83,84,84,84,84,85,85,85,85,85,85,85,84,84,84,82,81,82,83,,93,83,83,83,83,83,83,83,80,80,80,83
Quitman Satellite Facility,93,63,63,59,63,63,63,63,63,63,63,61,61,61,61,60,60,69,69,75,73,,93,73,73,73,74,74,75,74,73,73,73,67
Rankin Satellite Facility,178,142,142,150,150,150,150,145,145,145,149,149,149,158,142,142,142,152,152,151,149,,178,147,147,147,149,151,149,149,144,144,144,148
Rankin RID,28,13,13,13,13,13,13,12,13,13,10,10,10,10,10,10,10,11,11,11,11,,28,11,11,11,11,11,11,11,11,11,11,11
Flowood TVC,50,32,30,28,26,26,26,26,26,25,33,30,30,30,26,26,27,26,30,30,30,,50,29,28,26,24,23,23,23,23,23,22,27
Simpson TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Simpson TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Washington Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson Satellite Facility,62,59,59,57,57,56,59,57,57,57,58,57,56,59,58,58,58,59,58,58,57,,62,57,57,57,57,57,57,56,55,55,55,57
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
