"Location","Capacity","27-Jan-04","28-Jan-04","29-Jan-04","30-Jan-04","31-Jan-04"
"MS STATE PENITENTIARY","5,768","5,604","5,603","5,631","5,625","5,622"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,235","3,265","3,251","3,256","3,257"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,105","2,094","2,094","2,065","2,065"
"COUNTY JAILS","2,176","1,898","1,888","1,890","1,915","1,915"
"COMMUNITY WORK CENTERS","1,816","1,547","1,547","1,542","1,476","1,477"
"Alcorn Satellite Facility","92","91","90","90","83","83"
"Bolivar Satellite Facility","102","89","88","88","87","87"
"Forrest Satellite Facility","96","93","93","92","91","92"
"George Satellite Facility","102","69","69","69","68","68"
"Harrison Satellite Facility","102","68","66","65","61","61"
"Jackson Satellite Facility","102","59","59","57","55","55"
"Jefferson Satellite Facility","102","76","79","79","74","74"
"Leflore Satellite Facility","102","102","101","100","97","97"
"Madison Satellite Facility","102","100","102","101","101","101"
"Noxubee Satellite Facility","92","92","91","91","87","87"
"Pike Satellite Facility","93","45","44","44","41","41"
"Quitman Satellite Facility","93","83","83","83","76","76"
"Rankin Satellite Facility","228","215","214","214","210","210"
"Simpson Satellite Facility","102","98","99","100","95","95"
"Washington Satellite Facility","102","98","98","99","94","94"
"Wilkinson Satellite Facility","102","71","71","70","62","62"
"Yazoo Satellite Facility","102","98","100","100","94","94"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,741","2,744","2,746","2,746","2,744"
"Bolivar County","250","250","249","250","250","250"
"Carroll County","250","249","249","250","250","250"
"George County (opened on May 10th)","250","250","250","250","250","250"
"Holmes County","250","249","249","250","250","250"
"Issaquena County","250","250","250","249","250","250"
"Jefferson County","250","250","249","248","248","248"
"Kemper County","250","248","250","250","249","249"
"Leake County","250","250","250","250","250","249"
"Marion County","250","250","250","249","249","248"
"Stone County","250","247","250","250","250","250"
"Winston County","250","248","248","250","250","250"
"PRIVATE PRISONS","3,750","3,449","3,446","3,440","3,442","3,441"
"East MS","1,000","726","726","726","726","726"
"Marshall County","1,000","994","993","993","992","992"
"Walnut Grove","750","741","736","732","735","734"
"Wilkinson County","1,000","988","991","989","989","989"
"RESITITUTION CENTERS","24","13","13","13","13","13"
"Greenwood","6","6","6","6","6","6"
"Hinds","12","5","5","5","5","5"
"Pascagoula","6","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5"
"E-CODE","","7","6","6","60","60"
"TOTALS","21,737","20,604","20,611","20,618","20,603","20,599"
