"Location","Capacity","19-Mar-07","20-Mar-07","21-Mar-07","22-Mar-07","23-Mar-07","24-Mar-07","25-Mar-07","26-Mar-07","27-Mar-07"
"Mississippi State Penitentiary","4,534","4,440","4,451","4,450","4,438","4,448","4,442","4,439","4,451","4,476"
"Central Mississippi Correctional Facility","3,381","3,445","3,422","3,419","3,416","3,419","3,416","3,417","3,422","3,457"
"South Mississippi Correctional Institution","2,484","2,397","2,407","2,406","2,403","2,395","2,391","2,390","2,388","2,391"
"County Jails","1,741","1,946","1,932","1,956","2,004","1,991","1,991","1,991","1,963","1,959"
"COMMUNITY WORK CENTERS","1,816","1,750","1,764","1,760","1,757","1,727","1,725","1,722","1,751","1,758"
"Alcorn Satellite Facility","92","88","87","86","86","84","84","84","86","88"
"Bolivar Satellite Facility","102","98","102","102","102","97","97","97","102","102"
"Forrest Satellite Facility","96","92","92","91","93","93","93","93","92","90"
"George Satellite Facility","102","102","102","102","102","101","101","101","102","102"
"Harrison Satellite Facility","102","101","101","101","101","99","99","99","100","101"
"Jackson Satellite Facility","102","99","99","99","99","98","98","97","97","100"
"Jefferson Satellite Facility","102","100","100","99","99","99","99","99","100","100"
"Leflore Satellite Facility","102","102","102","102","101","100","100","100","101","102"
"Madison Satellite Facility","102","98","101","101","101","100","100","100","102","102"
"Noxubee Satellite Facility","92","86","92","92","92","87","87","87","91","91"
"Pike Satellite Facility","93","83","83","83","83","81","81","81","80","80"
"Quitman Satellite Facility","93","90","87","86","86","81","80","80","81","81"
"Rankin Satellite Facility","228","212","212","212","212","213","213","212","217","217"
"Simpson Satellite Facility","102","99","101","101","99","94","94","94","98","102"
"Washington Satellite Facility","102","101","100","100","99","97","96","95","100","99"
"Wilkinson Satellite Facility","102","101","101","101","100","101","101","101","101","101"
"Yazoo Satellite Facility","102","98","102","102","102","102","102","102","101","100"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,066","3,076","3,069","3,062","3,071","3,069","3,069","3,072","3,071"
"Bolivar County","294","289","295","294","292","293","293","293","293","293"
"Carroll County","280","278","279","279","278","279","279","279","281","278"
"George County","280","280","279","278","275","276","276","276","276","278"
"Holmes County","280","278","278","277","277","280","280","280","279","280"
"Issaquena County","274","272","271","269","268","274","274","274","274","271"
"Jefferson County","274","273","274","273","273","274","274","274","276","276"
"Kemper County","280","279","280","280","280","280","280","280","280","275"
"Leake County","280","280","280","280","280","278","277","277","277","280"
"Marion County","280","278","280","280","280","279","279","279","279","280"
"Stone County","280","280","280","280","280","280","279","279","279","280"
"Winston County","280","279","280","279","279","278","278","278","278","280"
"PRIVATE PRISONS","5,100","4,909","4,917","4,909","4,901","4,908","4,908","4,907","4,891","4,888"
"Delta","972","970","972","970","968","968","968","968","969","965"
"East Mississippi","1,000","883","884","883","882","881","881","881","881","882"
"Marshall County","1,000","994","995","995","995","992","992","991","986","991"
"Tallahatchie County","128","127","126","126","126","128","128","128","128","128"
"Walnut Grove","1,000","950","954","951","947","954","954","954","953","953"
"Wilkinson County","1,000","985","986","984","983","985","985","985","974","969"
"RESTITUTION CENTERS","16","12","12","12","12","13","13","13","13","13"
"Greenwood","6","3","3","3","3","4","4","4","4","4"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","","3","1","2","4","29","28","27","4","7"
"TOTALS","22,160","21,973","21,987","21,988","22,002","22,006","21,988","21,980","21,960","22,025"
