"Location","Capacity","19-Oct-10","20-Oct-10","21-Oct-10","22-Oct-10","23-Oct-10","24-Oct-10","25-Oct-10","26-Oct-10","27-Oct-10"
"Mississippi State Penitentiary","4,435","3,257","3,286","3,287","3,291","3,291","3,291","3,291","3,281","3,279"
"Central Mississippi Correctional Facility","3,449","3,150","3,157","3,160","3,148","3,149","3,152","3,157","3,181","3,202"
"South Mississippi Correctional Institution","3,204","3,176","3,147","3,163","3,183","3,181","3,181","3,181","3,178","3,167"
"County Jails","1,539","1,601","1,581","1,580","1,569","1,569","1,569","1,589","1,579","1,584"
"COMMUNITY WORK CENTERS","1,848","1,511","1,522","1,544","1,530","1,527","1,521","1,543","1,539","1,528"
"Alcorn Satellite Facility","92","74","74","74","71","71","71","74","74","74"
"Bolivar Satellite Facility","102","83","83","83","79","79","79","83","83","81"
"Forrest Satellite Facility","96","71","71","75","74","74","74","72","74","75"
"George Satellite Facility","102","91","91","89","87","87","87","88","89","88"
"Harrison Satellite Facility","102","77","77","79","79","79","78","79","78","77"
"Jackson Satellite Facility","102","75","75","79","74","74","74","74","76","76"
"Jefferson Satellite Facility","102","85","83","83","92","91","88","89","88","88"
"Leflore Satellite Facility","102","79","79","79","79","79","77","80","79","78"
"Madison Satellite Facility","102","93","93","102","101","101","101","100","100","99"
"Noxubee Satellite Facility","92","88","88","85","83","83","83","85","86","83"
"Pike Satellite Facility","93","79","81","81","81","81","81","81","77","77"
"Quitman Satellite Facility","93","66","66","70","71","70","71","70","74","74"
"Rankin Satellite Facility","260","218","218","218","215","215","214","218","218","217"
"Simpson Satellite Facility","102","85","90","95","93","93","93","97","96","97"
"Washington Satellite Facility","102","83","83","81","82","82","82","83","83","82"
"Wilkinson Satellite Facility","102","70","70","70","70","70","70","71","70","70"
"Yazoo Satellite Facility","102","94","100","101","99","98","98","99","94","92"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,008","3,013","3,012","3,012","3,011","3,011","3,010","3,012","3,005"
"Bolivar County","294","236","236","235","234","234","234","234","234","232"
"Carroll County","280","224","224","224","226","226","226","226","226","225"
"Chickasaw County","300","238","239","240","240","240","240","240","240","240"
"George County","280","224","224","224","224","224","224","224","224","222"
"Holmes County","280","224","224","224","224","224","224","224","224","224"
"Issaquena County","274","219","219","218","220","219","219","218","219","219"
"Jefferson County","280","223","224","224","223","223","223","223","224","224"
"Kemper County","355","284","284","284","283","283","283","284","284","284"
"Leake County","280","225","225","225","225","225","225","225","225","223"
"Marion County","280","223","224","224","224","224","224","224","224","224"
"Stone County","280","224","224","224","224","224","224","224","224","224"
"Winston County","280","222","224","225","224","224","224","224","224","224"
"Yazoo County","300","242","242","241","241","241","241","240","240","240"
"PRIVATE PRISONS","5,972","5,331","5,330","5,310","5,305","5,303","5,301","5,301","5,303","5,299"
"Delta","972","902","902","902","900","900","900","900","900","903"
"East Mississippi","1,500","1,363","1,363","1,363","1,362","1,361","1,359","1,361","1,361","1,359"
"Marshall County","1,000","953","952","952","952","952","952","952","950","949"
"Walnut Grove","1,500","1,199","1,200","1,200","1,198","1,197","1,197","1,195","1,199","1,196"
"Wilkinson County","1,000","914","913","893","893","893","893","893","893","892"
"RESTITUTION CENTERS","16","10","10","10","10","10","10","10","10","10"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","9","8","7","35","36","35","8","9","9"
"TOTALS","24,232","21,058","21,059","21,078","21,088","21,082","21,076","21,095","21,097","21,088"
