"Location","Capacity","19-Nov-10","20-Nov-10","21-Nov-10","22-Nov-10","23-Nov-10","24-Nov-10","25-Nov-10","26-Nov-10","27-Nov-10"
"Mississippi State Penitentiary","4,435","3,235","3,234","3,234","3,218","3,180","3,178","3,176","3,173","3,174"
"Central Mississippi Correctional Facility","3,449","3,167","3,166","3,165","3,172","3,182","3,172","3,172","3,173","3,173"
"South Mississippi Correctional Institution","3,204","3,176","3,176","3,173","3,166","3,160","3,173","3,171","3,168","3,168"
"County Jails","1,539","1,607","1,607","1,607","1,608","1,618","1,639","1,640","1,642","1,642"
"COMMUNITY WORK CENTERS","1,848","1,577","1,574","1,574","1,571","1,565","1,570","1,567","1,565","1,565"
"Alcorn Satellite Facility","92","78","78","78","78","76","76","75","75","75"
"Bolivar Satellite Facility","102","84","84","84","84","83","83","83","83","83"
"Forrest Satellite Facility","96","73","73","73","73","68","67","67","67","67"
"George Satellite Facility","102","88","88","88","86","83","84","84","84","84"
"Harrison Satellite Facility","102","74","73","73","72","75","75","75","75","75"
"Jackson Satellite Facility","102","75","75","75","75","80","80","80","80","80"
"Jefferson Satellite Facility","102","94","92","92","91","90","90","90","90","90"
"Leflore Satellite Facility","102","83","83","83","83","82","82","82","80","80"
"Madison Satellite Facility","102","97","97","97","95","95","98","98","98","98"
"Noxubee Satellite Facility","92","88","88","88","86","86","86","86","86","86"
"Pike Satellite Facility","93","90","90","90","90","88","88","88","88","88"
"Quitman Satellite Facility","93","78","78","78","80","80","80","79","79","79"
"Rankin Satellite Facility","260","217","217","217","221","216","219","218","218","218"
"Simpson Satellite Facility","102","95","95","95","95","98","98","98","98","98"
"Washington Satellite Facility","102","80","80","80","80","85","85","85","85","85"
"Wilkinson Satellite Facility","102","82","82","82","82","80","80","80","80","80"
"Yazoo Satellite Facility","102","101","101","101","100","100","99","99","99","99"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,007","3,007","3,004","3,008","3,008","3,007","3,007","3,005","3,005"
"Bolivar County","294","234","234","234","238","235","235","235","234","234"
"Carroll County","280","223","223","222","222","224","224","224","223","223"
"Chickasaw County","300","239","239","239","239","239","238","238","238","238"
"George County","280","224","224","224","223","224","224","224","224","224"
"Holmes County","280","223","223","222","224","224","224","224","224","224"
"Issaquena County","274","220","220","220","220","220","220","220","220","220"
"Jefferson County","280","224","224","223","222","223","223","223","223","223"
"Kemper County","355","283","283","283","284","283","283","283","283","283"
"Leake County","280","225","225","225","225","225","225","225","225","225"
"Marion County","280","224","224","224","224","224","224","224","224","224"
"Stone County","280","224","224","224","223","223","223","223","223","223"
"Winston County","280","224","224","224","224","224","224","224","224","224"
"Yazoo County","300","240","240","240","240","240","240","240","240","240"
"PRIVATE PRISONS","5,972","5,253","5,249","5,246","5,269","5,293","5,293","5,291","5,287","5,285"
"Delta","972","900","900","900","906","905","905","905","905","904"
"East Mississippi","1,500","1,363","1,361","1,359","1,361","1,361","1,363","1,361","1,360","1,360"
"Marshall County","1,000","930","930","930","940","940","940","940","938","938"
"Walnut Grove","1,500","1,199","1,197","1,196","1,199","1,200","1,199","1,199","1,198","1,198"
"Wilkinson County","1,000","861","861","861","863","887","886","886","886","885"
"RESTITUTION CENTERS","16","9","9","9","9","9","8","8","8","8"
"Greenwood","6","5","5","5","5","5","4","4","4","4"
"Hinds","6","2","2","2","2","2","2","2","2","2"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","6","7","7","7","8","9","9","6","5"
"TOTALS","24,232","21,042","21,034","21,024","21,033","21,028","21,054","21,046","21,032","21,030"
