"Location","Capacity","19-Apr-12","20-Apr-12","21-Apr-12","22-Apr-12","23-Apr-12","24-Apr-12","25-Apr-12","26-Apr-12","27-Apr-12"
"Mississippi State Penitentiary","4,648","3,291","3,285","3,281","3,280","3,287","3,281","3,284","3,274","3,294"
"Central Mississippi Correctional Facility","3,665","3,138","3,146","3,144","3,141","3,128","3,139","3,128","3,146","3,134"
"South Mississippi Correctional Institution","3,282","3,184","3,183","3,180","3,179","3,175","3,174","3,175","3,169","3,183"
"County Jails","1,753","2,188","2,200","2,200","2,200","2,207","2,209","2,258","2,244","2,242"
"COMMUNITY WORK CENTERS","1,848","1,541","1,547","1,546","1,545","1,550","1,550","1,548","1,567","1,558"
"Alcorn Satellite Facility","92","91","91","91","91","91","92","92","92","92"
"Bolivar Satellite Facility","102","81","85","85","85","84","83","83","86","80"
"Forrest Satellite Facility","96","84","83","83","83","83","83","83","80","80"
"George Satellite Facility","102","79","79","79","79","78","78","78","83","83"
"Harrison Satellite Facility","102","79","79","79","79","78","78","78","87","87"
"Jackson Satellite Facility","102","78","78","78","78","78","78","76","80","79"
"Jefferson Satellite Facility","102","77","77","77","77","77","77","76","73","72"
"Leflore Satellite Facility","102","80","82","82","81","80","80","81","81","86"
"Madison Satellite Facility","102","91","92","94","94","94","94","94","94","89"
"Noxubee Satellite Facility","92","79","78","78","78","79","77","77","76","73"
"Pike Satellite Facility","93","90","88","88","88","88","90","90","91","93"
"Quitman Satellite Facility","93","92","92","92","92","93","93","92","92","91"
"Rankin Satellite Facility","260","201","203","203","203","207","207","207","210","210"
"Simpson Satellite Facility","102","101","99","99","99","101","102","102","102","100"
"Washington Satellite Facility","102","81","79","79","79","80","82","82","81","87"
"Wilkinson Satellite Facility","102","70","76","73","73","72","69","69","72","70"
"Yazoo Satellite Facility","102","87","86","86","86","87","87","88","87","86"
"REGIONAL CORRECTIONAL FACILITIES","4,363","4,274","4,267","4,263","4,259","4,264","4,268","4,273","4,274","4,269"
"Alcorn County","300","299","298","298","297","297","302","301","300","300"
"Bolivar County","294","291","293","293","293","293","292","293","294","294"
"Carroll County","280","280","277","277","277","277","277","280","280","279"
"Chickasaw County","300","299","300","300","299","299","301","300","300","295"
"George County","280","280","280","280","280","279","279","280","279","279"
"Holmes County","280","279","278","276","276","279","280","280","280","280"
"Issaquena County","274","274","274","274","274","274","274","274","274","275"
"Jefferson County","280","280","280","280","278","279","279","277","279","280"
"Kemper County","355","339","338","337","337","340","340","340","340","340"
"Leake County","280","280","278","278","278","278","279","280","279","278"
"Marion County","280","280","280","280","280","279","278","280","280","280"
"Stone County","280","280","281","280","280","280","279","280","281","281"
"Washington County","300","234","231","231","231","230","228","229","228","228"
"Winston County","280","278","278","278","278","280","280","279","280","279"
"Yazoo County","300","301","301","301","301","300","300","300","300","301"
"PRIVATE PRISONS","5,972","4,195","4,190","4,188","4,185","4,190","4,195","4,195","4,197","4,196"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,360","1,361","1,360","1,358","1,360","1,362","1,362","1,362","1,362"
"Marshall County","1,000","979","978","978","978","977","976","976","977","975"
"Walnut Grove","1,500","969","967","967","966","972","972","971","970","973"
"Wilkinson County","1,000","887","884","883","883","881","885","886","888","886"
"RESTITUTION CENTERS","16","9","9","9","9","9","9","9","10","10"
"Greenwood","6","5","5","5","5","5","5","5","6","6"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","5","15","17","18","4","3","3","5","11"
"TOTALS","25,553","21,825","21,842","21,828","21,816","21,814","21,828","21,873","21,886","21,897"
