"Location","Capacity","1-Jan-13","2-Jan-13","3-Jan-13","4-Jan-13","5-Jan-13","6-Jan-13","7-Jan-13","8-Jan-13","9-Jan-13"
"Mississippi State Penitentiary","4,648","3,354","3,375","3,383","3,384","3,382","3,380","3,377","3,376","3,370"
"Central Mississippi Correctional Facility","3,557","3,355","3,369","3,384","3,423","3,422","3,415","3,415","3,402","3,401"
"Youthful Offender Unit","42","25","24","20","15","15","18","22","18","18"
"South Mississippi Correctional Institution","3,282","3,245","3,253","3,257","3,254","3,254","3,254","3,250","3,246","3,246"
"County Jails","1,818","2,180","2,119","2,059","1,987","1,987","1,988","1,988","2,000","2,042"
"COMMUNITY WORK CENTERS","1,848","1,476","1,472","1,460","1,466","1,464","1,461","1,455","1,454","1,452"
"Alcorn Satellite Facility","92","91","91","92","92","92","92","92","90","90"
"Bolivar Satellite Facility","102","66","65","65","65","65","65","65","64","64"
"Forrest Satellite Facility","96","74","74","76","76","76","76","76","76","76"
"George Satellite Facility","102","74","74","76","76","76","76","76","76","77"
"Harrison Satellite Facility","102","74","74","71","71","71","70","69","69","69"
"Jackson Satellite Facility","102","64","63","64","64","62","62","62","61","61"
"Jefferson Satellite Facility","102","59","59","59","59","59","59","59","64","63"
"Leflore Satellite Facility","102","76","76","74","73","73","73","73","72","72"
"Madison Satellite Facility","102","87","86","84","84","84","84","84","83","83"
"Noxubee Satellite Facility","92","77","77","77","79","79","79","79","79","79"
"Pike Satellite Facility","93","93","92","92","92","92","92","92","92","92"
"Quitman Satellite Facility","93","93","93","92","91","91","91","91","93","92"
"Rankin Satellite Facility","260","247","246","243","243","241","239","236","235","234"
"Simpson Satellite Facility","102","93","93","97","94","97","97","97","97","97"
"Washington Satellite Facility","102","70","70","69","69","69","69","68","67","67"
"Wilkinson Satellite Facility","102","56","57","55","55","54","54","53","53","53"
"Yazoo Satellite Facility","102","82","82","83","83","83","83","83","83","83"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,346","4,357","4,355","4,374","4,370","4,369","4,361","4,351","4,344"
"Alcorn County","300","298","298","300","300","300","300","300","299","299"
"Bolivar County","369","366","367","369","370","369","369","368","366","365"
"Carroll County","280","281","280","278","278","278","278","277","274","273"
"Chickasaw County","300","299","299","300","300","299","299","298","298","298"
"George County","280","279","280","279","278","278","278","277","277","276"
"Holmes County","280","280","279","280","279","279","279","279","279","278"
"Issaquena County","274","273","272","272","274","274","274","274","274","274"
"Jefferson County","280","280","280","280","281","280","280","278","278","278"
"Kemper County","355","337","339","339","339","339","339","339","339","339"
"Leake County","280","280","281","281","282","282","282","281","281","280"
"Marion County","280","280","280","280","280","280","280","280","280","280"
"Stone County","280","277","278","280","280","280","280","280","278","277"
"Washington County","300","237","243","239","254","254","254","254","253","253"
"Winston County","280","279","279","277","277","277","276","275","274","273"
"Yazoo County","300","300","302","301","302","301","301","301","301","301"
"PRIVATE PRISONS","5,972","4,332","4,339","4,340","4,347","4,346","4,346","4,343","4,335","4,328"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,120","1,121","1,126","1,129","1,129","1,129","1,128","1,127","1,124"
"Marshall County","1,000","999","999","998","999","999","999","999","999","997"
"Walnut Grove","1,500","1,314","1,315","1,312","1,313","1,313","1,313","1,312","1,305","1,303"
"Wilkinson County","1,000","899","904","904","906","905","905","904","904","904"
"RESTITUTION CENTERS","16","10","10","10","10","10","10","10","13","13"
"Greenwood","6","2","2","2","2","2","2","2","5","5"
"Hinds","6","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","5","5","5","5","5","6","6","5","10"
"TOTALS","25,611","22,328","22,323","22,273","22,265","22,255","22,247","22,227","22,200","22,224"
