"Location","Capacity","11-Mar-14","12-Mar-14","13-Mar-14","14-Mar-14","15-Mar-14","16-Mar-14","17-Mar-14","18-Mar-14","19-Mar-14","20-Mar-14","21-Mar-14"
"Mississippi State Penitentiary","4,648","3,325","3,327","3,339","3,353","3,352","3,350","3,358","3,350","3,351","3,357","3,356"
"Central Mississippi Correctional Facility","3,665","3,012","3,044","3,002","2,986","2,985","2,985","2,972","2,995","2,999","2,976","2,972"
"Youthful Offender Unit","42","35","35","35","34","34","34","34","36","36","36","36"
"South Mississippi Correctional Institution","3,282","3,205","3,178","3,202","3,208","3,205","3,205","3,206","3,203","3,205","3,212","3,208"
"County Jails","2,020","1,973","1,966","1,944","1,965","1,965","1,965","1,955","2,001","1,977","1,967","1,971"
"COMMUNITY WORK CENTERS","1,848","1,178","1,151","1,150","1,137","1,134","1,131","1,141","998","1,147","1,146","1,134"
"Alcorn Satellite Facility","92","87","85","84","82","81","81","87","87","87","87","87"
"Bolivar Satellite Facility","102","50","47","47","46","46","46","49","49","46","49","47"
"Forrest Satellite Facility","96","52","50","49","52","52","52","51","51","53","51","50"
"George Satellite Facility","102","61","60","61","60","60","60","61","61","61","60","59"
"Harrison Satellite Facility","102","48","41","38","38","38","38","38","36","37","36","38"
"Jackson Satellite Facility","102","52","50","48","48","48","48","46","46","45","45","45"
"Jefferson Satellite Facility","102","51","49","48","47","47","47","46","46","48","48","47"
"Leflore Satellite Facility","102","50","50","49","50","50","50","50","55","57","56","55"
"Madison Satellite Facility","102","46","43","43","43","43","43","43","42","42","44","45"
"Noxubee Satellite Facility","92","73","72","72","70","70","69","70","70","70","74","71"
"Pike Satellite Facility","93","90","88","88","88","88","86","88","88","90","90","90"
"Quitman Satellite Facility","93","78","78","78","63","61","61","64","63","62","62","61"
"Rankin Satellite Facility","260","198","199","199","199","199","199","199","56","201","201","200"
"Simpson Satellite Facility","102","93","91","93","97","97","97","97","97","96","95","95"
"Washington Satellite Facility","102","56","53","58","58","58","58","55","55","54","52","50"
"Wilkinson Satellite Facility","102","42","44","44","44","44","44","44","43","43","43","42"
"Yazoo Satellite Facility","102","51","51","51","52","52","52","53","53","55","53","52"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,406","4,405","4,417","4,418","4,415","4,415","4,420","4,416","4,410","4,421","4,418"
"Alcorn County","300","295","299","299","298","298","298","298","300","300","300","299"
"Bolivar County","369","366","363","365","367","367","367","369","369","369","368","367"
"Carroll County","280","279","280","280","280","280","280","280","280","280","278","278"
"Chickasaw County","300","298","299","300","300","300","300","298","297","297","300","300"
"George County","280","278","278","277","276","276","276","280","279","280","281","280"
"Holmes County","280","279","280","280","279","279","279","280","280","280","280","280"
"Issaquena County","274","273","271","273","274","274","274","274","272","273","274","274"
"Jefferson County","280","277","273","278","278","278","278","280","278","277","277","277"
"Kemper County","355","355","354","355","355","355","355","354","352","351","355","355"
"Leake County","280","277","279","279","281","281","281","281","281","280","280","280"
"Marion County","280","280","279","279","280","280","280","280","280","279","280","280"
"Stone County","280","280","280","280","278","278","278","278","280","277","277","277"
"Washington County","300","293","297","295","295","295","295","294","289","289","294","294"
"Winston County","280","277","273","275","275","274","274","274","278","280","279","279"
"Yazoo County","300","299","300","302","302","300","300","300","301","298","298","298"
"PRIVATE PRISONS","5000","4367","4365","4369","4370","4369","4366","4361","4363","4365","4369","4370"
"East Mississippi","1,500","1,199","1,201","1,200","1,201","1,201","1,200","1,198","1,199","1,200","1,200","1,200"
"Marshall County","1,000","1,000","998","998","998","998","998","998","1,000","999","999","999"
"Walnut Grove","1,500","1,294","1,292","1,292","1,292","1,291","1,289","1,288","1,289","1,291","1,295","1,296"
"Wilkinson County","1,000","874","874","879","879","879","879","877","875","875","875","875"
"RESTITUTION CENTERS","16","12","12","12","11","11","11","11","11","11","11","10"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","3","3","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","3","3","3","2","2","2","2","2","2","2","1"
"TOTALS","24,959","21,513","21,483","21,470","21,482","21,470","21,462","21,458","21,373","21,501","21,495","21,475"
