"Location","Capacity","1-Dec-14","2-Dec-14","3-Dec-14","4-Dec-14","5-Dec-14","6-Dec-14","7-Dec-14","8-Dec-14","9-Dec-14"
"Mississippi State Penitentiary","4,648","3,134","3,116","3,117","3,110","3,139","3,136","3,127","3,145","3,157"
"Central Mississippi Correctional Facility","3,469","2,207","2,213","2,227","2,278","2,279","2,276","2,278","2,217","2,187"
"Youthful Offender Unit","58","34","33","34","35","35","35","35","35","35"
"CMCF TVC","350","84","84","84","85","35","84","84","89","90"
"South Mississippi Correctional Institution","3,282","2,627","2,635","2,637","2,624","2,623","2,622","2,624","2,635","2,634"
"County Jails","1,973","1,517","1,517","1,511","1,501","1,551","1,502","1,502","1,475","1,481"
"COMMUNITY WORK CENTERS","1,848","1,093","1,095","1,094","1,097","1,092","1,090","1,085","1,099","1,111"
"Alcorn Satellite Facility","92","74","73","73","75","75","75","75","75","75"
"Bolivar Satellite Facility","102","52","53","53","51","51","51","51","50","50"
"Forrest Satellite Facility","96","55","54","54","54","54","54","55","55","55"
"George Satellite Facility","102","53","53","53","53","53","52","51","51","51"
"Harrison Satellite Facility","102","48","48","48","51","50","50","48","49","48"
"Jackson Satellite Facility","102","47","47","46","46","45","45","45","45","45"
"Jefferson Satellite Facility","102","46","52","52","51","51","52","52","51","55"
"Leflore Satellite Facility","102","53","53","53","54","54","54","54","54","54"
"Madison Satellite Facility","102","51","51","51","49","48","48","48","48","48"
"Noxubee Satellite Facility","92","69","72","72","72","71","71","71","70","72"
"Pike Satellite Facility","93","82","80","80","80","80","80","80","85","83"
"Quitman Satellite Facility","93","51","51","51","52","52","52","52","53","58"
"Rankin Satellite Facility","260","181","182","182","182","183","183","182","191","191"
"Simpson Satellite Facility","102","87","85","85","84","82","82","82","83","87"
"Washington Satellite Facility","102","53","52","52","52","52","52","51","51","51"
"Wilkinson Satellite Facility","102","40","39","39","41","40","38","38","38","38"
"Yazoo Satellite Facility","102","51","50","50","50","51","51","50","50","50"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,205","4,201","4,200","4,184","4,179","4,177","4,175","4,212","4,220"
"Alcorn County","300","298","298","298","298","298","298","298","298","298"
"Bolivar County","369","359","360","360","359","358","357","356","359","359"
"Carroll County","280","261","261","259","258","257","257","257","258","261"
"Chickasaw County","300","300","298","296","300","300","300","299","299","298"
"George County","280","257","257","256","255","255","255","255","258","258"
"Holmes County","280","263","264","264","264","261","261","261","265","265"
"Issaquena County","274","257","257","259","258","258","258","258","256","255"
"Jefferson County","280","258","257","257","255","255","255","255","262","262"
"Kemper County","355","330","330","328","327","326","326","326","329","340"
"Leake County","280","252","251","250","248","253","252","252","260","254"
"Marion County","280","271","271","271","271","271","271","271","274","275"
"Stone County","280","269","269","269","268","268","268","268","268","270"
"Washington County","300","281","281","287","287","287","287","287","282","282"
"Winston County","280","265","263","261","254","250","250","250","263","261"
"Yazoo County","300","284","284","285","282","282","282","282","281","282"
"PRIVATE PRISONS","5,972","4,326","4,339","4,341","4,335","4,338","4,335","4,335","4,326","4,322"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,179","1,183","1,179","1,178","1,176","1,175","1,175","1,174","1,175"
"Marshall County","1,000","997","997","997","995","994","993","993","991","992"
"Walnut Grove","1,500","1,287","1,285","1,288","1,287","1,282","1,282","1,282","1,276","1,270"
"Wilkinson County","1,000","863","874","877","875","886","885","885","885","885"
"RESTITUTION CENTERS","16","6","6","6","6","6","6","6","6","6"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","0","0","0","0","0","0","0","0","0"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,710","19,233","19,239","19,251","19,255","19,277","19,263","19,251","19,239","19,243"
