"Location","Capacity","28-Jan-16","29-Jan-16","30-Jan-16","31-Jan-16","Avg Population"
"Mississippi State Penitentiary","3,590","3,290","3,274","3,275","3,275","3,259"
"MSP TVC","","19","19","19","19","18"
"Central Mississippi Correctional Facility","2,824","2,531","2,562","2,564","2,562","2,716"
"Youthful Offender Unit","58","29","29","29","29","29"
"CMCF TVC","","0","0","0","0","14"
"South Mississippi Correctional Institution","2,882","2,702","2,705","2,703","2,703","2,692"
"SMCI TVC","","0","0","0","0","10"
"County Jails","1,780","1,294","1,283","1,283","1,283","1,135"
"COMMUNITY WORK CENTERS","1,848","1,010","994","991","991","1,009"
"Alcorn Satellite Facility","92","0","0","0","0","0"
"Bolivar Satellite Facility","102","34","33","33","33","41"
"Forrest Satellite Facility","96","72","70","70","70","69"
"George Satellite Facility","102","62","62","61","61","58"
"Harrison Satellite Facility","102","60","59","59","59","61"
"Jackson Satellite Facility","102","40","40","40","40","44"
"Jefferson Satellite Facility","102","0","0","0","0","0"
"Leflore Satellite Facility","102","21","20","20","20","36"
"Madison Satellite Facility","102","80","80","80","80","74"
"Noxubee Satellite Facility","92","82","82","82","82","81"
"Pike Satellite Facility","93","79","77","77","77","74"
"Quitman Satellite Facility","93","81","80","80","80","74"
"Rankin Satellite Facility","260","145","145","145","145","154"
"Flowood TVC","","12","11","11","11","2"
"Simpson TVC and Simpson TVC support","102","53","50","50","50","51"
"Washington Satellite Facility","102","84","80","78","78","84"
"Wilkinson Satellite Facility","102","53","53","53","53","56"
"Yazoo Satellite Facility","102","52","52","52","52","52"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,952","3,968","3,956","3,954","3,886"
"Alcorn County","300","0","0","0","0","0"
"Bolivar County","369","361","361","360","360","351"
"Carroll County","280","272","273","272","272","266"
"Chickasaw County","300","255","263","263","263","259"
"George County","280","273","272","271","271","271"
"Holmes County","280","270","271","271","271","274"
"Issaquena County","274","269","269","267","267","252"
"Jefferson County","280","275","280","278","278","273"
"Kemper County","355","348","351","351","351","336"
"Leake County","280","275","274","274","274","267"
"Marion County","280","280","279","279","279","279"
"Stone County","280","278","278","277","275","276"
"Washington County","300","233","233","231","231","231"
"Winston County","280","267","267","265","265","267"
"Yazoo County","300","296","297","297","297","284"
"PRIVATE PRISONS","5,972","3,930","3,936","3,936","3,937","3,921"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,148","1,146","1,146","1,147","1,139"
"Marshall County","1,000","997","1,000","1,000","1,000","999"
"Walnut Grove","1,500","934","939","939","939","925"
"Wilkinson County","1,000","851","851","851","851","858"
"RESTITUTION CENTERS","16","9","9","9","9","10"
"Greenwood","6","2","2","2","2","3"
"Hinds","6","5","5","5","5","5"
"Pascagoula","4","2","2","2","2","2"
"TOTALS","23,408","18,766","18,779","18,765","18,762","18,699"
