"Location","Capacity","10-Feb-16","11-Feb-16","12-Feb-16","13-Feb-16","14-Feb-16","15-Feb-16","16-Feb-16","17-Feb-16","18-Feb-16"
"Mississippi State Penitentiary","3,590","3,397","3,371","3,371","3,372","3,373","3,373","3,371","3,371","3,382"
"MSP TVC","","0","0","0","0","0","0","0","0","0"
"Central Mississippi Correctional Facility","2,876","2,650","2,665","2,632","2,631","2,632","2,628","2,646","2,674","2,791"
"Youthful Offender Unit","58","28","28","28","28","28","28","28","29","29"
"CMCF TVC","","2","2","8","8","8","8","8","8","8"
"South Mississippi Correctional Institution","2,882","2,822","2,815","2,814","2,813","2,812","2,809","2,800","2,795","2,800"
"County Jails","1,986","1,448","1,456","1,476","1,476","1,476","1,476","1,494","1,515","1,506"
"COMMUNITY WORK CENTERS","1,950","1,059","1,055","1,049","1,042","1,037","1,077","1,072","1,068","1,071"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","34","34","31","31","31","34","33","32","32"
"Forrest Satellite Facility","96","73","72","74","74","73","77","77","75","75"
"George Satellite Facility","102","73","73","72","72","72","73","75","75","75"
"Harrison Satellite Facility","102","65","63","59","59","59","63","64","64","64"
"Jackson Satellite Facility","102","39","39","37","37","37","39","39","39","39"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","21","20","18","18","18","20","20","20","20"
"Leflore TVC Support","20","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","102","89","89","90","90","90","90","90","90","93"
"Noxubee Satellite Facility","92","86","86","80","80","80","89","89","88","87"
"Pike Satellite Facility","93","90","90","91","91","91","91","91","89","89"
"Quitman Satellite Facility","93","87","87","84","82","81","84","83","83","82"
"Rankin Satellite Facility","260","136","137","131","131","131","135","135","135","134"
"Flowood TVC","","19","18","20","20","20","20","19","19","19"
"Simpson TVC and Simpson TVC support","102","71","71","97","92","89","90","90","90","90"
"Washington Satellite Facility","102","84","83","80","80","80","81","78","78","78"
"Wilkinson Satellite Facility","102","57","58","56","56","56","58","56","56","59"
"Yazoo Satellite Facility","102","35","35","29","29","29","33","33","35","35"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,584","3,576","3,554","3,554","3,551","3,550","3,544","3,531","3,422"
"Alcorn County","240","240","240","240","240","239","239","238","240","240"
"Bolivar County","369","250","250","294","294","293","293","293","293","293"
"Carroll County","280","240","240","240","240","240","240","239","239","239"
"Chickasaw County","300","239","239","229","229","229","229","229","229","240"
"George County","280","240","238","229","229","229","229","227","227","202"
"Holmes County","280","239","238","228","228","228","227","226","211","200"
"Issaquena County","274","238","237","236","236","236","236","235","235","234"
"Jefferson County","280","237","237","230","230","230","230","228","229","229"
"Kemper County","355","240","238","258","258","257","257","257","257","257"
"Leake County","280","240","240","212","212","212","212","212","211","201"
"Marion County","280","238","238","237","237","237","237","235","234","209"
"Stone County","280","240","240","239","239","239","239","237","238","200"
"Washington County","300","232","231","231","231","231","231","235","235","239"
"Winston County","280","235","234","214","214","214","214","213","213","202"
"Yazoo County","300","236","236","237","237","237","237","240","240","237"
"PRIVATE PRISONS","5,972","3,947","3,963","3,957","3,958","3,957","3,956","3,949","3,947","3,944"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,135","1,141","1,140","1,141","1,141","1,140","1,137","1,139","1,140"
"Marshall County","1,000","995","993","992","992","992","992","992","993","992"
"Walnut Grove","1,500","938","935","933","933","932","932","928","926","925"
"Wilkinson County","1,000","879","894","892","892","892","892","892","889","887"
"RESTITUTION CENTERS","16","9","9","9","9","9","9","9","9","9"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"TOTALS","23,606","18,946","18,940","18,898","18,891","18,883","18,914","18,921","18,947","18,962"
