"Location","Capacity","18-Aug-19","19-Aug-19","20-Aug-19","21-Aug-19","22-Aug-19","23-Aug-19","24-Aug-19","25-Aug-19","26-Aug-19","27-Aug-19","28-Aug-19","29-Aug-19","30-Aug-19","31-Aug-19","Avg Population"
"Mississippi State Penitentiary","3,560","3,262","3,259","3,263","3,277","3,270","3,278","3,277","3,277","3,267","3,263","3,246","3,251","3,246","3,244","3,276"
"Central Mississippi Correctional Facility","4,131","3,615","3,587","3,577","3,561","3,583","3,542","3,544","3,547","3,553","3,580","3,599","3,577","3,587","3,586","3614"
"Youthful Offender Unit","58","24","24","24","24","25","26","26","26","26","26","27","27","26","26","24"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,660","2,651","2,648","2,655","2,644","2,651","2,649","2,648","2,655","2,664","2,656","2,656","2,652","2,652","2649"
"County Jails","1,793","1,288","1,332","1,302","1,289","1,283","1,290","1,290","1,290","1,290","1,278","1,269","1,288","1,291","1,291","1268"
"COMMUNITY WORK CENTERS","1,372","1,009","1,026","1,019","1,025","1,018","1,024","1,023","1,021","1,020","1,013","1,009","1,008","1,010","1,006","1026"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","88","97","96","95","85","77","77","77","76","78","77","77","93","93","85"
"Delta TVC","324","284","293","282","293","286","285","285","283","282","272","275","269","266","262","293"
"Forrest Satellite Facility","96","76","78","78","78","78","78","78","78","77","77","77","76","76","76","79"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","45","45","45","44","44","44","43","43","44","44","43","43","50","50","46"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","81","73","74","84","94","102","102","102","102","102","100","100","75","75","85"
