"Location","Capacity","1-May-20","2-May-20","3-May-20","4-May-20","5-May-20","6-May-20","7-May-20","8-May-20","9-May-20","10-May-20","11-May-20","12-May-20","13-May-20","14-May-20","15-May-20","16-May-20","17-May-20"
"Mississippi State Penitentiary","3,560","2,051","2,049","2,048","2,046","2,037","2,037","2,034","2,033","2,032","2,032","2,031","2,028","2,029","2,032","2,029","2,028","2,027"
"Central Mississippi Correctional Facility","4,094","3,454","3,453","3,449","3,439","3,425","3,432","3,449","3,447","3,448","3,447","3,536","3,423","3,406","3,404","3,401","3,399","3,399"
"Youthful Offender Unit","58","19","19","19","19","19","19","19","19","19","19","19","19","18","18","18","18","18"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,539","2,536","2,535","2,525","2,514","2,512","2,506","2,506","2,505","2,505","2,498","2,497","2,490","2,488","2,486","2,486","2,485"
"County Jails","1,793","1,482","1,482","1,482","1,492","1,492","1,479","1,436","1,440","1,440","1,440","1,452","1,472","1,475","1,460","1,470","1,470","1,470"
"COMMUNITY WORK CENTERS","1,372","552","551","551","549","543","536","534","532","532","530","530","528","528","527","524","525","524"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","61","61","61","61","61","61","60","60","60","60","60","60","60","60","90","90","90"
"Delta TVC","324","15","15","14","13","11","11","11","10","10","8","8","7","7","7","7","7","7"
"Forrest Satellite Facility","96","73","73","73","73","73","73","73","73","73","73","73","73","73","73","71","71","71"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0","0","0"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","53","53","53","53","53","51","51","50","50","50","50","50","50","49","49","49","49"
"Noxubee Satellite Facility","58","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37"
"Pike Satellite Facility","93","84","84","84","83","80","80","80","80","80","80","80","80","80","80","79","79","79"
"Quitman Satellite Facility","93","52","51","52","52","51","48","48","48","48","48","48","48","48","48","48","49","48"
"Rankin Satellite Facility","178","136","136","136","136","136","134","133","133","133","133","133","132","132","132","132","132","132"
"Rankin Satellite Facility (RRP)","28","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11"
"Flowood TVC","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
