"Location","Capacity","21-May","22-May","23-May","24-May","25-May","26-May","27-May","28-May","29-May","30-May","31-May"
"MS STATE PENITENTIARY","5,631","5,298","5,293","5,287","5,302","5,300","5,297","5,295","5,293","5,307","5,320","5,306"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,939","2,938","2,986","2,989","2,972","2,972","2,974","2,974","2,983","2,985","2,981"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","1,982","2,000","1,989","1,979","2,004","2,004","2,004","2,004","2,003","2,002","2,012"
"COUNTY JAILS","2,104","1,413","1,399","1,371","1,395","1,383","1,383","1,383","1,383","1,392","1,393","1,449"
"COMMUNITY WORK CENTERS","1,320","1,271","1,277","1,273","1,284","1,283","1,283","1,282","1,282","1,275","1,272","1,271"
"Alcorn Satellite Facility","75","73","73","73","73","73","73","73","73","73","74","73"
"Bolivar Satellite Facility","75","74","74","74","75","75","75","74","74","74","74","74"
"Forrest Satellite Facility","75","75","75","74","75","74","74","74","75","75","74","74"
"George Satellite Facility","75","75","75","75","75","74","74","74","74","73","73","73"
"Harrison Satellite Facility","75","74","72","72","75","74","74","74","74","74","73","73"
"Jackson Satellite Facility","75","75","73","73","75","75","75","75","75","75","74","73"
"Jefferson Satellite Facility","75","75","75","75","75","75","75","75","75","75","74","74"
"Leflore Satellite Facility","75","75","75","74","74","75","75","75","75","74","71","75"
"Madison Satellite Facility","75","75","75","75","74","75","75","75","74","74","74","73"
"Noxubee Satellite Facility","75","74","75","75","75","75","75","75","75","74","74","74"
"Pike Satellite Facility","75","63","65","65","66","66","66","66","66","66","65","63"
"Quitman Satellite Facility","75","62","66","64","67","67","67","67","67","67","68","67"
"Rankin Satellite Facility","120","105","109","109","111","112","112","112","112","109","109","109"
"Simpson Satellite Facility","75","75","75","75","74","74","74","74","74","74","74","74"
"Washington Satellite Facility","75","75","75","75","75","74","74","74","74","74","74","74"
"Wilikinson Satellite Facility","75","71","70","70","70","70","70","70","70","69","73","73"
"Yazoo Satellite Facility","75","75","75","75","75","75","75","75","75","75","74","75"
"REGIONAL CORRECTIONAL FACILITIES","2,500","1,998","2,003","2,001","1,991","1,988","1,987","1,987","1,987","1,988","1,976","1,980"
"Bolivar County","250","198","198","198","198","198","198","198","198","198","198","198"
"Carroll County","250","201","201","201","196","196","196","196","196","196","196","197"
"Holmes County","250","196","200","199","199","198","198","198","198","198","198","198"
"Issaquena County","250","206","205","205","203","203","202","202","202","202","191","190"
"Jefferson County","250","199","199","199","200","200","200","200","200","200","200","200"
"Kemper County","250","196","195","195","195","194","194","194","194","195","195","195"
"Leake County","250","197","200","200","200","200","200","200","200","200","200","201"
"Marion County","250","196","196","196","196","196","196","196","196","196","195","198"
"Stone County","250","200","200","199","195","195","195","195","195","195","195","200"
"Winston County","250","209","209","209","209","208","208","208","208","208","208","203"
"PRIVATE PRISONS","3,900","3,212","3,212","3,210","3,218","3,218","3,217","3,217","3,216","3,215","3,213","3,210"
"Delta","1,000","754","754","754","755","755","755","755","754","756","755","754"
"East MS","500","497","497","496","497","497","497","497","497","497","497","498"
"Marshall County","1,000","739","736","736","736","736","736","736","736","735","734","733"
"Walnut Grove","500","341","345","345","348","348","348","348","348","350","350","349"
"Wilkinson County","900","881","880","879","882","882","881","881","881","877","877","876"
"RESITITUTION CENTERS","24","18","18","18","18","18","18","18","18","18","18","18"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","11","11","11","11","11","11","11","11","11","11","11"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","20,748","18,137","18,146","18,141","18,182","18,172","18,167","18,166","18,163","18,187","18,185","18,233"
"","","21-May","22-May","23-May","24-May","25-May","26-May","27-May","28-May","29-May","30-May","31-May"
