"Location","Capacity","11-Jun","12-Jun","13-Jun","14-Jun","15-Jun","16-Jun","17-Jun","18-Jun","19-Jun","20-Jun"
"MS STATE PENITENTIARY","5,631","5,371","5,394","5,375","5,382","5,360","5,359","5,359","5,356","5,379","5,368"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","3,023","2,995","3,008","3,007","3,013","3,013","3,015","3,012","3,008","3,035"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","1,970","1,967","1,962","1,978","1,980","1,980","1,980","2,011","1,999","1,998"
"COUNTY JAILS (capacity increased by 18 on 6/7/01)","2,122","1,403","1,424","1,419","1,408","1,425","1,426","1,426","1,442","1,410","1,410"
"COMMUNITY WORK CENTERS","1,320","1,268","1,274","1,276","1,283","1,253","1,250","1,250","1,266","1,272","1,278"
"Alcorn Satellite Facility","75","73","74","74","74","70","70","70","75","75","74"
"Bolivar Satellite Facility","75","73","74","74","74","72","72","72","75","75","75"
"Forrest Satellite Facility","75","75","75","75","75","73","73","73","75","75","75"
"George Satellite Facility","75","73","73","73","74","74","74","74","75","75","74"
"Harrison Satellite Facility","75","70","74","74","74","74","71","71","52","60","69"
"Jackson Satellite Facility","75","74","74","73","73","73","73","73","74","74","74"
"Jefferson Satellite Facility","75","75","75","75","75","66","66","66","75","75","75"
"Leflore Satellite Facility","75","74","74","72","74","71","71","71","75","75","75"
"Madison Satellite Facility","75","74","74","75","75","73","73","73","75","75","75"
"Noxubee Satellite Facility","75","74","74","74","74","73","73","73","74","73","73"
"Pike Satellite Facility","75","65","64","66","68","67","67","67","68","68","68"
"Quitman Satellite Facility","75","64","64","64","65","64","64","64","64","64","63"
"Rankin Satellite Facility","120","116","115","110","111","111","111","111","112","112","112"
"Simpson Satellite Facility","75","75","74","73","73","74","74","74","75","74","74"
"Washington Satellite Facility","75","73","72","74","74","71","71","71","74","74","74"
"Wilikinson Satellite Facility","75","69","69","75","75","72","72","72","73","73","73"
"Yazoo Satellite Facility","75","71","75","75","75","75","75","75","75","75","75"
"REGIONAL CORRECTIONAL FACILITIES","2,500","1,992","1,993","1,976","1,973","1,985","1,984","1,983","1,982","1,979","1,987"
"Bolivar County","250","199","199","199","199","199","199","199","198","198","197"
"Carroll County","250","201","201","187","187","200","200","200","200","199","199"
"Holmes County","250","199","201","201","201","201","201","201","201","201","200"
"Issaquena County","250","200","199","201","200","199","199","199","199","199","198"
"Jefferson County","250","200","198","195","195","195","195","195","195","195","201"
"Kemper County","250","199","198","197","197","197","196","196","196","196","203"
"Leake County","250","198","200","200","200","200","200","200","200","200","200"
"Marion County","250","198","198","198","197","197","197","197","197","197","194"
"Stone County","250","200","200","199","198","198","198","197","197","195","195"
"Winston County","250","198","199","199","199","199","199","199","199","199","200"
"PRIVATE PRISONS","3,900","3,208","3,203","3,192","3,192","3,190","3,190","3,190","3,184","3,199","3,197"
"Delta","1,000","745","744","742","742","742","742","742","742","742","742"
"East MS","500","500","498","498","498","496","496","496","490","497","496"
"Marshall County","1,000","720","719","716","716","716","716","716","716","716","716"
"Walnut Grove","500","362","362","360","360","360","360","360","360","368","370"
"Wilkinson County","900","881","880","876","876","876","876","876","876","876","873"
"RESITITUTION CENTERS","24","17","17","16","16","14","14","14","16","16","16"
"Greenwood","6","5","5","5","5","4","4","4","5","5","5"
"Hinds","12","11","11","10","10","9","9","9","10","10","10"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","20,766","18,258","18,273","18,230","18,245","18,226","18,222","18,223","18,275","18,268","18,295"
