"Location","Capacity","21-Jun","22-Jun","23-Jun","24-Jun","25-Jun","26-Jun","27-Jun","28-Jun","29-Jun","30-Jun"
"MS STATE PENITENTIARY","5,631","5,379","5,344","5,343","5,340","5,356","5,326","5,267","5,284","5,212","5,210"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","3,052","3,035","3,034","3,033","3,029","3,051","3,056","3,042","3,031","3,031"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","1,993","1,993","1,992","1,990","1,979","1,896","1,913","1,886","1,905","1,904"
"COUNTY JAILS (capacity increased by 18 on 6/7/01)","2,122","1,397","1,387","1,387","1,387","1,363","1,369","1,341","1,356","1,359","1,364"
"COMMUNITY WORK CENTERS","1,320","1,278","1,246","1,247","1,246","1,278","1,278","1,281","1,279","1,269","1,269"
"Alcorn Satellite Facility","75","74","72","72","72","75","75","75","75","75","75"
"Bolivar Satellite Facility","75","75","75","75","75","75","75","75","75","75","75"
"Forrest Satellite Facility","75","75","67","67","67","75","74","74","74","73","73"
"George Satellite Facility","75","74","67","67","67","75","75","74","74","72","72"
"Harrison Satellite Facility","75","69","73","74","74","75","73","73","72","70","70"
"Jackson Satellite Facility","75","75","75","75","75","74","74","73","74","74","74"
"Jefferson Satellite Facility","75","75","72","72","72","75","75","75","75","75","75"
"Leflore Satellite Facility","75","75","74","74","74","75","75","75","74","70","70"
"Madison Satellite Facility","75","75","74","74","74","72","75","75","75","75","75"
"Noxubee Satellite Facility","75","73","71","71","71","70","69","74","74","74","74"
"Pike Satellite Facility","75","68","69","69","68","68","68","69","69","71","71"
"Quitman Satellite Facility","75","62","61","61","61","62","62","62","61","61","61"
"Rankin Satellite Facility","120","112","112","112","112","112","112","112","112","112","112"
"Simpson Satellite Facility","75","74","71","71","71","74","74","74","74","74","74"
"Washington Satellite Facility","75","74","72","72","72","73","74","74","74","74","74"
"Wilikinson Satellite Facility","75","73","67","67","67","73","73","72","72","73","73"
"Yazoo Satellite Facility","75","75","74","74","74","75","75","75","75","71","71"
"REGIONAL CORRECTIONAL FACILITIES","2,500","1,995","2,032","2,032","2,032","2,027","2,026","2,032","2,032","1,828","2,026"
"Bolivar County","250","201","205","205","205","205","205","207","205","198","198"
"Carroll County","250","200","201","201","201","200","200","200","199","200","200"
"Holmes County","250","199","199","199","199","199","199","199","199","200","200"
"Issaquena County","250","198","196","196","196","196","195","195","200","197","197"
"Jefferson County","250","202","211","211","211","212","213","213","213","213","213"
"Kemper County","250","205","221","221","221","219","219","224","223","224","224"
"Leake County","250","200","199","199","199","199","198","198","198","198","198"
"Marion County","250","194","199","199","199","199","199","200","200","199","199"
"Stone County","250","195","200","200","200","197","197","197","197","200","200"
"Winston County","250","201","201","201","201","201","201","199","198","197","197"
"PRIVATE PRISONS","3,900","3,197","3,213","3,213","3,213","3,230","3,313","3,357","3,397","3,468","3,467"
"Delta","1,000","742","760","760","760","770","794","819","818","843","843"
"East MS","500","499","499","499","499","499","499","499","499","499","499"
"Marshall County","1,000","715","715","715","715","715","774","795","830","870","870"
"Walnut Grove","500","370","370","370","370","377","377","376","382","382","382"
"Wilkinson County","900","871","869","869","869","869","869","868","868","874","873"
"RESITITUTION CENTERS","24","16","17","17","17","17","17","17","17","17","17"
"Greenwood","6","5","5","5","5","5","5","5","5","5","5"
"Hinds","12","10","11","11","11","11","11","11","11","11","11"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","20,766","18,313","18,273","18,271","18,264","18,285","18,282","18,270","18,299","18,095","18,294"
