"Location","Capacity","1-Sep-01","2-Sep-01","3-Sep-01","4-Sep-01","5-Sep-01","6-Sep-01","7-Sep-01","8-Sep-01","9-Sep-01","10-Sep-01"
"MS STATE PENITENTIARY","5,612","5,218","5,217","5,217","5,207","5,221","5,217","5,206","5,203","5,204","5,202"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","3,008","3,008","3,007","3,009","3,019","3,052","3,047","3,048","3,047","3,039"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","1,988","1,988","1,988","2,005","2,007","1,983","1,978","1,978","1,977","1,996"
"COUNTY JAILS","2,122","1,559","1,559","1,559","1,555","1,548","1,500","1,512","1,515","1,513","1,517"
"COMMUNITY WORK CENTERS","1,320","1,228","1,228","1,228","1,227","1,226","1,230","1,210","1,209","1,208","1,242"
"Alcorn Satellite Facility","75","73","73","73","73","73","73","69","69","67","71"
"Bolivar Satellite Facility","75","72","72","72","70","70","68","67","67","67","73"
"Forrest Satellite Facility","75","74","74","74","74","74","74","71","71","71","74"
"George Satellite Facility","75","75","75","75","75","75","71","69","69","69","71"
"Harrison Satellite Facility","75","71","71","71","75","75","74","73","73","73","71"
"Jackson Satellite Facility","75","74","74","74","73","71","74","71","71","71","75"
"Jefferson Satellite Facility","75","74","74","74","74","74","73","70","70","70","74"
"Leflore Satellite Facility","75","75","75","75","75","75","75","75","75","75","75"
"Madison Satellite Facility","75","74","74","74","74","74","74","74","74","74","74"
"Noxubee Satellite Facility","75","75","75","75","75","75","74","70","70","70","74"
"Pike Satellite Facility","75","48","48","48","48","48","47","55","55","55","56"
"Quitman Satellite Facility","75","43","43","43","43","43","53","53","53","53","52"
"Rankin Satellite Facility","120","110","110","110","110","110","108","105","105","105","108"
"Simpson Satellite Facility","75","71","71","71","71","71","71","70","70","70","71"
"Washington Satellite Facility","75","74","74","74","74","74","73","72","72","72","73"
"Wilikinson Satellite Facility","75","75","75","75","74","75","75","74","73","74","75"
"Yazoo Satellite Facility","75","70","70","70","69","69","73","72","72","72","75"
"REGIONAL CORRECTIONAL FACILITIES","2,500","2,038","2,036","2,036","2,031","2,022","2,032","2,036","2,036","2,036","2,030"
"Bolivar County","250","210","209","209","209","208","208","207","208","208","207"
"Carroll County","250","196","196","196","196","195","199","202","202","202","202"
"Holmes County","250","200","200","200","198","198","198","200","200","200","200"
"Issaquena County","250","198","198","198","198","198","195","195","195","195","194"
"Jefferson County","250","211","211","211","211","210","210","210","210","210","210"
"Kemper County","250","222","222","222","221","221","225","225","225","225","225"
"Leake County","250","199","199","199","198","197","197","197","196","196","195"
"Marion County","250","200","199","199","198","197","199","199","199","199","198"
"Stone County","250","202","202","202","202","198","201","201","201","201","201"
"Winston County","250","200","200","200","200","200","200","200","200","200","198"
"PRIVATE PRISONS","3,900","3,493","3,493","3,492","3,487","3,490","3,505","3,513","3,513","3,514","3,513"
"Delta","1,000","833","833","833","831","831","841","842","842","843","843"
"East MS","500","497","497","496","496","496","496","500","500","500","499"
"Marshall County","1,000","865","865","865","863","862","870","869","869","870","870"
"Walnut Grove","500","408","408","408","408","412","411","415","415","415","415"
"Wilkinson County","900","890","890","890","889","889","887","887","887","886","886"
"RESITITUTION CENTERS","24","15","15","15","15","15","15","15","15","15","16"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","8","8","8","8","8","8","8","8","8","9"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","5","5","5","5","6","6","6","6"
"TOTALS","20,747","18,553","18,550","18,547","18,541","18,553","18,539","18,523","18,523","18,520","18,561"
"","","1-Sep-01","2-Sep-01","3-Sep-01","4-Sep-01","5-Sep-01","6-Sep-01","7-Sep-01","8-Sep-01","9-Sep-01","10-Sep-01"
