"Location","Capacity","11-Jan-02","12-Jan-02","13-Jan-02","14-Jan-02","15-Jan-02","16-Jan-02","17-Jan-02","18-Jan-02","19-Jan-02","20-Jan-02"
"MS STATE PENITENTIARY","5,551","5,299","5,298","5,298","5,290","5,298","5,287","5,314","5,319","5,319","5,318"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,961","2,959","2,960","2,962","2,939","2,967","2,938","2,914","2,914","2,913"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,081","2,080","2,079","2,072","2,067","2,069","2,059","2,075","2,070","2,071"
"COUNTY JAILS","2,137","1,561","1,559","1,559","1,563","1,574","1,561","1,569","1,559","1,560","1,560"
"COMMUNITY WORK CENTERS","1,328","1,181","1,183","1,182","1,285","1,287","1,281","1,288","1,207","1,206","1,206"
"Alcorn Satellite Facility","75","68","68","68","73","73","73","74","68","68","68"
"Bolivar Satellite Facility","75","71","71","71","74","75","74","72","69","69","69"
"Forrest Satellite Facility","75","67","67","67","75","74","74","73","71","71","71"
"George Satellite Facility","75","64","64","64","72","71","71","75","65","65","65"
"Harrison Satellite Facility","75","62","63","63","74","74","74","74","66","66","66"
"Jackson Satellite Facility","75","60","60","60","69","69","68","73","67","67","67"
"Jefferson Satellite Facility","75","75","75","75","75","75","74","73","64","64","64"
"Leflore Satellite Facility","75","65","65","65","72","73","72","72","74","74","74"
"Madison Satellite Facility","75","71","71","70","74","74","73","73","72","72","72"
"Noxubee Satellite Facility","75","64","64","64","72","72","72","75","67","67","66"
"Pike Satellite Facility","75","65","65","65","65","65","65","64","66","66","66"
"Quitman Satellite Facility","75","72","72","72","75","75","74","73","73","73","73"
"Rankin Satellite Facility","128","113","113","113","122","121","121","121","118","118","118"
"Simpson Satellite Facility","75","64","64","64","74","75","75","75","68","68","68"
"Washington Satellite Facility","75","63","64","64","72","72","74","74","64","64","64"
"Wilikinson Satellite Facility","75","65","65","65","72","74","72","72","70","70","70"
"Yazoo Satellite Facility","75","72","72","72","75","75","75","75","65","64","65"
"REGIONAL CORRECTIONAL FACILITIES","2,500","1,986","1,983","1,983","1,987","1,981","1,980","1,980","1,969","1,968","1,968"
"Bolivar County","250","0","0","0","0","0","0","0","0","0","0"
"Carroll County","250","217","217","217","214","214","214","214","212","212","212"
"Holmes County","250","219","217","217","216","216","216","216","214","214","214"
"Issaquena County","250","216","216","216","218","217","216","216","214","214","214"
"Jefferson County","250","229","229","229","228","226","226","226","226","225","225"
"Kemper County","250","238","238","238","244","240","240","240","240","240","240"
"Leake County","250","216","216","216","217","217","217","217","214","214","214"
"Marion County","250","217","216","216","216","217","217","217","216","216","216"
"Stone County","250","217","217","217","217","217","217","217","217","217","217"
"Winston County","250","217","217","217","217","217","217","217","216","216","216"
"PRIVATE PRISONS","3,900","3,590","3,590","3,587","3,595","3,605","3,600","3,594","3,587","3,583","3,581"
"Delta","1,000","856","856","855","859","859","859","858","857","856","856"
"East MS","500","491","491","491","491","492","492","491","491","491","490"
"Marshall County","1,000","882","882","881","887","887","885","883","880","878","877"
"Walnut Grove","500","472","472","472","471","480","479","477","475","475","475"
"Wilkinson County","900","889","889","888","887","887","885","885","884","883","883"
"RESITITUTION CENTERS","24","16","16","16","17","17","17","17","16","16","16"
"Greenwood","6","4","4","4","5","5","5","5","4","4","4"
"Hinds","12","11","11","11","11","11","11","11","11","11","11"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","6","6","6","6"
"TOTALS","20,709","18,680","18,673","18,669","18,776","18,773","18,767","18,765","18,652","18,642","18,639"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","11-Jan-02","12-Jan-02","13-Jan-02","14-Jan-02","15-Jan-02","16-Jan-02","17-Jan-02","18-Jan-02","19-Jan-02","20-Jan-02"
