"Location","Capacity","21-Jun-02","22-Jun-02","23-Jun-02","24-Jun-02","25-Jun-02","26-Jun-02","27-Jun-02","28-Jun-02","29-Jun-02","30-Jun-02"
"MS STATE PENITENTIARY","5,551","5,382","5,380","5,380","5,367","5,379","5,373","5,378","5,371","5,371","5,371"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,992","2,997","2,997","2,993","3,017","3,018","3,048","3,075","3,075","3,077"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,042","2,041","2,039","2,029","2,026","2,048","2,050","2,034","2,032","2,031"
"COUNTY JAILS","2,135","1,852","1,851","1,851","1,862","1,843","1,821","1,779","1,776","1,774","1,774"
"COMMUNITY WORK CENTERS","1,328","1,237","1,238","1,237","1,291","1,286","1,292","1,295","1,270","1,270","1,271"
"Alcorn Satellite Facility","75","70","70","70","74","74","74","73","70","70","70"
"Bolivar Satellite Facility","75","75","75","75","75","75","75","75","72","72","72"
"Forrest Satellite Facility","75","72","72","72","74","74","73","73","69","69","69"
"George Satellite Facility","75","72","72","73","74","74","72","71","72","72","73"
"Harrison Satellite Facility","75","67","67","67","74","74","73","75","72","72","72"
"Jackson Satellite Facility","75","71","71","71","73","72","74","74","74","74","74"
"Jefferson Satellite Facility","75","72","73","73","75","75","75","75","73","73","73"
"Leflore Satellite Facility","75","69","69","69","75","75","75","74","69","69","69"
"Madison Satellite Facility","75","65","65","65","74","74","75","75","74","74","74"
"Noxubee Satellite Facility","75","68","68","68","71","71","71","71","70","70","70"
"Pike Satellite Facility","75","69","69","69","74","74","74","74","74","74","74"
"Quitman Satellite Facility","75","62","62","62","66","65","65","65","65","65","65"
"Rankin Satellite Facility","128","125","125","124","126","126","125","128","128","128","128"
"Simpson Satellite Facility","75","73","73","73","75","73","75","75","75","75","75"
"Washington Satellite Facility","75","73","73","72","73","72","73","73","73","73","73"
"Wilikinson Satellite Facility","75","66","66","66","69","69","74","74","72","72","72"
"Yazoo Satellite Facility","75","68","68","68","69","69","69","70","68","68","68"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,046","2,046","2,045","2,047","2,048","2,049","2,045","2,048","2,048","2,047"
"Bolivar County","250","0","0","0","0","0","0","0","0","0","0"
"Carroll County","250","200","200","200","199","201","201","201","201","201","201"
"George County (opened on May 10th)","250","201","201","200","200","200","200","199","200","200","200"
"Holmes County","250","200","200","200","201","201","201","201","201","201","201"
"Issaquena County","250","201","201","201","202","201","201","200","200","200","200"
"Jefferson County","250","213","213","213","213","213","214","214","214","214","214"
"Kemper County","250","227","227","227","227","227","227","225","227","227","227"
"Leake County","250","200","200","200","200","200","200","200","200","200","199"
"Marion County","250","203","203","203","203","203","203","203","203","203","203"
"Stone County","250","200","200","200","200","200","200","200","200","200","200"
"Winston County","250","201","201","201","202","202","202","202","202","202","202"
"PRIVATE PRISONS","4,750","3,598","3,596","3,596","3,611","3,608","3,604","3,604","3,614","3,613","3,613"
"Delta","1,000","843","842","842","845","845","844","844","844","843","843"
"East MS","1,000","499","499","499","503","502","501","500","501","501","501"
"Marshall County","1,000","869","869","869","873","873","872","874","873","873","873"
"Walnut Grove","750","508","508","508","507","505","505","503","500","500","500"
"Wilkinson County","1,000","879","878","878","883","883","882","883","896","896","896"
"RESITITUTION CENTERS","24","16","16","16","16","16","16","16","16","16","16"
"Greenwood","6","5","5","5","5","5","5","5","5","5","5"
"Hinds","12","9","9","9","9","9","9","9","9","9","9"
"Pascagoula","6","2","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","21,807","19,171","19,171","19,167","19,222","19,229","19,227","19,221","19,210","19,205","19,206"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","21-Jun-02","22-Jun-02","23-Jun-02","24-Jun-02","25-Jun-02","26-Jun-02","27-Jun-02","28-Jun-02","29-Jun-02","30-Jun-02"
