"Location","Capacity","13-Feb-03","14-Feb-03","15-Feb-03","16-Feb-03","17-Feb-03","18-Feb-03","19-Feb-03","20-Feb-03","21-Feb-03","22-Feb-03","23-Feb-03"
"MS STATE PENITENTIARY","5,711","5,568","5,556","5,555","5,553","5,550","5,534","5,545","5,535","5,512","5,511","5,507"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,097","3,076","3,076","3,074","3,075","3,060","3,060","3,071","3,086","3,086","3,085"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,102","2,063","2,062","2,061","2,061","2,083","2,090","2,108","2,110","2,109","2,109"
"COUNTY JAILS","2,119","2,068","2,106","2,106","2,106","2,111","2,133","2,164","2,157","2,133","2,133","2,133"
"COMMUNITY WORK CENTERS","1,350","1,263","1,211","1,211","1,211","1,277","1,272","1,268","1,274","1,230","1,228","1,228"
"Alcorn Satellite Facility","75","68","61","61","61","71","71","71","71","68","68","68"
"Bolivar Satellite Facility","75","70","66","66","66","70","69","69","69","67","67","67"
"Forrest Satellite Facility","75","72","69","69","69","72","72","74","74","70","70","69"
"George Satellite Facility","75","75","72","72","72","75","75","74","74","72","72","72"
"Harrison Satellite Facility","75","75","70","70","70","75","74","74","74","71","70","71"
"Jackson Satellite Facility","75","75","73","73","73","75","74","71","71","68","68","68"
"Jefferson Satellite Facility","75","66","68","68","68","74","74","74","74","74","74","74"
"Leflore Satellite Facility","75","71","66","66","66","70","70","70","74","70","70","70"
"Madison Satellite Facility","75","74","72","72","72","72","71","71","74","71","70","71"
"Noxubee Satellite Facility","75","72","69","69","69","72","74","74","74","74","74","74"
"Pike Satellite Facility","75","51","50","50","50","51","50","49","49","47","47","46"
"Quitman Satellite Facility","75","59","56","56","56","58","57","57","57","56","56","56"
"Rankin Satellite Facility","150","142","147","147","147","148","148","148","148","149","149","149"
"Simpson Satellite Facility","75","74","68","68","68","74","74","74","73","71","71","71"
"Washington Satellite Facility","75","73","66","66","66","71","71","71","71","68","68","68"
"Wilkinson Satellite Facility","75","72","74","74","74","75","75","75","75","69","69","69"
"Yazoo Satellite Facility","75","74","64","64","64","74","73","72","72","65","65","65"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,481","2,488","2,486","2,484","2,483","2,483","2,484","2,484","2,479","2,477","2,477"
"Bolivar County","250","224","226","225","225","225","225","225","224","222","221","221"
"Carroll County","250","225","225","225","225","225","225","226","227","227","227","227"
"George County (opened on May 10th)","250","225","227","227","226","226","226","226","226","226","226","226"
"Holmes County","250","226","227","227","226","226","226","226","225","226","226","226"
"Issaquena County","250","225","226","226","226","226","226","226","226","225","225","225"
"Jefferson County","250","226","226","226","226","225","225","226","226","226","226","226"
"Kemper County","250","226","226","226","226","226","226","226","226","226","226","226"
"Leake County","250","227","227","227","227","227","227","227","227","225","224","224"
"Marion County","250","226","226","226","226","226","226","226","227","227","227","227"
"Stone County","250","226","227","226","226","226","225","225","224","223","223","223"
"Winston County","250","225","225","225","225","225","226","225","226","226","226","226"
"PRIVATE PRISONS","3,750","3,386","3,390","3,389","3,386","3,386","3,383","3,383","3,382","3,413","3,413","3,412"
"Delta (Closed)","0","0","0","0","0","0","0","0","0","0","0","0"
"East MS","1,000","729","725","725","723","723","723","724","724","724","724","723"
"Marshall County","1,000","977","975","975","974","974","973","973","974","984","984","984"
"Walnut Grove","750","704","714","713","713","713","712","711","710","719","719","719"
"Wilkinson County","1,000","976","976","976","976","976","975","975","974","986","986","986"
"RESITITUTION CENTERS","24","13","12","12","12","13","13","13","13","13","13","13"
"Greenwood","6","6","5","5","5","6","6","6","6","6","6","6"
"Hinds","12","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","21,157","19,984","19,908","19,903","19,893","19,962","19,967","20,013","20,030","19,982","19,976","19,970"
