"Location","Capacity","14-Mar-03","15-Mar-03","16-Mar-03","17-Mar-03","18-Mar-03","19-Mar-03","20-Mar-03","21-Mar-03","22-Mar-03","23-Mar-03","24-Mar-03","25-Mar-03","26-Mar-03"
"MS STATE PENITENTIARY","5,711","5,605","5,603","5,606","5,593","5,613","5,603","5,595","5,604","5,603","5,601","5,623","5,638","5,651"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,204","3,205","3,205","3,172","3,155","3,164","3,137","3,118","3,119","3,121","3,109","3,099","3,105"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,166","2,166","2,165","2,173","2,164","2,172","2,164","2,140","2,138","2,136","2,130","2,126","2,130"
"COUNTY JAILS","2,133","2,046","2,046","2,046","2,051","2,085","2,079","2,113","2,146","2,146","2,146","2,137","2,112","2,109"
"COMMUNITY WORK CENTERS","1,350","1,244","1,243","1,237","1,277","1,273","1,283","1,290","1,267","1,264","1,265","1,295","1,301","1,303"
"Alcorn Satellite Facility","75","72","72","72","74","74","75","75","74","74","74","74","74","74"
"Bolivar Satellite Facility","75","66","66","66","71","69","73","73","69","69","69","73","74","73"
"Forrest Satellite Facility","75","71","71","71","75","75","75","74","73","72","72","73","74","73"
"George Satellite Facility","75","74","74","74","75","75","75","75","72","72","71","74","75","75"
"Harrison Satellite Facility","75","72","72","72","74","73","73","73","69","69","69","72","75","75"
"Jackson Satellite Facility","75","72","72","72","75","75","75","75","75","74","75","75","75","75"
"Jefferson Satellite Facility","75","71","71","71","73","71","70","73","71","71","71","70","70","74"
"Leflore Satellite Facility","75","72","72","72","73","73","73","75","70","70","70","75","74","74"
"Madison Satellite Facility","75","71","71","71","75","74","75","75","74","74","74","75","75","75"
"Noxubee Satellite Facility","75","74","73","74","72","72","75","74","72","71","71","71","70","70"
"Pike Satellite Facility","75","53","53","53","56","55","56","58","55","55","55","58","58","59"
"Quitman Satellite Facility","75","50","50","49","52","52","52","52","60","60","60","62","61","62"
"Rankin Satellite Facility","150","143","143","143","145","145","147","150","144","144","145","150","150","149"
"Simpson Satellite Facility","75","71","71","71","73","75","75","75","75","75","75","75","75","75"
"Washington Satellite Facility","75","72","72","67","68","68","68","68","73","73","73","75","74","73"
"Wilkinson Satellite Facility","75","69","69","69","72","72","71","71","69","69","69","69","72","72"
"Yazoo Satellite Facility","75","71","71","70","74","75","75","74","72","72","72","74","75","75"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,483","2,482","2,482","2,483","2,485","2,487","2,483","2,481","2,480","2,480","2,483","2,482","2,482"
"Bolivar County","250","226","225","225","225","225","226","226","224","224","224","226","226","226"
"Carroll County","250","226","226","226","226","226","226","224","226","226","226","226","226","226"
"George County (opened on May 10th)","250","225","225","225","226","226","226","224","224","224","224","225","224","224"
"Holmes County","250","226","226","226","226","226","226","226","226","226","226","226","226","226"
"Issaquena County","250","224","224","224","223","225","226","226","225","224","224","225","226","226"
"Jefferson County","250","226","226","226","226","226","226","226","226","226","226","226","226","226"
"Kemper County","250","226","226","226","226","226","226","226","226","226","226","226","226","226"
"Leake County","250","226","226","226","226","226","226","226","226","226","226","226","226","226"
"Marion County","250","227","227","227","227","227","227","227","226","226","226","226","226","226"
"Stone County","250","225","225","225","226","226","226","226","226","226","226","225","225","225"
"Winston County","250","226","226","226","226","226","226","226","226","226","226","226","225","225"
"PRIVATE PRISONS","3,750","3,371","3,369","3,366","3,362","3,355","3,356","3,353","3,357","3,356","3,355","3,363","3,369","3,367"
"Delta (Closed)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East MS","1,000","686","685","685","682","682","681","681","681","681","681","681","683","683"
"Marshall County","1,000","986","985","985","986","983","982","982","980","979","978","986","986","985"
"Walnut Grove","750","713","713","712","709","706","710","709","709","709","709","709","715","714"
"Wilkinson County","1,000","986","986","984","985","984","983","981","987","987","987","987","985","985"
"RESITITUTION CENTERS","24","12","12","12","13","13","13","13","13","13","13","13","13","13"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","6","1","1","1","2","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","6","6","6","6","5","5","5","6","6","6"
"TOTALS","21,171","20,136","20,131","20,124","20,130","20,149","20,163","20,154","20,131","20,124","20,122","20,159","20,146","20,166"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","14-Mar-03","15-Mar-03","16-Mar-03","17-Mar-03","18-Mar-03","19-Mar-03","20-Mar-03","21-Mar-03","22-Mar-03","23-Mar-03","24-Mar-03","25-Mar-03","26-Mar-03"
