"Location","Capacity","1-Apr-03","2-Apr-03","3-Apr-03","4-Apr-03","5-Apr-03","6-Apr-03","7-Apr-03","8-Apr-03","9-Apr-03","10-Apr-03","11-Apr-03","12-Apr-03"
"MS STATE PENITENTIARY","5,751","5,663","5,658","5,660","5,651","5,648","5,648","5,655","5,668","5,658","5,659","5,650","5,650"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,094","3,100","3,108","3,100","3,099","3,100","3,116","3,108","3,128","3,146","3,157","3,158"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,152","2,163","2,168","2,172","2,173","2,172","2,160","2,175","2,171","2,166","2,137","2,135"
"COUNTY JAILS","2,133","2,083","2,077","2,063","2,061","2,061","2,061","2,078","2,066","2,061","2,067","2,055","2,055"
"COMMUNITY WORK CENTERS","1,350","1,310","1,306","1,306","1,289","1,287","1,284","1,291","1,285","1,290","1,296","1,287","1,285"
"Alcorn Satellite Facility","75","74","74","75","75","75","75","74","73","73","73","71","71"
"Bolivar Satellite Facility","75","75","75","74","74","74","74","74","73","73","73","74","74"
"Forrest Satellite Facility","75","74","73","75","75","75","75","75","74","73","73","73","73"
"George Satellite Facility","75","74","74","74","75","75","75","75","74","74","73","73","73"
"Harrison Satellite Facility","75","75","75","75","74","74","74","74","74","74","74","72","72"
"Jackson Satellite Facility","75","74","75","75","75","74","74","75","74","74","72","72","72"
"Jefferson Satellite Facility","75","74","74","74","73","73","73","73","73","72","72","71","71"
"Leflore Satellite Facility","75","74","73","70","73","73","73","73","72","74","74","73","73"
"Madison Satellite Facility","75","74","74","75","74","74","72","72","72","74","73","74","74"
"Noxubee Satellite Facility","75","73","73","73","69","69","69","73","74","74","74","74","74"
"Pike Satellite Facility","75","57","58","58","59","59","58","57","57","57","57","58","58"
"Quitman Satellite Facility","75","68","68","68","68","68","68","67","66","66","66","65","65"
"Rankin Satellite Facility","150","150","148","148","140","139","139","141","140","140","145","143","142"
"Simpson Satellite Facility","75","75","75","75","73","73","73","73","72","75","75","74","74"
"Washington Satellite Facility","75","72","72","72","69","69","69","72","74","74","74","75","75"
"Wilkinson Satellite Facility","75","72","70","70","70","70","70","70","70","69","73","72","71"
"Yazoo Satellite Facility","75","75","75","75","73","73","73","73","73","74","75","73","73"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,482","2,484","2,483","2,501","2,499","2,498","2,500","2,495","2,494","2,486","2,534","2,534"
"Bolivar County","250","225","225","225","230","230","229","228","228","228","227","228","228"
"Carroll County","250","225","226","225","225","225","225","228","228","229","229","230","230"
"George County (opened on May 10th)","250","226","226","226","226","226","226","226","226","226","223","231","231"
"Holmes County","250","225","226","225","225","225","225","225","225","224","223","223","223"
"Issaquena County","250","226","226","226","229","229","229","229","225","224","221","230","230"
"Jefferson County","250","226","226","226","226","226","226","226","226","226","226","234","234"
"Kemper County","250","226","226","226","231","230","230","230","229","229","229","228","228"
"Leake County","250","226","226","226","226","225","225","226","226","226","226","231","231"
"Marion County","250","226","226","226","226","226","226","226","226","226","226","232","232"
"Stone County","250","225","225","226","226","226","226","226","227","227","227","235","235"
"Winston County","250","226","226","226","231","231","231","230","229","229","229","232","232"
"PRIVATE PRISONS","3,750","3,369","3,375","3,370","3,364","3,361","3,361","3,358","3,356","3,351","3,351","3,336","3,336"
"East MS","1,000","681","681","680","679","676","676","676","673","671","671","670","670"
"Marshall County","1,000","983","987","985","986","986","986","984","980","979","979","985","985"
"Walnut Grove","750","716","717","716","711","711","711","711","716","715","715","714","714"
"Wilkinson County","1,000","989","990","989","988","988","988","987","987","986","986","967","967"
"RESITITUTION CENTERS","24","13","13","13","13","13","13","13","13","13","13","11","11"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","4","4"
"Hinds","12","5","5","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","6","2","2","2","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","5","5"
"TOTALS","21,211","20,172","20,182","20,177","20,157","20,147","20,143","20,177","20,172","20,172","20,190","20,172","20,169"
