"Location","Capacity","24-Apr-03","","25-Apr-03 26-Apr-03","","27-Apr-03 28-Apr-03","29-Apr-03","30-Apr-03"
"MS STATE PENITENTIARY","5,751","5,653","5,640","5,641","5,638","5,637","5,639","5,667"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,131","3,141","3,141","3,140","3,141","3,121","3,118"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,178","2,120","2,119","2,119","2,114","2,126","2,110"
"COUNTY JAILS","2,133","2,095","2,122","2,122","2,122","2,129","2,126","2,112"
"COMMUNITY WORK CENTERS","1,350","1,302","1,292","1,290","1,289","1,300","1,302","1,306"
"Alcorn Satellite Facility","75","73","73","73","73","73","74","74"
"Bolivar Satellite Facility","75","74","70","70","70","74","75","75"
"Forrest Satellite Facility","75","74","72","71","71","73","72","73"
"George Satellite Facility","75","75","73","73","73","75","75","75"
"Harrison Satellite Facility","75","75","74","74","74","75","74","74"
"Jackson Satellite Facility","75","75","75","75","75","75","75","75"
"Jefferson Satellite Facility","75","75","75","75","75","75","74","74"
"Leflore Satellite Facility","75","74","75","75","75","73","72","72"
"Madison Satellite Facility","75","75","74","74","74","75","75","75"
"Noxubee Satellite Facility","75","73","75","75","75","75","74","74"
"Pike Satellite Facility","75","59","59","59","59","59","63","63"
"Quitman Satellite Facility","75","60","59","58","58","58","57","57"
"Rankin Satellite Facility","150","146","148","148","148","148","150","150"
"Simpson Satellite Facility","75","74","72","72","72","73","73","73"
"Washington Satellite Facility","75","74","74","74","74","74","74","74"
"Wilkinson Satellite Facility","75","71","70","70","69","70","70","73"
"Yazoo Satellite Facility","75","75","74","74","74","75","75","75"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,574","2,585","2,583","2,581","2,581","2,583","2,579"
"Bolivar County","250","235","235","234","234","234","235","235"
"Carroll County","250","233","235","235","235","235","236","235"
"George County (opened on May 10th)","250","234","235","235","234","234","234","234"
"Holmes County","250","235","235","235","235","235","235","234"
"Issaquena County","250","235","235","235","234","234","234","232"
"Jefferson County","250","233","235","235","235","235","235","235"
"Kemper County","250","232","235","235","235","235","234","234"
"Leake County","250","235","235","235","235","235","235","235"
"Marion County","250","235","235","235","235","235","235","235"
"Stone County","250","232","235","234","234","234","235","235"
"Winston County","250","235","235","235","235","235","235","235"
"PRIVATE PRISONS","3,750","3,374","3,384","3,383","3,383","3,383","3,378","3,379"
"East MS","1,000","681","683","683","683","683","682","682"
"Marshall County","1,000","984","995","995","995","995","993","991"
"Walnut Grove","750","718","716","716","716","716","714","715"
"Wilkinson County","1,000","991","990","989","989","989","989","991"
"RESITITUTION CENTERS","24","12","12","12","12","12","12","12"
"Greenwood","6","6","6","6","6","6","6","6"
"Hinds","12","4","4","4","4","4","4","4"
"Pascagoula","6","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","5","5","5","6","6","6"
"TOTALS","21,211","20,325","20,301","20,296","20,289","20,303","20,293","20,289"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","24-Apr-03","","25-Apr-03 26-Apr-03","","27-Apr-03 28-Apr-03","29-Apr-03","30-Apr-03"
