"Location","Capacity","1-Sep-03","2-Sep-03","3-Sep-03","4-Sep-03","5-Sep-03","6-Sep-03","7-Sep-03","8-Sep-03","9-Sep-03","10-Sep-03","11-Sep-03","12-Sep-03","13-Sep-03"
"MS STATE PENITENTIARY","5,768","5,684","5,698","5,692","5,704","5,690","5,688","5,687","5,699","5,697","5,709","5,697","5,685","5,685"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,052","3,059","3,093","3,102","3,107","3,106","3,102","3,071","3,093","3,083","3,104","3,105","3,104"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,155","2,150","2,152","2,152","2,148","2,147","2,147","2,147","2,168","2,163","2,147","2,103","2,102"
"COUNTY JAILS","2,176","2,030","2,027","2,018","2,040","2,013","2,013","2,013","2,008","2,011","2,012","2,022","2,068","2,068"
"COMMUNITY WORK CENTERS","1,816","1,456","1,450","1,450","1,449","1,428","1,428","1,428","1,464","1,475","1,495","1,498","1,457","1,456"
"Alcorn Satellite Facility","92","86","86","86","85","83","83","83","86","86","86","86","75","75"
"Bolivar Satellite Facility","102","69","69","69","68","67","67","67","68","68","72","72","72","71"
"Forrest Satellite Facility","96","96","96","96","96","95","95","95","94","93","93","93","93","93"
"George Satellite Facility","102","87","88","88","88","86","86","86","88","89","90","94","90","90"
"Harrison Satellite Facility","102","75","75","74","74","75","75","75","74","74","74","73","72","72"
"Jackson Satellite Facility","102","71","69","71","71","68","68","68","71","75","75","75","74","74"
"Jefferson Satellite Facility","102","81","81","81","81","81","81","81","79","84","87","87","78","78"
"Leflore Satellite Facility","102","87","87","87","87","86","86","86","86","86","86","86","88","88"
"Madison Satellite Facility","102","89","89","89","89","84","84","84","84","84","87","87","84","84"
"Noxubee Satellite Facility","92","71","71","71","71","68","68","68","70","70","83","83","82","82"
"Pike Satellite Facility","93","52","52","51","51","49","49","49","51","51","51","51","50","50"
"Quitman Satellite Facility","93","54","53","53","54","54","54","54","54","54","54","54","53","53"
"Rankin Satellite Facility","228","210","209","208","208","212","212","212","224","225","225","225","221","221"
"Simpson Satellite Facility","102","91","90","90","90","88","88","88","95","95","91","91","87","87"
"Washington Satellite Facility","102","87","86","87","87","82","82","82","86","86","85","85","83","83"
"Wilkinson Satellite Facility","102","54","54","54","54","52","52","52","54","54","54","54","54","54"
"Yazoo Satellite Facility","102","96","95","95","95","98","98","98","100","101","102","102","101","101"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,580","2,577","2,572","2,568","2,581","2,581","2,579","2,576","2,571","2,573","2,580","2,574","2,573"
"Bolivar County","250","235","234","233","232","237","237","236","235","235","235","235","235","235"
"Carroll County","250","235","234","234","234","235","235","235","235","235","235","234","234","233"
"George County (opened on May 10th)","250","234","234","234","233","235","235","235","234","234","235","237","236","236"
"Holmes County","250","234","235","235","234","235","235","235","235","235","235","235","235","235"
"Issaquena County","250","235","234","234","232","234","234","234","233","232","231","234","231","231"
"Jefferson County","250","233","233","233","232","231","231","231","231","231","231","231","231","231"
"Kemper County","250","234","234","234","233","235","235","235","235","235","235","235","235","235"
"Leake County","250","235","235","235","234","235","235","235","235","234","234","235","234","234"
"Marion County","250","235","235","235","235","235","235","235","235","232","233","236","235","235"
"Stone County","250","235","234","230","234","234","234","233","233","233","234","233","234","234"
"Winston County","250","235","235","235","235","235","235","235","235","235","235","235","234","234"
"PRIVATE PRISONS","3,750","3,462","3,459","3,457","3,448","3,462","3,462","3,462","3,459","3,459","3,458","3,457","3,450","3,448"
"East MS","1,000","732","731","731","729","728","728","728","730","730","728","727","726","725"
"Marshall County","1,000","991","991","988","985","996","996","996","994","992","996","996","995","995"
"Walnut Grove","750","745","744","747","743","744","744","744","743","745","741","741","735","735"
"Wilkinson County","1,000","994","993","991","991","994","994","994","992","992","993","993","994","993"
"RESITITUTION CENTERS","24","19","19","19","19","19","19","19","18","18","17","17","17","17"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","11","11","11","11","11","11","11","10","10","9","9","9","9"
"Pascagoula","6","2","2","2","2","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"E-CODE","","4","7","4","4","32","33","33","4","4","6","5","44","42"
"TOTALS","21,737","20,448","20,452","20,463","20,492","20,486","20,483","20,476","20,452","20,502","20,522","20,533","20,509","20,501"
