"Location","Capacity","27-Apr-04","28-Apr-04","29-Apr-04","30-Apr-04"
"MS STATE PENITENTIARY","5,768","5,406","5,428","5,367","5,384"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,203","3,188","3,164","3,165"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,202","2,175","2,180","2,173"
"COUNTY JAILS","2,176","2,067","2,083","2,125","2,129"
"COMMUNITY WORK CENTERS","1,816","1,671","1,700","1,733","1,705"
"Alcorn Satellite Facility","92","92","89","89","90"
"Bolivar Satellite Facility","102","102","101","101","96"
"Forrest Satellite Facility","96","95","95","95","92"
"George Satellite Facility","102","83","96","100","96"
"Harrison Satellite Facility","102","90","92","101","100"
"Jackson Satellite Facility","102","79","88","94","94"
"Jefferson Satellite Facility","102","98","97","99","96"
"Leflore Satellite Facility","102","102","101","101","98"
"Madison Satellite Facility","102","102","102","101","101"
"Noxubee Satellite Facility","92","92","91","90","89"
"Pike Satellite Facility","93","70","72","72","71"
"Quitman Satellite Facility","93","79","79","80","80"
"Rankin Satellite Facility","228","206","217","216","213"
"Simpson Satellite Facility","102","101","101","102","102"
"Washington Satellite Facility","102","100","100","102","101"
"Wilkinson Satellite Facility","102","80","79","88","84"
"Yazoo Satellite Facility","102","100","100","102","102"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,746","2,741","2,747","2,745"
"Bolivar County","250","249","250","250","250"
"Carroll County","250","250","250","250","250"
"George County","250","248","243","250","250"
"Holmes County","250","249","249","250","249"
"Issaquena County","250","250","250","250","249"
"Jefferson County","250","250","250","248","250"
"Kemper County","250","250","250","250","250"
"Leake County","250","250","249","250","250"
"Marion County","250","250","250","250","248"
"Stone County","250","250","250","249","250"
"Winston County","250","250","250","250","249"
"PRIVATE PRISONS","4,700","3,785","3,783","3,826","3,821"
"Delta       (Reopened 04-01-04)","950","350","350","395","395"
"East MS","1,000","725","725","723","724"
"Marshall County","1,000","994","994","994","995"
"Walnut Grove","750","723","720","720","716"
"Wilkinson County","1,000","993","994","994","991"
"RESITITUTION CENTERS","24","14","14","14","14"
"Greenwood","6","6","6","6","6"
"Hinds","12","5","5","5","5"
"Pascagoula","6","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","5","5"
"E-CODE","","5","7","9","29"
"TOTALS","22,687","21,105","21,125","21,170","21,170"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Vis","","27-Apr-04","28-Apr-04","29-Apr-04","30-Apr-04"
