"Location","Capacity","14-Jul-04","15-Jul-04","16-Jul-04","17-Jul-04","18-Jul-04","19-Jul-04","20-Jul-04","21-Jul-04","22-Jul-04","23-Jul-04","24-Jul-04","25-Jul-04","26-Jul-04"
"MS STATE PENITENTIARY(SEE NOTE BELOW)","4,892","4,834","4,826","4,814","4,813","4,813","4,799","4,792","4,829","4,794","4,819","4,818","4,817","4,811"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,105","3,144","3,101","3,103","3,103","3,119","3,129","3,125","3,130","3,142","3,140","3,137","3,129"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,192","2,185","2,183","2,180","2,180","2,177","2,195","2,173","2,188","2,169","2,168","2,167","2,179"
"COUNTY JAILS","2,224","2,150","2,127","2,134","2,134","2,134","2,122","2,110","2,105","2,103","2,082","2,082","2,082","2,066"
"COMMUNITY WORK CENTERS","1,816","1,735","1,745","1,675","1,672","1,673","1,729","1,724","1,711","1,709","1,649","1,649","1,649","1,700"
"Alcorn Satellite Facility","92","92","92","89","89","89","91","91","92","92","91","91","91","91"
"Bolivar Satellite Facility","102","101","102","94","94","94","99","99","99","99","91","91","91","100"
"Forrest Satellite Facility","96","96","96","93","93","93","95","95","95","93","92","91","91","95"
"George Satellite Facility","102","92","92","91","91","91","92","92","92","91","88","88","88","90"
"Harrison Satellite Facility","102","100","100","96","96","96","99","99","99","99","94","94","94","97"
"Jackson Satellite Facility","102","99","99","97","97","97","99","99","99","99","97","97","97","98"
"Jefferson Satellite Facility","102","101","101","96","96","96","98","98","98","95","90","90","90","91"
"Leflore Satellite Facility","102","101","102","101","101","101","102","102","98","98","96","96","96","100"
"Madison Satellite Facility","102","102","102","101","100","100","102","101","101","102","99","99","99","102"
"Noxubee Satellite Facility","92","90","90","85","85","85","90","90","90","92","88","88","88","91"
"Pike Satellite Facility","93","70","70","69","68","68","68","67","67","70","66","66","66","69"
"Quitman Satellite Facility","93","89","89","85","85","85","90","90","90","90","88","88","88","90"
"Rankin Satellite Facility","228","214","215","207","206","206","212","211","215","214","209","209","209","213"
"Simpson Satellite Facility","102","101","101","98","98","98","100","100","102","102","97","97","97","101"
"Washington Satellite Facility","102","95","101","92","92","92","101","99","83","82","81","81","81","83"
"Wilkinson Satellite Facility","102","93","93","88","87","88","89","89","89","89","85","86","86","89"
"Yazoo Satellite Facility","102","99","100","93","94","94","102","102","102","102","97","97","97","100"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,742","2,738","2,734","2,734","2,734","2,734","2,744","2,748","2,744","2,748","2,747","2,745","2,739"
"Bolivar County","250","248","247","247","247","247","248","249","250","249","249","249","249","249"
"Carroll County","250","250","250","250","250","250","249","249","250","250","250","250","250","250"
"George County","250","248","247","247","247","247","244","250","250","249","250","250","250","248"
"Holmes County","250","249","249","248","248","248","249","249","250","250","251","250","250","250"
"Issaquena County","250","248","249","250","250","250","249","249","248","248","250","250","250","247"
"Jefferson County","250","249","249","248","248","248","249","250","250","250","250","250","250","248"
"Kemper County","250","250","249","249","249","249","250","250","250","250","250","250","249","249"
"Leake County","250","250","250","250","250","250","250","251","250","249","249","249","249","249"
"Marion County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Stone County","250","250","248","246","246","246","248","249","250","250","250","250","250","250"
"Winston County","250","250","250","249","249","249","248","248","250","249","249","249","248","249"
"PRIVATE PRISONS","4,960","4,477","4,468","4,517","4,514","4,514","4,510","4,511","4,531","4,558","4,555","4,554","4,550","4,554"
"Delta                    (SEE NOTE BELOW)","960","959","958","960","958","958","952","955","961","961","960","960","960","960"
"East MS","1,000","771","769","816","816","816","814","814","834","859","855","855","855","855"
"Marshall County","1,000","993","992","991","991","991","993","992","993","990","994","994","993","994"
"Walnut Grove","1,000","761","756","756","755","755","756","757","753","755","754","753","753","754"
"Wilkinson County","1,000","993","993","994","994","994","995","993","990","993","992","992","989","991"
"RESITITUTION CENTERS","24","14","14","11","11","11","14","14","14","14","12","12","12","13"
"Greenwood","6","6","6","4","4","4","6","6","6","6","6","6","6","6"
"Hinds","12","5","5","4","4","4","5","5","5","5","3","3","3","4"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","7","6","71","73","72","9","9","10","10","60","60","60","8"
"TOTALS","22,119","21,261","21,258","21,245","21,239","21,239","21,218","21,233","21,251","21,255","21,241","21,235","21,224","21,204"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Vis","","14-Jul-04","15-Jul-04","16-Jul-04","17-Jul-04","18-Jul-04","19-Jul-04","20-Jul-04","21-Jul-04","22-Jul-04","23-Jul-04","24-Jul-04","25-Jul-04","26-Jul-04"
