"Location","Capacity","14-May-05","15-May-05","16-May-05","17-May-05","18-May-05","19-May-05","20-May-05","21-May-05","22-May-05","23-May-05","24-May-05","25-May-05","26-May-05"
"Mississippi State Penitentiary","4,630","4,579","4,574","4,565","4,569","4,559","4,560","4,557","4,557","4,557","4,564","4,552","4,552","4,530"
"Central Mississippi Correctional Facility","3,233","2,972","2,970","2,990","3,010","3,010","3,038","3,048","3,045","3,042","3,032","3,054","3,062","3,060"
"South Mississippi Correctional Institution","2,214","2,182","2,184","2,202","2,200","2,195","2,189","2,183","2,181","2,180","2,189","2,181","2,181","2,201"
"County Jails","2,329","1,801","1,801","1,758","1,743","1,762","1,744","1,728","1,728","1,728","1,741","1,745","1,739","1,757"
"COMMUNITY WORK CENTERS","1,816","1,685","1,684","1,718","1,725","1,720","1,728","1,641","1,637","1,634","1,727","1,721","1,719","1,723"
"Alcorn Satellite Facility","92","82","82","88","86","85","85","82","81","81","87","88","88","88"
"Bolivar Satellite Facility","102","93","93","99","101","101","102","93","93","93","102","101","100","98"
"Forrest Satellite Facility","96","94","94","96","94","95","96","90","90","90","94","94","94","94"
"George Satellite Facility","102","93","92","93","93","97","96","96","95","94","97","90","88","94"
"Harrison Satellite Facility","102","100","100","99","100","100","100","91","91","90","98","99","98","101"
"Jackson Satellite Facility","102","90","90","90","94","97","94","88","89","88","93","100","100","102"
"Jefferson Satellite Facility","102","93","93","92","92","90","90","88","88","88","91","90","90","90"
"Leflore Satellite Facility","102","99","99","101","101","99","99","91","91","91","102","102","102","101"
"Madison Satellite Facility","102","100","100","102","101","97","102","101","101","101","101","101","98","97"
"Noxubee Satellite Facility","92","83","83","89","89","88","89","80","80","80","89","87","87","86"
"Pike Satellite Facility","93","85","85","87","89","90","91","86","86","86","88","88","89","88"
"Quitman Satellite Facility","93","76","76","78","78","81","82","77","77","77","82","83","83","83"
"Rankin Satellite Facility","228","206","206","209","209","209","209","202","200","200","211","210","210","210"
"Simpson Satellite Facility","102","95","95","97","99","94","95","91","91","91","96","95","99","99"
"Washington Satellite Facility","102","100","100","101","102","102","101","94","93","94","100","100","101","101"
"Wilkinson Satellite Facility","102","96","96","96","96","94","96","93","93","92","94","92","91","91"
"Yazoo Satellite Facility","102","100","100","101","101","101","101","98","98","98","102","101","101","100"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,744","2,744","2,734","2,737","2,743","2,746","2,740","2,735","2,735","2,741","2,741","2,742","2,748"
"Bolivar County","250","250","250","246","246","249","249","250","248","248","250","249","250","250"
"Carroll County","250","249","249","249","250","250","249","249","249","249","249","247","250","250"
"George County","250","249","249","247","250","250","249","246","245","245","248","250","249","250"
"Holmes County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Issaquena County","250","248","248","248","248","250","250","250","248","248","248","250","250","250"
"Jefferson County","250","250","250","250","250","250","250","250","250","250","250","249","249","250"
"Kemper County","250","249","249","248","250","250","250","250","250","250","250","250","249","249"
"Leake County","250","250","250","250","250","250","250","250","250","250","250","249","249","250"
"Marion County","250","250","250","249","246","247","250","248","248","248","250","249","249","250"
"Stone County","250","250","250","249","248","247","249","249","249","249","248","249","247","249"
"Winston County","250","249","249","248","249","250","250","248","248","248","248","249","250","250"
"PRIVATE PRISONS","5,088","4,800","4,799","4,805","4,798","4,807","4,811","4,815","4,808","4,806","4,814","4,822","4,821","4,816"
"Delta","960","956","956","956","957","959","959","959","959","959","958","959","959","954"
"East Mississippi","1,000","871","870","870","869","868","869","875","873","872","871","869","867","867"
"Marshall County","1,000","993","993","995","992","995","995","994","992","992","993","995","993","992"
"Tallahatchie County","128","122","122","127","126","127","127","128","128","128","128","128","128","128"
"Walnut Grove","1,000","870","870","871","871","878","875","875","873","873","882","884","887","888"
"Wilkinson County","1,000","988","988","986","983","980","986","984","983","982","982","987","987","987"
"RESTITUTION CENTERS","18","9","9","9","8","9","9","8","8","8","9","9","9","10"
"Greenwood","6","5","5","5","4","5","5","4","4","4","5","5","5","6"
"Hinds","6","3","3","3","3","3","3","3","3","3","3","3","3","3"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","44","45","9","9","11","8","100","103","105","13","8","8","7"
"TOTALS","22,084","20,821","20,815","20,795","20,804","20,821","20,838","20,825","20,807","20,800","20,835","20,838","20,838","20,857"
"","","14-May-05","15-May-05","16-May-05","17-May-05","18-May-05","19-May-05","20-May-05","21-May-05","22-May-05","23-May-05","24-May-05","25-May-05","26-May-05"
