"Location","Capacity","1-Nov-05","2-Nov-05","3-Nov-05","4-Nov-05","5-Nov-05","6-Nov-05","7-Nov-05","8-Nov-05","9-Nov-05","10-Nov-05","11-Nov-05","12-Nov-05","13-Nov-05"
"Mississippi State Penitentiary","4,730","4,348","4,340","4,350","4,367","4,360","4,356","4,357","4,366","4,382","4,399","4,397","4,391","4,390"
"Central Mississippi Correctional Facility","3,219","3,151","3,160","3,157","3,146","3,145","3,144","3,134","3,136","3,140","3,144","3,144","3,143","3,141"
"South Mississippi Correctional Institution","2,306","2,198","2,204","2,194","2,183","2,183","2,182","2,210","2,195","2,186","2,207","2,204","2,205","2,206"
"County Jails","2,192","1,700","1,698","1,698","1,681","1,681","1,681","1,699","1,716","1,685","1,675","1,676","1,676","1,676"
"COMMUNITY WORK CENTERS","1,816","1,655","1,653","1,654","1,628","1,628","1,628","1,668","1,648","1,648","1,637","1,551","1,548","1,546"
"Alcorn Satellite Facility","92","89","89","88","78","78","78","87","88","90","90","87","87","87"
"Bolivar Satellite Facility","102","95","94","93","90","90","90","93","82","83","83","83","83","83"
"Forrest Satellite Facility","96","94","94","94","96","96","96","94","96","96","94","89","89","89"
"George Satellite Facility","102","94","94","94","94","94","94","94","94","94","93","89","87","87"
"Harrison Satellite Facility","102","93","92","92","88","88","88","91","91","91","91","88","88","88"
"Jackson Satellite Facility","102","80","80","80","82","81","81","82","80","80","77","72","72","72"
"Jefferson Satellite Facility","102","74","74","74","79","79","79","78","78","77","77","74","74","74"
"Leflore Satellite Facility","102","100","101","101","100","100","100","101","99","98","99","92","92","92"
"Madison Satellite Facility","102","102","102","101","99","99","99","102","102","102","101","94","94","94"
"Noxubee Satellite Facility","92","88","88","90","86","87","87","90","91","91","91","81","81","81"
"Pike Satellite Facility","93","72","72","72","71","71","71","71","69","69","69","64","64","64"
"Quitman Satellite Facility","93","84","84","86","85","85","85","86","84","83","83","74","74","74"
"Rankin Satellite Facility","228","222","223","222","219","219","219","227","224","223","220","214","214","213"
"Simpson Satellite Facility","102","100","99","99","98","98","98","99","101","101","99","98","98","98"
"Washington Satellite Facility","102","96","96","96","95","95","95","94","91","90","89","79","79","79"
"Wilkinson Satellite Facility","102","79","79","79","78","78","78","85","85","85","85","79","79","79"
"Yazoo Satellite Facility","102","93","92","93","90","90","90","94","93","95","96","94","93","92"
"REGIONAL CORRECTIONAL FACILITIES","3,028","3,024","3,023","3,023","3,017","3,014","3,013","3,006","3,017","3,023","3,018","3,013","3,010","3,008"
"Bolivar County","294","292","293","294","294","294","294","294","294","293","291","291","290","290"
"Carroll County","250","250","250","250","249","249","249","248","250","250","250","248","248","247"
"George County","280","280","280","280","279","278","278","277","279","280","280","279","278","278"
"Holmes County","280","280","280","280","280","280","280","279","279","280","279","279","279","279"
"Issaquena County","274","273","274","274","274","273","273","270","271","273","272","271","271","271"
"Jefferson County","250","249","246","246","244","243","242","242","248","248","248","247","246","245"
"Kemper County","280","280","280","280","280","280","280","280","278","280","279","279","279","279"
"Leake County","280","280","280","280","280","280","280","280","280","280","280","280","280","280"
"Marion County","280","280","280","280","278","278","278","279","279","279","279","279","279","279"
"Stone County","280","280","280","279","279","279","279","278","280","280","280","280","280","280"
"Winston County","280","280","280","280","280","280","280","279","279","280","280","280","280","280"
"PRIVATE PRISONS","5,100","4,836","4,833","4,834","4,833","4,832","4,831","4,818","4,828","4,820","4,813","4,812","4,805","4,802"
"Delta","972","970","969","969","972","972","972","971","971","971","969","969","968","967"
"East Mississippi","1,000","857","857","856","862","861","861","862","862","860","859","858","857","856"
"Marshall County","1,000","995","993","993","992","992","992","994","993","993","994","994","991","992"
"Tallahatchie County","128","128","128","128","128","128","128","128","128","128","128","128","128","128"
"Walnut Grove","1,000","916","916","914","909","909","909","904","914","910","905","905","905","904"
"Wilkinson County","1,000","970","970","974","970","970","969","959","960","958","958","958","956","955"
"RESTITUTION CENTERS","16","10","10","10","9","9","9","10","10","10","10","10","10","10"
"Greenwood","6","4","4","4","3","3","3","4","4","4","4","4","4","4"
"Hinds","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","1","1","1","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","8","6","6","42","40","41","7","7","11","14","99","99","96"
"TOTALS","22,413","20,935","20,932","20,931","20,911","20,897","20,890","20,914","20,928","20,910","20,922","20,911","20,892","20,880"
"","","1-Nov-05","2-Nov-05","3-Nov-05","4-Nov-05","5-Nov-05","6-Nov-05","7-Nov-05","8-Nov-05","9-Nov-05","10-Nov-05","11-Nov-05","12-Nov-05","13-Nov-05"
