"Location","Capacity","1-Dec-05","2-Dec-05","3-Dec-05","4-Dec-05","5-Dec-05","6-Dec-05","7-Dec-05","8-Dec-05","9-Dec-05","10-Dec-05","11-Dec-05","12-Dec-05","13-Dec-05"
"Mississippi State Penitentiary","4,730","4,367","4,373","4,371","4,370","4,370","4,364","4,374","4,392","4,372","4,368","4,365","4,370","4,358"
"Central Mississippi Correctional Facility","3,233","3,112","3,090","3,089","3,090","3,117","3,118","3,100","3,123","3,112","3,111","3,112","3,101","3,109"
"South Mississippi Correctional Institution","2,306","2,176","2,164","2,164","2,162","2,149","2,162","2,155","2,152","2,172","2,165","2,163","2,157","2,166"
"County Jails","2,168","1,672","1,668","1,668","1,668","1,650","1,640","1,646","1,643","1,637","1,637","1,637","1,650","1,630"
"COMMUNITY WORK CENTERS","1,816","1,632","1,645","1,645","1,644","1,663","1,663","1,677","1,674","1,684","1,678","1,677","1,679","1,690"
"Alcorn Satellite Facility","92","86","87","87","87","86","86","86","86","86","86","86","85","85"
"Bolivar Satellite Facility","102","88","87","87","87","87","87","87","87","87","87","87","86","86"
"Forrest Satellite Facility","96","87","87","87","87","91","90","91","89","91","91","91","95","95"
"George Satellite Facility","102","94","98","98","98","97","97","96","96","100","99","99","101","101"
"Harrison Satellite Facility","102","86","86","86","86","95","95","96","96","102","101","101","102","102"
"Jackson Satellite Facility","102","73","83","83","83","95","95","100","101","102","102","102","102","102"
"Jefferson Satellite Facility","102","101","100","100","100","100","100","101","101","101","100","100","100","100"
"Leflore Satellite Facility","102","89","89","89","89","87","88","88","88","88","88","88","87","87"
"Madison Satellite Facility","102","102","102","102","102","102","102","101","100","100","100","100","100","101"
"Noxubee Satellite Facility","92","91","91","91","91","91","90","89","88","88","88","88","87","86"
"Pike Satellite Facility","93","69","69","69","69","69","68","68","68","68","68","68","68","68"
"Quitman Satellite Facility","93","80","80","80","80","80","80","81","81","77","77","77","76","75"
"Rankin Satellite Facility","228","222","222","222","222","223","225","225","227","227","226","226","227","228"
"Simpson Satellite Facility","102","92","92","92","92","89","89","99","98","100","100","100","101","101"
"Washington Satellite Facility","102","90","90","90","90","90","90","89","89","89","88","87","86","94"
"Wilkinson Satellite Facility","102","80","80","80","79","79","79","79","79","79","78","78","78","79"
"Yazoo Satellite Facility","102","102","102","102","102","102","102","101","100","99","99","99","98","100"
"REGIONAL CORRECTIONAL FACILITIES","3,028","3,009","3,015","3,014","3,013","3,019","3,019","3,021","3,021","3,022","3,020","3,019","3,020","3,021"
"Bolivar County","294","292","294","293","292","293","293","294","294","294","293","293","293","293"
"Carroll County","250","250","250","250","250","250","250","250","250","250","250","250","249","249"
"George County","280","276","275","275","275","276","277","277","279","279","279","279","279","280"
"Holmes County","280","280","279","279","279","279","279","279","278","279","279","279","279","279"
"Issaquena County","274","273","273","273","273","274","273","274","272","271","270","270","273","272"
"Jefferson County","250","245","246","246","246","250","250","250","250","250","250","250","249","249"
"Kemper County","280","278","280","280","280","280","280","278","280","280","280","280","280","280"
"Leake County","280","279","280","280","280","280","280","280","279","280","280","280","280","280"
"Marion County","280","280","280","280","280","278","278","280","280","280","280","280","279","279"
"Stone County","280","278","280","280","280","280","280","279","279","280","280","279","280","280"
"Winston County","280","278","278","278","278","279","279","280","280","279","279","279","279","280"
"PRIVATE PRISONS","5,100","4,801","4,812","4,812","4,809","4,800","4,803","4,795","4,791","4,799","4,798","4,795","4,788","4,790"
"Delta","972","972","974","974","974","968","965","969","972","971","970","968","966","969"
"East Mississippi","1,000","852","851","851","850","848","848","848","848","847","847","846","846","845"
"Marshall County","1,000","991","991","991","990","995","995","994","992","995","995","995","993","992"
"Tallahatchie County","128","128","128","128","128","128","128","127","127","128","128","128","128","128"
"Walnut Grove","1,000","907","918","918","918","916","923","915","915","921","921","921","919","919"
"Wilkinson County","1,000","951","950","950","949","945","944","942","937","937","937","937","936","937"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","16","16","16","16","16","15","15"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Hinds","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","3","3","3","3","3","3","7","7","7","7","7","6","6"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","5","6","6","4","4","5","7","9","5","5","3","4","5"
"TOTALS","22,403","20,791","20,790","20,786","20,777","20,789","20,791","20,796","20,826","20,824","20,803","20,792","20,789","20,789"
"","","1-Dec-05","2-Dec-05","3-Dec-05","4-Dec-05","5-Dec-05","6-Dec-05","7-Dec-05","8-Dec-05","9-Dec-05","10-Dec-05","11-Dec-05","12-Dec-05","13-Dec-05"
