"Location","Capacity","27-Dec-05","28-Dec-05","29-Dec-05","30-Dec-05","31-Dec-05"
"Mississippi State Penitentiary","4,730","4,348","4,374","4,361","4,356","4,352"
"Central Mississippi Correctional Facility","3,233","3,138","3,096","3,101","3,093","3,093"
"South Mississippi Correctional Institution","2,306","2,141","2,129","2,139","2,129","2,127"
"County Jails","2,168","1,489","1,503","1,502","1,485","1,485"
"COMMUNITY WORK CENTERS","1,816","1,703","1,728","1,764","1,781","1,780"
"Alcorn Satellite Facility","92","91","92","92","91","91"
"Bolivar Satellite Facility","102","99","101","101","101","101"
"Forrest Satellite Facility","96","95","95","95","96","96"
"George Satellite Facility","102","100","102","102","102","101"
"Harrison Satellite Facility","102","101","101","101","101","101"
"Jackson Satellite Facility","102","100","100","102","102","102"
"Jefferson Satellite Facility","102","91","97","101","101","101"
"Leflore Satellite Facility","102","99","100","100","101","101"
"Madison Satellite Facility","102","100","102","102","101","101"
"Noxubee Satellite Facility","92","87","86","86","92","92"
"Pike Satellite Facility","93","84","86","87","87","87"
"Quitman Satellite Facility","93","75","75","86","85","85"
"Rankin Satellite Facility","228","222","221","223","225","225"
"Simpson Satellite Facility","102","90","93","95","97","97"
"Washington Satellite Facility","102","99","99","102","102","102"
"Wilkinson Satellite Facility","102","71","79","87","95","95"
"Yazoo Satellite Facility","102","99","99","102","102","102"
"REGIONAL CORRECTIONAL FACILITIES","3,028","3,015","3,010","3,010","3,022","3,021"
"Bolivar County","294","294","292","291","294","294"
"Carroll County","250","250","250","250","250","250"
"George County","280","280","277","274","277","277"
"Holmes County","280","278","280","280","280","280"
"Issaquena County","274","271","273","273","274","274"
"Jefferson County","250","248","246","248","250","250"
"Kemper County","280","278","276","277","279","278"
"Leake County","280","280","280","280","280","280"
"Marion County","280","279","279","280","280","280"
"Stone County","280","280","279","279","280","280"
"Winston County","280","277","278","278","278","278"
"PRIVATE PRISONS","5,100","4,776","4,792","4,792","4,797","4,797"
"Delta","972","969","969","972","972","972"
"East Mississippi","1,000","836","836","836","846","846"
"Marshall County","1,000","995","995","995","994","994"
"Tallahatchie County","128","125","128","128","127","127"
"Walnut Grove","1,000","920","925","923","920","920"
"Wilkinson County","1,000","931","939","938","938","938"
"RESTITUTION CENTERS","16","17","19","18","18","18"
"Greenwood","6","4","4","4","4","4"
"Hinds","6","4","6","6","6","6"
"Pascagoula","4","9","9","8","8","8"
"GOVERNOR'S MANSION","6","5","5","5","5","5"
"E-CODE","","6","7","6","6","7"
"TOTALS","22,403","20,638","20,663","20,698","20,692","20,685"
"","","27-Dec-05","28-Dec-05","29-Dec-05","30-Dec-05","31-Dec-05"
