"Location","Capacity","28-May-06","29-May-06","30-May-06","31-May-06"
"Mississippi State Penitentiary","4,529","4,481","4,478","4,475","4,488"
"Central Mississippi Correctional Facility","3,293","3,152","3,149","3,117","3,133"
"South Mississippi Correctional Institution","2,066","1,923","1,921","1,928","1,930"
"County Jails","2,056","1,750","1,751","1,794","1,656"
"COMMUNITY WORK CENTERS","1,816","1,757","1,754","1,768","1,759"
"Alcorn Satellite Facility","92","89","89","88","89"
"Bolivar Satellite Facility","102","97","98","96","96"
"Forrest Satellite Facility","96","94","94","95","95"
"George Satellite Facility","102","101","101","100","100"
"Harrison Satellite Facility","102","97","97","101","101"
"Jackson Satellite Facility","102","99","98","98","97"
"Jefferson Satellite Facility","102","96","96","101","101"
"Leflore Satellite Facility","102","100","100","101","100"
"Madison Satellite Facility","102","99","99","102","102"
"Noxubee Satellite Facility","92","92","92","92","91"
"Pike Satellite Facility","93","88","88","90","89"
"Quitman Satellite Facility","93","84","84","84","84"
"Rankin Satellite Facility","228","218","215","219","215"
"Simpson Satellite Facility","102","101","101","100","100"
"Washington Satellite Facility","102","102","102","102","102"
"Wilkinson Satellite Facility","102","99","99","99","98"
"Yazoo Satellite Facility","102","101","101","100","99"
"REGIONAL CORRECTIONAL FACILITIES","3,058","3,038","3,038","3,039","3,046"
"Bolivar County","294","292","292","291","293"
"Carroll County","280","278","278","278","280"
"George County","280","277","277","277","279"
"Holmes County","280","278","278","277","277"
"Issaquena County","274","272","272","273","273"
"Jefferson County","250","249","249","248","249"
"Kemper County","280","277","277","278","277"
"Leake County","280","279","279","280","280"
"Marion County","280","280","280","279","279"
"Stone County","280","277","277","278","279"
"Winston County","280","279","279","280","280"
"PRIVATE PRISONS","5,100","4,884","4,883","4,885","4,886"
"Delta","972","969","968","971","971"
"East Mississippi","1,000","875","875","874","875"
"Marshall County","1,000","995","995","995","995"
"Tallahatchie County","128","128","128","128","128"
"Walnut Grove","1,000","947","947","945","946"
"Wilkinson County","1,000","970","970","972","971"
"RESTITUTION CENTERS","16","12","12","12","15"
"Greenwood","6","3","3","3","6"
"Hinds","6","5","5","5","5"
"Pascagoula","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5"
"E-CODE","","5","6","3","3"
"TOTALS","21,940","21,007","20,997","21,026","20,921"
