"Location","Capacity","1-Nov-07","2-Nov-07","3-Nov-07","4-Nov-07","5-Nov-07","6-Nov-07","7-Nov-07","8-Nov-07","9-Nov-07"
"Mississippi State Penitentiary","4,527","4,384","4,375","4,376","4,371","4,373","4,374","4,380","4,399","4,398"
"Central Mississippi Correctional Facility","3,515","3,505","3,482","3,481","3,478","3,484","3,490","3,479","3,486","3,493"
"South Mississippi Correctional Institution","3,124","2,976","2,984","2,983","2,980","2,987","3,001","3,005","3,008","3,010"
"County Jails","1,589","1,803","1,812","1,812","1,812","1,785","1,764","1,780","1,776","1,765"
"COMMUNITY WORK CENTERS","1,848","1,778","1,764","1,756","1,755","1,795","1,801","1,797","1,799","1,764"
"Alcorn Satellite Facility","92","91","90","86","86","87","92","92","92","82"
"Bolivar Satellite Facility","102","102","96","96","96","101","101","101","101","96"
"Forrest Satellite Facility","96","94","93","93","93","94","93","92","92","95"
"George Satellite Facility","102","101","102","102","102","101","101","100","100","97"
"Harrison Satellite Facility","102","100","100","100","100","101","101","101","101","100"
"Jackson Satellite Facility","102","99","98","97","97","99","99","99","99","96"
"Jefferson Satellite Facility","102","99","98","98","98","102","100","100","102","100"
"Leflore Satellite Facility","102","98","96","96","96","97","102","102","102","101"
"Madison Satellite Facility","102","98","102","102","102","101","101","100","99","99"
"Noxubee Satellite Facility","92","91","89","89","88","91","92","92","92","91"
"Pike Satellite Facility","93","91","89","89","89","90","90","89","88","90"
"Quitman Satellite Facility","93","88","91","90","90","90","90","91","90","85"
"Rankin Satellite Facility","260","225","224","223","224","240","241","242","241","236"
"Simpson Satellite Facility","102","100","96","96","96","100","100","101","100","98"
"Washington Satellite Facility","102","100","100","100","99","100","99","101","101","101"
"Wilkinson Satellite Facility","102","101","98","98","98","100","100","99","99","98"
"Yazoo Satellite Facility","102","100","102","101","101","101","99","95","100","99"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,078","3,087","3,083","3,081","3,082","3,088","3,080","3,080","3,079"
"Bolivar County","294","294","293","292","292","291","294","296","295","295"
"Carroll County","280","281","281","281","280","281","281","280","279","280"
"George County","280","276","280","280","280","280","280","280","278","278"
"Holmes County","280","279","280","279","279","280","280","280","280","279"
"Issaquena County","274","273","274","273","272","273","274","269","270","270"
"Jefferson County","280","278","280","280","280","280","280","279","280","279"
"Kemper County","280","280","280","280","280","280","280","277","279","279"
"Leake County","280","278","280","280","280","279","280","280","280","280"
"Marion County","280","280","280","280","280","280","280","280","280","280"
"Stone County","280","279","279","278","278","278","279","279","279","279"
"Winston County","280","280","280","280","280","280","280","280","280","280"
"PRIVATE PRISONS","4,972","4,792","4,798","4,796","4,795","4,795","4,799","4,797","4,793","4,786"
"Delta","972","970","974","973","973","974","974","973","970","969"
"East Mississippi","1,000","889","887","887","887","889","889","889","889","890"
"Marshall County","1,000","994","994","994","993","995","995","995","995","992"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","944","946","946","946","943","945","945","949","942"
"Wilkinson County","1,000","995","997","996","996","994","996","995","990","993"
"RESTITUTION CENTERS","16","13","13","13","13","13","13","13","13","13"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","9","37","39","40","9","6","8","10","47"
"TOTALS","22,685","22,343","22,357","22,344","22,330","22,328","22,341","22,344","22,369","22,360"
"","","1-Nov-07","2-Nov-07","3-Nov-07","4-Nov-07","5-Nov-07","6-Nov-07","7-Nov-07","8-Nov-07","9-Nov-07"
