"Location","Capacity","28-Dec-07","29-Dec-07","30-Dec-07","31-Dec-07","","Avg Population"
"Mississippi State Penitentiary","4,527","4,344","4,342","4,343","4,340","","4,327"
"Central Mississippi Correctional Facility","3,515","3,487","3,484","3,491","3,493","","3,506"
"South Mississippi Correctional Institution","3,164","3,072","3,074","3,073","3,072","","3,062"
"County Jails","1,589","1,752","1,752","1,752","1,754","","1,783"
"COMMUNITY WORK CENTERS","1,848","1,824","1,820","1,805","1,801","","1,814"
"Alcorn Satellite Facility","92","90","90","89","89","","91"
"Bolivar Satellite Facility","102","102","102","102","102","","101"
"Forrest Satellite Facility","96","96","96","95","95","","94"
"George Satellite Facility","102","102","101","101","101","","101"
"Harrison Satellite Facility","102","102","102","102","101","","100"
"Jackson Satellite Facility","102","101","101","101","101","","101"
"Jefferson Satellite Facility","102","98","98","98","98","","99"
"Leflore Satellite Facility","102","102","101","101","101","","101"
"Madison Satellite Facility","102","102","101","94","94","","100"
"Noxubee Satellite Facility","92","88","88","88","88","","90"
"Pike Satellite Facility","93","92","92","91","90","","90"
"Quitman Satellite Facility","93","92","92","91","89","","92"
"Rankin Satellite Facility","260","252","252","252","252","","253"
"Simpson Satellite Facility","102","102","102","98","98","","101"
"Washington Satellite Facility","102","99","98","98","98","","100"
"Wilkinson Satellite Facility","102","102","102","102","102","","101"
"Yazoo Satellite Facility","102","102","102","102","102","","100"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,083","3,081","3,081","3,079","","3,079"
"Bolivar County","294","294","294","294","294","","293"
"Carroll County","280","277","277","277","277","","279"
"George County","280","280","280","280","280","","279"
"Holmes County","280","279","279","279","279","","280"
"Issaquena County","274","274","274","274","274","","273"
"Jefferson County","280","279","279","279","279","","279"
"Kemper County","280","280","280","280","280","","280"
"Leake County","280","280","279","279","279","","279"
"Marion County","280","280","280","280","280","","279"
"Stone County","280","280","280","280","279","","279"
"Winston County","280","280","279","279","278","","279"
"PRIVATE PRISONS","4,972","4,797","4,794","4,790","4,789","","4,794"
"Delta","972","972","972","972","972","","970"
"East Mississippi","1,000","878","877","876","876","","879"
"Marshall County","1,000","1,000","999","997","997","","999"
"Tallahatchie County","0","0","0","0","0","","0"
"Walnut Grove","1,000","950","949","949","948","","952"
"Wilkinson County","1,000","997","997","996","996","","995"
"RESTITUTION CENTERS","16","12","12","12","12","","12"
"Greenwood","6","5","5","5","5","","5"
"Hinds","6","4","4","4","4","","4"
"Pascagoula","4","3","3","3","3","","3"
"GOVERNOR'S MANSION","6","5","5","5","5","","5"
"E-CODE","0","6","4","5","5","","7"
"TOTALS","22,725","22,382","22,368","22,357","22,350","","22,389"
"","","28-Dec-07","29-Dec-07","30-Dec-07","31-Dec-07","",""
