"Location","Capacity","19-Aug-08","20-Aug-08","21-Aug-08","22-Aug-08","23-Aug-08","24-Aug-08","25-Aug-08","26-Aug-08","27-Aug-08"
"Mississippi State Penitentiary","4,527","4,187","4,178","4,181","4,197","4,193","4,191","4,198","4,198","4,201"
"Central Mississippi Correctional Facility","3,665","3,712","3,682","3,694","3,691","3,691","3,691","3,651","3,604","3,568"
"South Mississippi Correctional Institution","3,204","3,099","3,105","3,099","3,086","3,084","3,081","3,099","3,112","3,121"
"County Jails","1,704","2,090","2,115","2,128","2,130","2,130","2,130","2,156","2,157","2,158"
"COMMUNITY WORK CENTERS","1,848","1,743","1,736","1,737","1,702","1,697","1,698","1,721","1,768","1,779"
"Alcorn Satellite Facility","92","87","90","91","89","88","88","88","89","90"
"Bolivar Satellite Facility","102","98","98","97","90","90","90","94","101","101"
"Forrest Satellite Facility","96","85","84","84","87","87","87","85","89","89"
"George Satellite Facility","102","96","94","94","93","93","93","94","99","100"
"Harrison Satellite Facility","102","98","97","99","98","98","98","99","101","101"
"Jackson Satellite Facility","102","98","99","98","98","96","96","96","99","99"
"Jefferson Satellite Facility","102","100","99","99","94","94","94","95","95","97"
"Leflore Satellite Facility","102","96","95","97","95","95","95","98","101","102"
"Madison Satellite Facility","102","101","100","99","95","95","95","95","96","100"
"Noxubee Satellite Facility","92","84","84","84","83","83","83","91","91","87"
"Pike Satellite Facility","93","87","86","86","86","86","86","86","86","86"
"Quitman Satellite Facility","93","86","84","84","81","80","80","83","84","88"
"Rankin Satellite Facility","260","237","237","237","232","233","233","235","250","248"
"Simpson Satellite Facility","102","100","100","99","101","100","101","101","102","101"
"Washington Satellite Facility","102","99","99","100","99","98","98","100","100","102"
"Wilkinson Satellite Facility","102","96","96","95","94","94","94","93","92","96"
"Yazoo Satellite Facility","102","95","94","94","87","87","87","88","93","92"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,079","3,077","3,072","3,080","3,079","3,078","3,078","3,080","3,080"
"Bolivar County","294","293","293","293","294","294","294","293","294","295"
"Carroll County","280","280","280","281","281","281","281","279","279","280"
"George County","280","279","279","278","276","276","276","277","277","278"
"Holmes County","280","280","279","279","280","280","280","279","280","280"
"Issaquena County","274","273","272","272","274","274","274","274","275","275"
"Jefferson County","280","279","280","280","280","280","280","280","280","279"
"Kemper County","280","280","280","274","280","280","280","279","279","276"
"Leake County","280","279","278","279","279","279","278","280","280","280"
"Marion County","280","280","279","278","279","278","278","280","279","279"
"Stone County","280","280","280","279","277","277","277","278","279","279"
"Winston County","280","276","277","279","280","280","280","279","278","279"
"PRIVATE PRISONS","4,972","4,824","4,852","4,831","4,839","4,832","4,831","4,837","4,836","4,847"
"Delta","972","970","970","970","969","967","967","968","970","971"
"East Mississippi","1,000","893","892","891","893","892","891","890","891","892"
"Marshall County","1,000","1,000","1,000","1,000","1,000","1,000","1,000","999","998","999"
"Walnut Grove","1,000","976","1,004","993","992","990","990","997","993","998"
"Wilkinson County","1,000","985","986","977","985","983","983","983","984","987"
"RESTITUTION CENTERS","16","13","12","12","12","12","12","11","11","11"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","2","2","2","2","2","1","1","1"
"GOVERNOR'S MANSION","6","4","4","4","4","4","4","4","6","6"
"E-CODE","0","12","8","10","38","38","35","9","8","13"
"TOTALS","23,030","22,763","22,769","22,768","22,779","22,760","22,751","22,764","22,780","22,784"
"","","19-Aug-08","20-Aug-08","21-Aug-08","22-Aug-08","23-Aug-08","24-Aug-08","25-Aug-08","26-Aug-08","27-Aug-08"
