"Location","Capacity","19-Sep-08","20-Sep-08","21-Sep-08","22-Sep-08","23-Sep-08","24-Sep-08","25-Sep-08","26-Sep-08","27-Sep-08"
"Mississippi State Penitentiary","4,527","4,133","4,132","4,131","4,137","4,119","4,111","4,113","4,114","4,111"
"Central Mississippi Correctional Facility","3,665","3,552","3,552","3,554","3,586","3,596","3,618","3,612","3,601","3,598"
"South Mississippi Correctional Institution","3,204","3,104","3,103","3,102","3,097","3,087","3,080","3,102","3,093","3,091"
"County Jails","1,690","2,203","2,203","2,203","2,186","2,201","2,208","2,227","2,256","2,256"
"COMMUNITY WORK CENTERS","1,848","1,749","1,742","1,742","1,797","1,796","1,801","1,812","1,792","1,790"
"Alcorn Satellite Facility","92","90","90","90","91","90","90","90","88","88"
"Bolivar Satellite Facility","102","91","90","90","100","99","99","99","97","97"
"Forrest Satellite Facility","96","86","86","86","93","96","95","94","94","94"
"George Satellite Facility","102","97","96","96","98","99","100","102","101","101"
"Harrison Satellite Facility","102","99","98","98","100","102","101","102","101","101"
"Jackson Satellite Facility","102","97","97","97","102","102","101","102","100","100"
"Jefferson Satellite Facility","102","97","97","97","100","100","100","99","98","98"
"Leflore Satellite Facility","102","102","102","102","101","101","100","100","99","99"
"Madison Satellite Facility","102","101","101","101","101","101","100","100","101","101"
"Noxubee Satellite Facility","92","88","88","88","88","88","92","92","89","89"
"Pike Satellite Facility","93","86","86","86","89","88","87","93","93","92"
"Quitman Satellite Facility","93","88","88","89","92","91","93","93","91","91"
"Rankin Satellite Facility","260","240","237","237","241","240","243","242","241","240"
"Simpson Satellite Facility","102","93","92","92","100","100","101","102","102","102"
"Washington Satellite Facility","102","100","100","99","101","101","99","102","99","99"
"Wilkinson Satellite Facility","102","97","97","97","99","98","100","100","99","99"
"Yazoo Satellite Facility","102","97","97","97","101","100","100","100","99","99"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,082","3,079","3,078","3,078","3,083","3,077","3,070","3,081","3,077"
"Bolivar County","294","292","292","292","290","293","293","292","294","293"
"Carroll County","280","280","280","280","280","280","280","279","279","279"
"George County","280","280","280","280","280","280","280","280","280","279"
"Holmes County","280","280","280","280","280","280","279","279","280","279"
"Issaquena County","274","271","271","271","271","271","270","268","268","268"
"Jefferson County","280","280","279","279","280","280","280","280","280","280"
"Kemper County","280","280","280","279","279","280","276","279","280","280"
"Leake County","280","280","278","278","279","280","280","277","280","280"
"Marion County","280","280","280","280","280","279","279","279","280","280"
"Stone County","280","279","279","279","280","280","280","280","280","279"
"Winston County","280","280","280","280","279","280","280","277","280","280"
"PRIVATE PRISONS","5,472","4,962","4,961","4,959","4,959","4,967","4,963","4,971","4,990","4,986"
"Delta","972","970","970","970","972","972","971","969","970","968"
"East Mississippi","1,000","897","897","897","899","897","895","895","893","893"
"Marshall County","1,000","1,000","1,000","999","997","999","999","1,001","1,000","999"
"Walnut Grove","1,500","1,107","1,107","1,107","1,105","1,109","1,110","1,123","1,144","1,144"
"Wilkinson County","1,000","988","987","986","986","990","988","983","983","982"
"RESTITUTION CENTERS","16","12","12","12","12","14","14","13","13","13"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","4","4","4","4","6","6","6","6","6"
"Pascagoula","4","2","2","2","2","2","2","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","70","70","68","9","9","11","12","32","33"
"TOTALS","23,516","22,873","22,860","22,855","22,867","22,878","22,889","22,938","22,978","22,961"
"","","19-Sep-08","20-Sep-08","21-Sep-08","22-Sep-08","23-Sep-08","24-Sep-08","25-Sep-08","26-Sep-08","27-Sep-08"
