"Location","Capacity","1-Mar-09","2-Mar-09","3-Mar-09","4-Mar-09","5-Mar-09","6-Mar-09","7-Mar-09","8-Mar-09","9-Mar-09"
"Mississippi State Penitentiary","4,627","4,120","4,114","4,117","4,114","4,090","4,111","4,111","4,108","4,124"
"Central Mississippi Correctional Facility","3,665","3,572","3,563","3,553","3,534","3,524","3,501","3,498","3,498","3,482"
"South Mississippi Correctional Institution","3,204","3,113","3,106","3,116","3,127","3,117","3,126","3,123","3,123","3,125"
"County Jails","1,777","1,728","1,697","1,673","1,714","1,724","1,704","1,704","1,704","1,717"
"COMMUNITY WORK CENTERS","1,848","1,704","1,763","1,773","1,785","1,812","1,775","1,773","1,772","1,796"
"Alcorn Satellite Facility","92","81","86","87","87","91","82","82","82","91"
"Bolivar Satellite Facility","102","85","92","97","97","102","102","102","102","102"
"Forrest Satellite Facility","96","88","92","89","94","94","87","87","86","92"
"George Satellite Facility","102","99","100","100","100","99","97","98","98","98"
"Harrison Satellite Facility","102","102","100","102","102","102","101","101","101","99"
"Jackson Satellite Facility","102","98","100","99","100","100","99","99","99","99"
"Jefferson Satellite Facility","102","95","101","100","97","97","98","98","98","100"
"Leflore Satellite Facility","102","96","99","101","101","101","101","101","101","100"
"Madison Satellite Facility","102","94","94","93","93","100","101","100","101","99"
"Noxubee Satellite Facility","92","88","90","90","90","92","87","87","87","89"
"Pike Satellite Facility","93","83","86","86","86","89","86","86","86","86"
"Quitman Satellite Facility","93","80","87","88","88","91","86","86","86","90"
"Rankin Satellite Facility","260","240","257","257","258","257","254","254","253","256"
"Simpson Satellite Facility","102","94","96","93","96","98","101","101","101","102"
"Washington Satellite Facility","102","88","91","98","98","102","100","100","100","97"
"Wilkinson Satellite Facility","102","93","93","93","98","98","96","95","95","99"
"Yazoo Satellite Facility","102","100","99","100","100","99","97","96","96","97"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,908","2,910","2,912","2,922","2,924","2,931","2,926","2,926","2,925"
"Bolivar County","294","279","278","278","278","279","279","279","279","278"
"Carroll County","280","264","264","264","264","264","265","264","264","265"
"George County","280","262","263","261","262","263","266","266","266","264"
"Holmes County","280","264","265","266","265","265","266","266","266","266"
"Issaquena County","274","258","259","257","259","259","260","259","259","258"
"Jefferson County","280","265","261","261","265","265","266","264","264","265"
"Kemper County","280","264","263","265","266","266","264","264","264","266"
"Leake County","280","264","266","266","266","266","266","265","265","265"
"Marion County","280","259","261","261","264","264","266","266","266","265"
"Stone County","280","266","265","266","266","266","266","266","266","266"
"Winston County","280","263","265","267","267","267","267","267","267","267"
"PRIVATE PRISONS","5,972","5,444","5,443","5,455","5,460","5,465","5,439","5,435","5,435","5,433"
"Delta","972","956","956","955","956","956","956","956","956","955"
"East Mississippi","1,500","1,355","1,355","1,355","1,355","1,353","1,355","1,355","1,355","1,357"
"Marshall County","1,000","981","980","983","983","983","981","980","980","983"
"Walnut Grove","1,500","1,180","1,177","1,187","1,190","1,196","1,170","1,167","1,167","1,162"
"Wilkinson County","1,000","972","975","975","976","977","977","977","977","976"
"RESTITUTION CENTERS","16","11","12","12","12","12","12","12","12","12"
"Greenwood","6","3","4","4","4","4","4","4","4","4"
"Hinds","6","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","67","11","10","12","8","59","60","59","9"
"TOTALS","24,203","22,673","22,625","22,627","22,686","22,682","22,664","22,648","22,643","22,629"
"","","1-Mar-09","2-Mar-09","3-Mar-09","4-Mar-09","5-Mar-09","6-Mar-09","7-Mar-09","8-Mar-09","9-Mar-09"
