"Location","Capacity","","19-May-09 20-May-09 21-May-09 22-May-09 23-May-09 24-May-09 25-May-09 26-May-09 27-May-09","","","","","","",""
"Mississippi State Penitentiary","4,627","4,122","4,135","4,124","4,134","4,133","4,132","4,126","4,120","4,113"
"Central Mississippi Correctional Facility","3,665","3,450","3,436","3,440","3,426","3,424","3,425","3,419","3,442","3,456"
"South Mississippi Correctional Institution","3,204","3,105","3,108","3,110","3,105","3,103","3,099","3,094","3,083","3,071"
"County Jails","1,752","1,653","1,640","1,613","1,596","1,596","1,596","1,599","1,591","1,524"
"COMMUNITY WORK CENTERS","1,848","1,550","1,546","1,554","1,558","1,558","1,558","1,563","1,559","1,557"
"Alcorn Satellite Facility","92","80","79","79","78","78","78","78","77","76"
"Bolivar Satellite Facility","102","79","79","88","88","88","88","88","87","86"
"Forrest Satellite Facility","96","70","70","71","71","71","71","71","70","75"
"George Satellite Facility","102","84","85","85","86","86","86","86","82","81"
"Harrison Satellite Facility","102","72","72","72","78","78","78","78","74","72"
"Jackson Satellite Facility","102","85","85","85","85","85","85","90","90","91"
"Jefferson Satellite Facility","102","78","78","77","77","77","77","77","77","77"
"Leflore Satellite Facility","102","82","81","81","80","80","80","80","80","81"
"Madison Satellite Facility","102","96","96","93","89","89","89","89","88","88"
"Noxubee Satellite Facility","92","74","74","74","76","76","76","76","77","76"
"Pike Satellite Facility","93","81","80","80","80","80","80","80","90","89"
"Quitman Satellite Facility","93","68","68","68","78","78","78","78","78","78"
"Rankin Satellite Facility","260","249","248","253","249","249","249","249","249","248"
"Simpson Satellite Facility","102","100","99","99","99","99","99","99","95","95"
"Washington Satellite Facility","102","80","80","77","77","77","77","77","77","76"
"Wilkinson Satellite Facility","102","76","76","77","77","77","77","77","76","76"
"Yazoo Satellite Facility","102","96","96","95","90","90","90","90","92","92"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,919","2,921","2,922","2,931","2,930","2,929","2,928","2,930","2,931"
"Bolivar County","294","277","279","280","280","280","280","280","280","280"
"Carroll County","280","265","264","264","265","265","265","265","265","266"
"George County","280","263","262","263","265","265","264","264","266","266"
"Holmes County","280","266","266","266","266","265","265","265","266","266"
"Issaquena County","274","259","256","256","260","260","260","260","259","260"
"Jefferson County","280","264","265","265","266","266","266","265","266","265"
"Kemper County","280","266","266","266","266","266","266","266","266","266"
"Leake County","280","262","267","266","266","266","266","266","266","266"
"Marion County","280","266","266","266","266","266","266","266","266","267"
"Stone County","280","266","265","265","266","266","266","266","266","266"
"Winston County","280","265","265","265","265","265","265","265","264","263"
"PRIVATE PRISONS","5,972","5,490","5,498","5,503","5,501","5,495","5,494","5,492","5,488","5,488"
"Delta","972","956","958","958","956","956","956","955","950","952"
"East Mississippi","1,500","1,361","1,360","1,363","1,363","1,362","1,362","1,362","1,362","1,361"
"Marshall County","1,000","984","984","984","983","981","981","981","983","984"
"Walnut Grove","1,500","1,214","1,220","1,224","1,223","1,221","1,220","1,219","1,218","1,218"
"Wilkinson County","1,000","975","976","974","976","975","975","975","975","973"
"RESTITUTION CENTERS","16","10","10","10","10","10","10","10","10","10"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","10","7","9","10","10","9","9","10","10"
"TOTALS","24,178","22,315","22,307","22,291","22,277","22,265","22,258","22,246","22,239","22,166"
"","","","19-May-09 20-May-09 21-May-09 22-May-09 23-May-09 24-May-09 25-May-09 26-May-09 27-May-09","","","","","","",""
