"Location","Capacity","19-Jul-09","20-Jul-09","21-Jul-09","22-Jul-09","23-Jul-09","24-Jul-09","25-Jul-09","26-Jul-09","27-Jul-09"
"Mississippi State Penitentiary","4,435","3,960","3,960","3,946","3,940","3,924","3,925","3,924","3,919","3,920"
"Central Mississippi Correctional Facility","3,665","3,208","3,221","3,262","3,212","3,209","3,235","3,237","3,236","3,215"
"South Mississippi Correctional Institution","3,204","3,023","3,009","3,011","3,047","3,043","3,021","3,018","3,019","3,012"
"County Jails","1,503","1,519","1,502","1,507","1,500","1,502","1,512","1,512","1,512","1,509"
"COMMUNITY WORK CENTERS","1,848","1,633","1,653","1,651","1,640","1,653","1,653","1,654","1,654","1,685"
"Alcorn Satellite Facility","92","82","83","82","81","81","79","79","79","81"
"Bolivar Satellite Facility","102","85","85","85","85","85","83","83","83","85"
"Forrest Satellite Facility","96","86","87","86","85","85","84","84","84","85"
"George Satellite Facility","102","87","86","86","86","84","84","84","84","90"
"Harrison Satellite Facility","102","83","81","80","80","81","89","89","89","89"
"Jackson Satellite Facility","102","92","92","91","90","90","92","92","91","96"
"Jefferson Satellite Facility","102","87","93","98","98","100","97","97","97","97"
"Leflore Satellite Facility","102","89","88","88","87","87","86","86","86","86"
"Madison Satellite Facility","102","94","96","94","94","95","93","93","93","98"
"Noxubee Satellite Facility","92","82","83","84","81","88","86","86","87","91"
"Pike Satellite Facility","93","80","83","84","84","84","85","86","86","86"
"Quitman Satellite Facility","93","69","75","74","74","75","73","73","73","68"
"Rankin Satellite Facility","260","247","246","244","241","248","249","249","249","249"
"Simpson Satellite Facility","102","96","95","96","96","96","95","95","95","99"
"Washington Satellite Facility","102","88","89","89","88","86","88","88","88","87"
"Wilkinson Satellite Facility","102","94","92","91","89","87","90","90","90","97"
"Yazoo Satellite Facility","102","92","99","99","101","101","100","100","100","101"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,911","2,902","2,902","2,909","2,905","2,899","2,891","2,891","2,895"
"Bolivar County","294","278","277","279","278","277","278","278","278","278"
"Carroll County","280","265","265","265","266","265","265","265","265","266"
"George County","280","265","265","265","265","264","262","260","260","260"
"Holmes County","280","250","250","249","249","250","250","249","249","250"
"Issaquena County","274","258","255","252","260","255","257","256","256","253"
"Jefferson County","280","269","266","265","265","266","265","265","265","265"
"Kemper County","280","266","264","264","266","266","267","266","266","266"
"Leake County","280","266","266","266","266","266","262","261","261","265"
"Marion County","280","264","264","266","264","266","263","261","261","261"
"Stone County","280","266","266","265","265","265","264","264","264","265"
"Winston County","280","264","264","266","265","265","266","266","266","266"
"PRIVATE PRISONS","5,972","5,493","5,487","5,496","5,493","5,497","5,502","5,496","5,495","5,498"
"Delta","972","954","955","955","952","951","957","957","957","956"
"East Mississippi","1,500","1,360","1,358","1,360","1,362","1,358","1,357","1,356","1,355","1,359"
"Marshall County","1,000","982","980","983","983","983","984","983","983","982"
"Walnut Grove","1,500","1,221","1,221","1,222","1,221","1,228","1,227","1,226","1,226","1,225"
"Wilkinson County","1,000","976","973","976","975","977","977","974","974","976"
"RESTITUTION CENTERS","16","10","10","10","9","9","9","9","9","9"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","4","4","4","3","3","3","3","3","3"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","28","6","4","7","8","29","28","30","9"
"TOTALS","23,737","21,791","21,756","21,795","21,763","21,756","21,791","21,775","21,771","21,758"
"","","19-Jul-09","20-Jul-09","21-Jul-09","22-Jul-09","23-Jul-09","24-Jul-09","25-Jul-09","26-Jul-09","27-Jul-09"
