"Location","Capacity","28-Jul-09","29-Jul-09","30-Jul-09","31-Jul-09","","Avg Population"
"Mississippi State Penitentiary","4,435","3,916","3,923","3,895","3,890","","3,975"
"Central Mississippi Correctional Facility","3,665","3,211","3,203","3,202","3,182","","3,215"
"South Mississippi Correctional Institution","3,204","3,031","3,042","3,034","3,017","","3,006"
"County Jails","1,503","1,506","1,500","1,478","1,509","","1,532"
"COMMUNITY WORK CENTERS","1,848","1,680","1,687","1,628","1,596","","1,657"
"Alcorn Satellite Facility","92","77","79","76","74","","80"
"Bolivar Satellite Facility","102","83","83","73","73","","86"
"Forrest Satellite Facility","96","84","89","86","83","","86"
"George Satellite Facility","102","96","96","90","89","","89"
"Harrison Satellite Facility","102","86","85","82","81","","87"
"Jackson Satellite Facility","102","95","95","94","93","","93"
"Jefferson Satellite Facility","102","98","98","94","93","","93"
"Leflore Satellite Facility","102","87","83","74","71","","86"
"Madison Satellite Facility","102","98","98","94","91","","95"
"Noxubee Satellite Facility","92","90","90","86","83","","83"
"Pike Satellite Facility","93","88","88","87","86","","84"
"Quitman Satellite Facility","93","69","72","69","67","","75"
"Rankin Satellite Facility","260","248","250","249","244","","246"
"Simpson Satellite Facility","102","96","98","97","98","","97"
"Washington Satellite Facility","102","87","86","84","79","","88"
"Wilkinson Satellite Facility","102","97","96","92","90","","93"
"Yazoo Satellite Facility","102","101","101","101","101","","96"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,907","2,906","2,900","2,903","","2,907"
"Bolivar County","294","279","280","280","280","","279"
"Carroll County","280","265","265","263","262","","265"
"George County","280","260","261","262","265","","264"
"Holmes County","280","250","249","248","250","","250"
"Issaquena County","274","259","259","257","260","","258"
"Jefferson County","280","263","263","264","261","","265"
"Kemper County","280","266","266","266","266","","266"
"Leake County","280","269","269","266","266","","265"
"Marion County","280","265","264","265","266","","265"
"Stone County","280","265","265","266","266","","265"
"Winston County","280","266","265","263","261","","265"
"PRIVATE PRISONS","5,972","5,493","5,493","5,492","5,492","","5,492"
"Delta","972","955","956","955","957","","954"
"East Mississippi","1,500","1,357","1,358","1,361","1,361","","1,358"
"Marshall County","1,000","982","981","979","983","","982"
"Walnut Grove","1,500","1,225","1,225","1,226","1,223","","1,224"
"Wilkinson County","1,000","974","973","971","968","","973"
"RESTITUTION CENTERS","16","9","8","9","10","","10"
"Greenwood","6","5","5","5","5","","5"
"Hinds","6","3","2","3","3","","3"
"Pascagoula","4","1","1","1","2","","1"
"GOVERNOR'S MANSION","6","6","6","6","6","","6"
"E-CODE","0","10","10","8","28","","20"
"TOTALS","23,737","21,769","21,778","21,652","21,633","","21,819"
"","","28-Jul-09","29-Jul-09","30-Jul-09","31-Jul-09","",""
