"Location","Capacity","28-Nov-09","29-Nov-09","30-Nov-09","","Avg Population"
"Mississippi State Penitentiary","4,435","3,935","3,934","3,936","","3,930"
"Central Mississippi Correctional Facility","3,665","3,226","3,224","3,229","","3,219"
"South Mississippi Correctional Institution","3,204","2,708","2,707","2,752","","2,715"
"County Jails","1,498","1,617","1,617","1,654","","1,534"
"COMMUNITY WORK CENTERS","1,848","1,801","1,800","1,792","","1,736"
"Alcorn Satellite Facility","92","86","86","86","","84"
"Bolivar Satellite Facility","102","99","99","97","","90"
"Forrest Satellite Facility","96","94","94","93","","92"
"George Satellite Facility","102","101","101","101","","99"
"Harrison Satellite Facility","102","102","102","102","","98"
"Jackson Satellite Facility","102","102","101","101","","99"
"Jefferson Satellite Facility","102","102","102","102","","100"
"Leflore Satellite Facility","102","100","100","99","","87"
"Madison Satellite Facility","102","102","102","101","","100"
"Noxubee Satellite Facility","92","92","92","92","","89"
"Pike Satellite Facility","93","84","84","83","","75"
"Quitman Satellite Facility","93","87","87","87","","86"
"Rankin Satellite Facility","260","253","253","252","","249"
"Simpson Satellite Facility","102","101","101","99","","101"
"Washington Satellite Facility","102","99","99","101","","88"
"Wilkinson Satellite Facility","102","99","99","99","","100"
"Yazoo Satellite Facility","102","98","98","97","","99"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,787","2,783","2,751","","2,891"
"Bolivar County","294","247","245","238","","265"
"Carroll County","280","243","243","236","","255"
"George County","280","246","245","244","","255"
"Holmes County","280","256","256","241","","259"
"Issaquena County","274","236","236","236","","247"
"Jefferson County","280","242","242","242","","251"
"Kemper County","355","319","319","318","","332"
"Leake County","280","252","251","250","","258"
"Marion County","280","259","259","259","","262"
"Stone County","280","241","241","241","","252"
"Winston County","280","246","246","246","","254"
"PRIVATE PRISONS","5,972","5,326","5,324","5,319","","5,414"
"Delta","972","908","908","906","","931"
"East Mississippi","1,500","1,327","1,327","1,327","","1,344"
"Marshall County","1,000","936","936","934","","926"
"Walnut Grove","1,500","1,207","1,205","1,202","","1,224"
"Wilkinson County","1,000","948","948","950","","956"
"RESTITUTION CENTERS","16","10","10","10","","9"
"Greenwood","6","6","6","6","","5"
"Hinds","6","2","2","2","","2"
"Pascagoula","4","2","2","2","","2"
"GOVERNOR'S MANSION","6","6","6","6","","5"
"E-CODE","0","8","9","10","","17"
"TOTALS","23,807","21,424","21,414","21,459","","21,472"
"","","28-Nov-09","29-Nov-09","30-Nov-09","",""
