"Location","Capacity","19-Dec-09","20-Dec-09","21-Dec-09","22-Dec-09","23-Dec-09","24-Dec-09","25-Dec-09","26-Dec-09","27-Dec-09"
"Mississippi State Penitentiary","4,435","3,938","3,936","3,942","3,940","3,941","3,938","3,932","3,930","3,930"
"Central Mississippi Correctional Facility","3,665","3,246","3,248","3,245","3,261","3,231","3,231","3,231","3,229","3,226"
"South Mississippi Correctional Institution","3,204","2,896","2,893","2,903","2,889","2,894","2,893","2,892","2,893","2,891"
"County Jails","1,486","1,479","1,479","1,498","1,492","1,499","1,498","1,498","1,498","1,498"
"COMMUNITY WORK CENTERS","1,848","1,794","1,793","1,798","1,798","1,793","1,792","1,788","1,784","1,783"
"Alcorn Satellite Facility","92","89","89","89","89","90","90","90","90","90"
"Bolivar Satellite Facility","102","102","102","101","99","99","99","99","98","98"
"Forrest Satellite Facility","96","95","95","95","95","95","95","94","93","93"
"George Satellite Facility","102","101","101","102","101","101","101","101","100","100"
"Harrison Satellite Facility","102","101","101","100","102","102","102","102","102","102"
"Jackson Satellite Facility","102","98","97","100","98","98","98","98","98","98"
"Jefferson Satellite Facility","102","99","99","102","102","102","102","102","102","102"
"Leflore Satellite Facility","102","96","96","96","95","93","93","93","93","93"
"Madison Satellite Facility","102","100","100","102","101","99","99","99","99","99"
"Noxubee Satellite Facility","92","90","90","90","92","92","92","92","92","92"
"Pike Satellite Facility","93","86","86","86","93","93","93","93","92","92"
"Quitman Satellite Facility","93","93","93","93","91","91","90","90","90","89"
"Rankin Satellite Facility","260","249","249","248","248","248","248","247","247","247"
"Simpson Satellite Facility","102","102","102","102","101","102","102","102","102","102"
"Washington Satellite Facility","102","96","96","93","93","93","93","92","92","92"
"Wilkinson Satellite Facility","102","97","97","97","96","96","96","95","95","95"
"Yazoo Satellite Facility","102","100","100","102","102","99","99","99","99","99"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,824","2,823","2,809","2,809","2,821","2,820","2,819","2,818","2,817"
"Bolivar County","294","262","261","257","259","263","263","263","263","263"
"Carroll County","280","250","250","250","248","249","249","249","249","249"
"George County","280","248","248","247","248","249","249","248","247","247"
"Holmes County","280","250","250","250","250","250","250","250","250","249"
"Issaquena County","274","245","245","244","244","245","245","245","245","245"
"Jefferson County","280","250","250","250","250","250","250","250","250","250"
"Kemper County","355","318","318","317","317","317","316","316","316","316"
"Leake County","280","251","251","246","245","250","250","250","250","250"
"Marion County","280","247","247","247","250","250","250","250","250","250"
"Stone County","280","251","251","251","251","251","251","251","251","251"
"Winston County","280","252","252","250","247","247","247","247","247","247"
"PRIVATE PRISONS","5,972","5,294","5,291","5,285","5,307","5,314","5,311","5,309","5,306","5,304"
"Delta","972","902","901","901","901","903","902","902","902","901"
"East Mississippi","1,500","1,320","1,320","1,316","1,317","1,323","1,322","1,321","1,320","1,320"
"Marshall County","1,000","914","914","914","914","914","914","913","912","912"
"Walnut Grove","1,500","1,207","1,206","1,204","1,223","1,223","1,222","1,222","1,222","1,221"
"Wilkinson County","1,000","951","950","950","952","951","951","951","950","950"
"RESTITUTION CENTERS","16","10","10","10","10","10","10","10","10","10"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","14","12","11","7","9","7","7","7","10"
"TOTALS","23,795","21,501","21,491","21,507","21,519","21,518","21,506","21,492","21,481","21,475"
