"Location","Capacity","1-Feb-10","2-Feb-10","3-Feb-10","4-Feb-10","5-Feb-10","6-Feb-10","7-Feb-10","8-Feb-10","9-Feb-10"
"Mississippi State Penitentiary","4,435","3,916","3,919","3,914","3,918","3,905","3,902","3,900","3,888","3,877"
"Central Mississippi Correctional Facility","3,665","3,039","3,073","3,046","3,053","3,076","3,076","3,073","3,082","3,131"
"South Mississippi Correctional Institution","3,204","3,086","3,082","3,092","3,095","3,093","3,093","3,092","3,083","3,091"
"County Jails","1,470","1,548","1,544","1,568","1,572","1,554","1,554","1,554","1,561","1,514"
"COMMUNITY WORK CENTERS","1,848","1,740","1,739","1,748","1,742","1,713","1,709","1,710","1,759","1,750"
"Alcorn Satellite Facility","92","87","87","86","86","80","80","80","92","92"
"Bolivar Satellite Facility","102","89","88","88","88","91","91","91","95","95"
"Forrest Satellite Facility","96","91","91","95","94","92","92","92","94","95"
"George Satellite Facility","102","90","90","89","89","86","86","86","94","93"
"Harrison Satellite Facility","102","99","98","96","95","91","90","90","90","89"
"Jackson Satellite Facility","102","95","95","99","100","98","98","98","98","99"
"Jefferson Satellite Facility","102","98","98","98","96","94","94","94","101","100"
"Leflore Satellite Facility","102","89","89","90","91","92","92","92","93","93"
"Madison Satellite Facility","102","101","102","102","102","102","102","102","102","102"
"Noxubee Satellite Facility","92","91","92","92","92","91","91","91","91","90"
"Pike Satellite Facility","93","93","93","90","90","90","90","90","89","90"
"Quitman Satellite Facility","93","93","93","93","93","93","91","91","90","90"
"Rankin Satellite Facility","260","232","231","236","237","235","234","234","238","236"
"Simpson Satellite Facility","102","98","100","102","102","96","96","97","101","99"
"Washington Satellite Facility","102","94","92","92","92","90","90","90","93","93"
"Wilkinson Satellite Facility","102","99","99","98","97","95","95","95","97","92"
"Yazoo Satellite Facility","102","101","101","102","98","97","97","97","101","102"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,725","2,724","2,730","2,732","2,732","2,732","2,731","2,728","2,730"
"Bolivar County","294","255","254","253","255","254","254","254","250","251"
"Carroll County","280","242","242","242","241","240","240","240","241","242"
"George County","280","240","240","241","243","243","243","243","242","242"
"Holmes County","280","240","240","242","241","242","242","242","242","242"
"Issaquena County","274","238","238","237","237","237","237","237","237","237"
"Jefferson County","280","241","241","240","239","241","241","241","241","241"
"Kemper County","355","308","308","309","308","309","309","308","309","309"
"Leake County","280","241","240","242","243","243","243","243","242","242"
"Marion County","280","240","241","242","242","242","242","242","242","242"
"Stone County","280","241","242","242","242","240","240","240","240","240"
"Winston County","280","239","238","240","241","241","241","241","242","242"
"PRIVATE PRISONS","5,972","5,210","5,207","5,203","5,210","5,207","5,203","5,202","5,206","5,207"
"Delta","972","897","900","899","899","899","898","898","899","899"
"East Mississippi","1,500","1,265","1,264","1,263","1,263","1,263","1,263","1,263","1,262","1,260"
"Marshall County","1,000","900","899","900","900","899","899","899","899","899"
"Walnut Grove","1,500","1,200","1,195","1,193","1,200","1,199","1,198","1,198","1,200","1,200"
"Wilkinson County","1,000","948","949","948","948","947","945","944","946","949"
"RESTITUTION CENTERS","16","10","9","9","9","9","9","9","9","9"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","3","2","2","2","2","2","2","2","2"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","13","16","15","19","54","55","53","17","19"
"TOTALS","23,779","21,293","21,319","21,331","21,356","21,349","21,339","21,330","21,339","21,334"
"","","1-Feb-10","2-Feb-10","3-Feb-10","4-Feb-10","5-Feb-10","6-Feb-10","7-Feb-10","8-Feb-10","9-Feb-10"
