"Location","Capacity","1-May-10","2-May-10","3-May-10","4-May-10","5-May-10","6-May-10","7-May-10","8-May-10","9-May-10"
"Mississippi State Penitentiary","4,435","3,634","3,634","3,630","3,628","3,614","3,616","3,604","3,599","3,598"
"Central Mississippi Correctional Facility","3,449","3,262","3,262","3,271","3,290","3,322","3,334","3,297","3,294","3,294"
"South Mississippi Correctional Institution","3,204","3,117","3,116","3,113","3,120","3,098","3,096","3,069","3,066","3,067"
"County Jails","1,492","1,637","1,637","1,625","1,592","1,581","1,574","1,600","1,600","1,600"
"COMMUNITY WORK CENTERS","1,848","1,598","1,597","1,608","1,574","1,559","1,572","1,580","1,576","1,573"
"Alcorn Satellite Facility","92","63","63","68","67","66","66","65","65","65"
"Bolivar Satellite Facility","102","93","93","95","93","89","89","85","85","84"
"Forrest Satellite Facility","96","76","76","77","76","74","77","73","73","73"
"George Satellite Facility","102","90","89","89","85","84","85","83","83","83"
"Harrison Satellite Facility","102","84","84","82","81","80","80","79","79","79"
"Jackson Satellite Facility","102","82","82","83","81","81","81","80","79","79"
"Jefferson Satellite Facility","102","92","92","94","93","91","97","100","100","100"
"Leflore Satellite Facility","102","75","75","75","72","72","72","70","70","69"
"Madison Satellite Facility","102","100","100","101","95","99","99","98","98","98"
"Noxubee Satellite Facility","92","83","83","83","82","81","81","85","85","85"
"Pike Satellite Facility","93","69","69","70","69","68","69","72","72","72"
"Quitman Satellite Facility","93","92","92","92","89","90","87","86","86","85"
"Rankin Satellite Facility","260","246","246","246","241","237","239","242","240","239"
"Simpson Satellite Facility","102","92","92","89","87","85","86","94","93","93"
"Washington Satellite Facility","102","83","83","81","81","81","79","79","79","80"
"Wilkinson Satellite Facility","102","86","86","90","90","90","90","94","94","94"
"Yazoo Satellite Facility","102","92","92","93","92","91","95","95","95","95"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,524","2,523","2,522","2,525","2,520","2,524","2,521","2,521","2,519"
"Bolivar County","294","232","232","235","233","231","233","233","233","232"
"Carroll County","280","224","224","224","224","223","224","224","224","224"
"George County","280","222","222","222","222","222","222","221","221","221"
"Holmes County","280","223","223","223","224","223","224","224","224","224"
"Issaquena County","274","220","220","220","219","219","218","219","219","219"
"Jefferson County","280","225","225","225","225","225","224","221","221","221"
"Kemper County","355","283","282","281","284","284","284","284","284","284"
"Leake County","280","224","224","223","225","225","225","225","225","225"
"Marion County","280","225","225","224","224","223","223","224","224","224"
"Stone County","280","223","223","222","222","222","224","224","224","223"
"Winston County","280","223","223","223","223","223","223","222","222","222"
"PRIVATE PRISONS","5,972","5,296","5,295","5,300","5,301","5,307","5,305","5,317","5,313","5,312"
"Delta","972","900","900","899","899","898","896","902","901","901"
"East Mississippi","1,500","1,350","1,349","1,353","1,353","1,365","1,364","1,361","1,361","1,361"
"Marshall County","1,000","900","900","899","901","899","899","902","901","900"
"Walnut Grove","1,500","1,197","1,197","1,200","1,200","1,196","1,198","1,198","1,198","1,198"
"Wilkinson County","1,000","949","949","949","948","949","948","954","952","952"
"RESTITUTION CENTERS","16","8","8","8","8","8","8","8","8","8"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","29","30","17","15","15","6","26","0","25"
"TOTALS","23,585","21,111","21,108","21,100","21,059","21,030","21,041","21,028","20,983","21,002"
"","","1-May-10","2-May-10","3-May-10","4-May-10","5-May-10","6-May-10","7-May-10","8-May-10","9-May-10"
