"Location","Capacity","28-Sep-10","29-Sep-10","30-Sep-10","Avg Population"
"Mississippi State Penitentiary","4,435","3,227","3,230","3,228","3,373"
"Central Mississippi Correctional Facility","3,449","3,117","3,129","3,146","3,136"
"South Mississippi Correctional Institution","3,204","3,172","3,166","3,159","3,165"
"County Jails","1,483","1,675","1,675","1,668","1,713"
"COMMUNITY WORK CENTERS","1,848","1,517","1,513","1,508","1,551"
"Alcorn Satellite Facility","92","71","71","67","73"
"Bolivar Satellite Facility","102","78","78","77","80"
"Forrest Satellite Facility","96","73","76","75","68"
"George Satellite Facility","102","89","88","89","90"
"Harrison Satellite Facility","102","85","85","90","79"
"Jackson Satellite Facility","102","77","77","77","78"
"Jefferson Satellite Facility","102","81","79","79","81"
"Leflore Satellite Facility","102","82","82","82","84"
"Madison Satellite Facility","102","92","92","88","96"
"Noxubee Satellite Facility","92","83","82","82","84"
"Pike Satellite Facility","93","79","78","81","87"
"Quitman Satellite Facility","93","81","80","84","83"
"Rankin Satellite Facility","260","219","217","215","224"
"Simpson Satellite Facility","102","92","94","93","94"
"Washington Satellite Facility","102","79","80","79","83"
"Wilkinson Satellite Facility","102","66","64","64","73"
"Yazoo Satellite Facility","102","90","90","86","95"
"REGIONAL CORRECTIONAL FACILITIES","3,463","3,007","3,003","3,001","2,696"
"Bolivar County","294","235","235","234","235"
"Carroll County","280","224","224","223","224"
"Chickasaw County","300","238","238","240","163"
"George County","280","224","223","223","224"
"Holmes County","280","224","223","224","224"
"Issaquena County","274","219","218","218","219"
"Jefferson County","280","224","224","224","224"
"Kemper County","355","285","284","284","284"
"Leake County","280","225","224","224","225"
"Marion County","280","224","224","224","224"
"Stone County","280","223","223","222","223"
"Winston County","280","224","224","223","223"
"Yazoo County","300","238","239","238","162"
"PRIVATE PRISONS","5,972","5,284","5,307","5,300","5,318"
"Delta","972","901","904","901","901"
"East Mississippi","1,500","1,364","1,363","1,363","1,361"
"Marshall County","1,000","869","891","890","910"
"Walnut Grove","1,500","1,199","1,199","1,198","1,194"
"Wilkinson County","1,000","951","950","948","951"
"RESTITUTION CENTERS","16","7","7","7","8"
"Greenwood","6","3","3","3","3"
"Hinds","6","2","2","2","3"
"Pascagoula","4","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","6"
"E-CODE","0","9","7","8","22"
"TOTALS","23,876","21,020","21,042","21,030","20,988"
